COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	n au ⁵						
4-1	l a ³						
18-1	n j u ŋ ⁵						
19-1	n j ei ⁵						
44-1	l u k ³²						
50-1	ʃ ɔə ŋ ³						
62-1	ʃ u k ³						
70-1	pʰ a n ⁵						
75-1	n j ɔ ʔ ³¹						
97-1	d a ŋ ³						
112-1	tsʰ ɨu ³						
122-1	n j u k ³¹						
127-1	kʰ j ei ³						
132-1	j ɔ ʔ ³¹						
133-1	n au ³						
135-1	n au ⁵						
142-1	d ts ɔə ³¹						
143-1	ŋ ɔ ʔ ⁵⁴						
149-1	ʔ u ⁵³						
152-1	ŋ u ³						
157-1	p u ³						
183-1	ʔ u ³						
184-1	n ṵ ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n au ³						
195-1	n u ³						
200-1	d a n ³						
216-1	s u ŋ ⁵						
218-1	l ɔ ʔ ³²						
225-1	ʃ u ŋ ³						
235-1	kʰ j ɛ ³¹						
244-1	ʃ ɔ ⁵						
253-1	n ɔə ⁵						
270-1	n j au ⁵						
278-1	n j u ŋ ³						
279-1	j ɔ ³						
285-1	j ṵ m ⁵						
308-1	pʰ ɔə ⁵						
322-1	m au ⁵						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d ts ɔ ³						
347-1	ʃ j au k ³²						
362-1	j au ³						
391-1	j ɛ p ³¹						
394-1	m u ʔ ³²						
397-1	tʃʰ ei ³¹						
443-1	n j ɔ t ⁵³						
460-1	ʃ u t ⁵³						
463-1	w a ³						
464-1	ʔ u n ³						
473-1	ʃ ɔ n ³						
476-1	kʰ j u k ⁵						
481-1	tsʰ ɨu ³¹						
494-1	g ɛ ³						
496-1	ʃ j u ŋ ³						
516-1	j ei ³						
522-1	n ɔ ʔ ³¹						
523-1	d j u ³						
524-1	n ei ³¹						
540-1	ʔ ɔ ³						
3-1	b ɔ ³¹						
6-1	g ei ⁵						
7-1	z ṵ ³¹						
20-1	n a p ³¹						
51-1	ŋ ṵ ³¹						
64-1	k au ŋ ³						
65-1	g ṵ k ⁵⁴						
66-1	ts u ³						
71-1	ʃ i ³						
72-1	ʔ u ³						
76-1	j ɔ ³						
77-1	n j au k ³						
78-1	m ɔə ³						
82-1	pʰ au ŋ ⁵						
87-1	ŋ ɔ ³						
93-1	l a m ⁵						
94-1	n j ei ʔ ³						
100-1	ʃ a ŋ ³						
116-1	j ɔ ³						
119-1	j ṵ ³¹						
124-1	pʰ j u ³						
136-1	l i ³						
137-1	kʰ j u ⁵						
144-1	s a t ⁵⁴						
145-1	d u ŋ ³						
146-1	n au ⁵						
150-1	d j ɔ ʔ ⁴²						
154-1	n j ei ⁴⁵						
165-1	j a m ³						
166-1	d j ɔ ³¹						
169-1	g j a ŋ ³						
170-1	d j ɔ ³¹						
171-1	j a ŋ ³						
