COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
4274										ˀb a ¹			p j a ¹			ˀb a ¹
9077					ʔ a ŋ ¹	ʔ a ŋ ¹					ʔ a ŋ ¹	ʔ a ŋ ¹				
9565		l ui ¹											l ui ¹			
1801					h u p ¹	h u p ¹					h u p ¹	h ə p ¹				
3602	ˀm au ¹	m au ¹								ˀm au ¹						ˀm au ¹
9807		q o p ¹			q o p ¹	q o p ¹	q o p ¹			q o p ¹		q o p ¹	q o p ¹	q o p ¹	q o p ¹	q o p ¹
7121						ʔ w a ¹						ʔ w a ¹				
9114	l i ¹		l i ¹	l i ¹			l i ¹									l i ¹
3053	k w a n ¹					k w a n ¹										
7029	ʔ u n ¹		ʔ u n ¹					ʔ u n ¹	ʔ u n ¹	ʔ u n ¹				ʔ u n ¹	ʔ u n ¹	ʔ u n ¹
2750		q u ¹														k u ŋ ¹
9444					l a ¹							l a ¹				
11083	ȶ ə n ¹		ȶ ə n ¹			ȶ ə n ¹				ȶ i n ¹	ȶ ə n ¹			ȶ ə n ¹	ȶ a n ¹	ȶ ə n ¹
8008					s aːu ¹	s aːu ¹						s aːu ¹				
7867	n aː k ¹	n a k ¹											n aː k ¹	n aː k ¹		n aː k ¹
2016	m̥ a ¹		m̥ a ¹		m̥ a ¹	m̥ a ¹				m̥ a ¹	m̥ a ¹	m̥ a ¹		m̥ a ¹	m̥ a ¹	m̥ a ¹
7100								kʰ a ŋ ¹	kʰ a ŋ ¹							
10170					l aːu ¹	l aːu ¹					l aːu ¹	l aːu ¹				
8951	m j ə t ¹			m j a t ¹										m j ə t ¹	m j a t ¹	
3935			f j a ¹	f j e ¹	f a ¹	f j a ¹		f j a ¹	f j a ¹		f j a ¹	f a ¹				
4360						z a ¹										z a ¹
2447		p ui ¹											p ui ¹			
7014				h̃ j u ¹			h̃ j u ¹	h̃ j u ŋ ¹	h̃ j u ¹							
10543	ⁿd i n ¹	ⁿd i n ¹								ⁿd i n ¹			ⁿd i n ¹		ⁿd i n ¹	
2340	ȶ e ¹			ȶ e ¹										ȶ e ¹	ȶ e ¹	
9366				h a ¹								h au ¹				
8635										ɕ aː n ¹						ɕ aː n ¹
3051	ˀd j u p ¹	l j u p ¹				ˀd j u p ¹				ˀd j u p ¹			l j ʊ p ¹			
7209					t j e m ¹						t j e m ¹	t j e m ¹				
3915						v j au ¹					v j au ¹					
6733		kʰ j u ¹	ɕ j u ¹		ȶʰ j u ¹								kʰ j u ¹		ȶʰ j u ¹	
470	t u ŋ ¹	t u ŋ ¹						t u ŋ ¹			t u ŋ ¹				t u ŋ ¹	t u ŋ ¹
7242	ȶ e ¹			ȶ e ¹												
10168	kʰ u ŋ ¹	kʰ u ŋ ¹	kʰ u ŋ ¹	kʰ u ŋ ¹					kʰ u ŋ ¹	kʰ u ŋ ¹			kʰ u ŋ ¹	kʰ u ŋ ¹	kʰ u ŋ ¹	kʰ u ŋ ¹
493				f a n ¹												f a n ¹
3603		n u ¹			n o ¹		n u ¹	n u ¹					n u ¹	n u ¹	n u ¹	
2017		pʰ w a ¹		pʰ w a ¹			pʰ w a ¹	pʰ w a ¹	h w a ¹				pʰ w a ¹			
3985	m o n ¹	m u n ¹		m u n ¹			m w ə n ¹					m u n ¹			m w a n ¹	
10798		pʰ u ¹		pʰ u ¹				pʰ u ¹	pʰ u ¹				pʰ u ¹			
2414					h aː n ¹	h aː n ¹					h aː n ¹					
4396		n̥ a ¹	n̥ a ¹							n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹	n̥ a ¹
3790	l aːu ¹		l aːu ¹	l aːu ¹			l aːu ¹	l aːu ¹	l aːu ¹	l aːu ¹				l aːu ¹		l aːu ¹
108													t u ŋ ¹	t u ŋ ¹		
7139				q u ŋ ¹			q u ŋ ¹									
