COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ								
2-1	n e + + tɬ i								
8-1	w eː i								
16-1	j s + tɬ								
24-1	i s t e + tɬ								
32-1	m i k i								
51-1	o n + tɬ n								
52-1	w a k + tɬ								
53-1	n a k a + i tɬ								
54-1	t a l + l i								
55-1	k w a								
60-1	i tʃ + tɬ i								
83-1	t i + tɬ								
87-1	p a t a n +								
92-1	m a k a w								
103-1	m a +								
106-1	k a k								
138-1	n e ʔ w + n tɬ								
139-1	m i k + + tɬ i k								
142-1	m a t i								
145-1	m o + tɬ i i								
176-1	t e k + + tɬ								
179-1	n a k a + tɬ								
180-1	m e i + tɬ i								
1-2		n u tʃ i							
2-2		n o k n							
8-2		w e j u							
16-2		e s e t i							
24-2		i s t i							
32-2		m i k							
51-2		u aː + t							
52-2		w a k + t i							
53-2		n a k							
54-2		t a h + i							
55-2		k w a							
60-2		i o +							
83-2		t e + t i							
87-2		p a t a m							
92-2		m a k  b w k k k k w k k w a k b w k b k w a w w a k							
103-2		m a h n							
106-2		k a k							
138-2		n e h +							
139-2		m i k + t i							
142-2		m a t  i w							
145-2		m u + t a							
176-2		t a k							
179-2		n a k							
180-2		m e n + t i							
1-3			m o tʃ i						
2-3			n e a + t +						
8-3			w eː h a						
16-3			e s s t i						
24-3			i s t i						
32-3			m i k +						
51-3			o n + t						
52-3			w a k + t i ʔ						
53-3			n a k + l						
54-3			t a l						
55-3			k w a						
60-3			i n +  i i						
83-3			t e + + t i						
87-3			p a t aː + i						
92-3			m e k +						
103-3			m e						
106-3			k w k +						
138-3			n e h						
139-3			m i k + t i						
142-3			m e t i						
145-3			m o + t i						
176-3			t a k a t ʔ						
179-3			n e k + + ʔ						
180-3			m e + + t i						
1-4				m o tʃ i					
2-4				n e x					
8-4				w e j a					
16-4				e e + t i i					
24-4				i s t i tɬ					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + tɬ					
53-4				n e k a n i					
54-4				tɬ a l i					
55-4				k w a					
60-4				i h + tɬ o l					
83-4				tɬ i + tɬ					
87-4				p e tɬ a n					
92-4				m e k a					
103-4				m e n tɬ					
106-4				k a k a					
138-4				n e h w a					
139-4				m i k + tɬ i					
142-4				m e t e					
145-4				m o + tɬ e l					
176-4				t a k a + i					
179-4				n e k a + tɬ					
180-4				m e ts + tɬ i					
1-5					m o tʃ i				
2-5					n e m t				
8-5					w eː j a  i				
16-5					j s + t i				
24-5					i s t i				
32-5					m i k a				
51-5					o n + t				
52-5					w a k + t i k				
53-5					n a g a				
54-5					t a h a i				
55-5					b a a  i i				
60-5					i x + t i				
83-5					t e + t				
87-5					p a t a n i				
92-5					m a g a				
103-5					m e +  i				
106-5					g a g a				
138-5					n e h a				
139-5					m i k + t i				
142-5					m a t a				
145-5					m o + t i ts a				
176-5					t a k a + t				
179-5					n a g a + t				
180-5					m e + + t i				
1-6						n u tʃ i			
2-6						n e k + t i			
8-6						w e			
16-6						j s + t i			
24-6						i s t i			
32-6						m i k			
51-6						u n i t			
52-6						w a k + k i k			
53-6						n a k a k			
54-6						t a l			
55-6						k w a			
60-6						i aː +  i			
83-6						t e l t			
87-6						p a t a l i			
92-6						m a k			
103-6						m a +			
106-6						k a k			
138-6						n e			
139-6						m i k + t i			
142-6						m a t i			
145-6						m u + t e			
176-6						t a k			
179-6						n a k a + t			
180-6						m e + + t i			
1-7							n o tʃ i +          t		
2-7							k e + + t		
8-7							w e n		
16-7							o w e t		
24-7							i + + t		
32-7							m i k o           m x m x m    m		
51-7							o o		
52-7							w a k a  + t e    a t + t t t + t  + k + a t		
53-7							n e k a		
54-7							t a t		
55-7							k w a		
60-7							i o + t		
83-7							t i		
87-7							t i t		
92-7							m o k a		
103-7							m o		
106-7							k a k a		
138-7							n e n e    e    e e  t e e e e    e e		
139-7							m i k o		
142-7							m o t		
145-7							m o		
176-7							t + k m + t		
179-7							n e k a		
180-7							m e		
1-8								n o tʃ ɨ	
2-8								k ɨ + + tɬ ɨ +	
8-8								w a j a + a	
16-8								j s + tɬ	
24-8								ɨ s t ɨ	
32-8								m ɨ k	
51-8								oː n + +  ɨ +	
52-8								w a k +  + + k	
53-8								n a k a + + k	
54-8								t a l + tɬ ɨ	
55-8								k w a + tɬ ɨ +	
60-8								ɨ ts +  + ɨ + +	
83-8								t a + +	
87-8								p a + a + ɨ	
92-8								m a k a	
103-8								m a	
106-8								k a k	
138-8								n ɨ h a	
139-8								m ɨ k + tɬ ɨ + k	
142-8								m a + ɨ	
145-8								m o + tɬ ɨ +	
176-8								t a k a + tɬ	
179-8								n a k a + tɬ	
180-8								m ɨ	
1-9									m u tʃ iː
2-9									n a t o n tɬ +
8-9									b e e
16-9									i e + t tɬ iː
24-9									i e t i
32-9									m iː k iː
51-9									o n + i n  iː iː
52-9									b a k + k o
53-9									n a k a
54-9									tɬ a l iː
55-9									k w a
60-9									i x + tɬ iː
83-9									tɬ i + tɬ
87-9									p a t a l + a
92-9									m a k a
103-9									m e l  iː iː iː iː
106-9									k a k iː
138-9									n e h a
139-9									m e k + k iː
142-9									m a t i
145-9									m o + t e e k
176-9									tɬ m iː iː ø +  tɬ
179-9									n a k a + tɬ
180-9									m e e + a tɬ
