COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ +								
2-1	n e + + tɬ i								
8-1	w a w  w								
16-1	j ʔ + tɬ i								
24-1	i s t e								
32-1	m i k								
51-1	i n + oː l								
52-1	w a k + tɬ								
53-1	n a k a + i tɬ								
54-1	t a l + tɬ +								
55-1	k w a +								
60-1	i ts + t i ts i l +								
83-1	t i + tɬ								
87-1	p a + a n +								
92-1	m a k a l								
103-1	m i +								
106-1	k a k +  k								
138-1	n e ʔ w a + tɬ								
139-1	m i k + tɬ tɬ i								
142-1	m a t e								
145-1	m o + tɬ i +								
176-1	t e k + + tɬ								
179-1	n a k a + tɬ								
180-1	m i w + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k + tɬ								
194-1	s i w  +								
220-1	i s + tɬ i								
231-1	i o aː +								
240-1	k o tʃ iː  i								
283-1	t e + tɬ								
293-1	i n + oː l								
314-1	k w a + a tɬ								
315-1	i n i +								
322-1	t e ʔ w aː +								
323-1	tɬ a ʔ  +								
9-1	t oː t oː + tɬ								
17-1	i s i								
22-1	t a + aː								
30-1	w a tɬ +								
88-1	i i n tɬ								
158-1	w a + tɬ + +								
159-1	aː ʔ i + i								
177-1	m i n +								
184-1	t oː k w + tɬ								
187-1	j a n + w a								
227-1	x o l + l +								
1-2		n u tʃ u							
2-2		n o n r i p							
8-2		h a h u							
16-2		j s + r i							
24-2		i s t i							
32-2		m u k							
51-2		ts u n r							
52-2		ts a + + t i							
53-2		n e m + + e  o							
54-2		t a l +							
55-2		b w a k  k							
60-2		i u +							
83-2		t e k r							
87-2		p uː + a + i							
92-2		m a +  b k							
103-2		m u k r							
106-2		b o i k  k							
138-2		n e h +							
139-2		m u k + t i							
142-2		m a t  i t							
145-2		m u + r a k							
176-2		t a k							
179-2		n e m + + t							
180-2		m u n u t i							
186-2		b o h u							
190-2		j e k +  k							
194-2		s e h							
220-2		ts h + r i k  o							
231-2		i t a +  t							
240-2		b o tʃ u							
283-2		t u k							
293-2		i uː t i							
314-2		b o n r t i  o							
315-2		h n n u  e							
322-2		t e n e i i m							
323-2		t e +							
9-2		t r n a							
17-2		ts w i + t i  l							
22-2		t a + i							
88-2		i h i							
158-2		t a h u +							
159-2		a t i r							
177-2		m u k +							
184-2		t r k a + t							
187-2		j u m + w a							
227-2		t u k + i							
1-3			m o tʃ i ʔ  m						
2-3			n e aː + t i ʔ						
8-3			w a h eː						
16-3			j s + t i						
24-3			i s t i ʔ  ʔ						
32-3			m i k +						
51-3			t n + t n ʔ						
52-3			w a k + t i ʔ						
53-3			n e n + n i						
54-3			t a l						
55-3			k w aː						
