COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ + + tɬ								
2-1	n e + + tɬ i								
8-1	w eː i  w i								
16-1	j ʔ + tɬ								
24-1	i s t i								
32-1	m i k								
51-1	o n + tɬ +								
52-1	w a k + tɬ								
53-1	n a k aː + i tɬ								
54-1	tɬ a l + tɬ +								
55-1	k w a +								
60-1	i x + tɬ i								
83-1	tɬ e + tɬ								
87-1	p a t aː + +								
92-1	m a k aː +								
103-1	m i +  + i								
106-1	k a k i  k								
138-1	n e ʔ w aː								
139-1	m i k + tɬ tɬ i								
142-1	m a t i  +								
145-1	m o + tɬ e +								
176-1	tɬ e k aː + tɬ								
179-1	n a k aː + tɬ								
180-1	m i + + tɬ i								
186-1	k e tʃ + k								
190-1	j a k w tɬ								
194-1	s i +  +								
220-1	o ʔ + tɬ								
231-1	i e e +								
240-1	k o tʃ iː  +								
283-1	t e + tɬ								
293-1	i n + tɬ n								
314-1	k w a + a tɬ								
315-1	o n i								
322-1	t e ʔ w aː +								
1-2		n u tʃ u							
2-2		n o i n							
8-2		w e j u  e							
16-2		j s + r i							
24-2		i s t i							
32-2		m i k							
51-2		u aː n n							
52-2		w a k + t i							
53-2		n eː k							
54-2		t a i l i							
55-2		b w a k  a							
60-2		i u +  i i + + + + + k							
83-2		t e + t							
87-2		p a t a p							
92-2		m a k  a a k a k a a k a a a a k a k a k a a a a a a							
103-2		m a k n							
106-2		b o k k  k k k k k k k							
138-2		n e h e							
139-2		m i k + t i							
142-2		m a t  a a							
145-2		m u + r a k							
176-2		t a k							
179-2		n eː k o + t							
180-2		m i n + t i							
186-2		b o h u  e							
190-2		j a k +  a k + k k a k							
194-2		s e h  a e							
220-2		u h + r i							
231-2		i t a							
240-2		b o tʃ u							
283-2		t e +							
293-2		i uː t i							
314-2		b o k + t i  + a							
315-2		u m i							
322-2		t e h e i i							
1-3			m o + i +						
2-3			n e aː + t i						
8-3			w eː h a ʔ						
16-3			e s + t i						
24-3			i s t i ʔ						
32-3			m i k + a						
51-3			o n + t a ʔ						
52-3			w a ʔ + t i ʔ						
53-3			n a k aː n i						
54-3			t a h l i						
55-3			k w aː						
60-3			i l +  +						
83-3			t e +						
87-3			p a t aː n i						
92-3			m a k aː						
103-3			m i						
106-3			k w k + a						
138-3			n e h						
139-3			m i k + t i						
142-3			m a t i a						
145-3			m o + t i ʔ						
