COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ + n tɬ								
2-1	n e + + tɬ i								
8-1	w eː i  w i								
16-1	eː ʔ + tɬ								
24-1	i s t i								
32-1	m i k								
51-1	o n + tɬ n  i								
52-1	w a k + tɬ								
53-1	n a k a + + tɬ								
54-1	tɬ a l + tɬ i								
55-1	k w a								
60-1	i x + tɬ i								
1-2		n u tʃ u							
2-2		n o i n							
8-2		w e j a							
16-2		j s + t i							
24-2		i s t i							
32-2		m i k							
51-2		u aː + t							
52-2		w a k + t i							
53-2		n a k a + e							
54-2		t aː h + i							
55-2		k w a +  k							
60-2		i u +							
1-3			m o tʃ i						
2-3			n e a + t i						
8-3			w eː h i						
16-3			j s t t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + t						
52-3			w a k + t i k						
53-3			n a k a s i						
54-3			t a l						
55-3			k w a						
60-3			i l +  + i						
1-4				m o tʃ i					
2-4				n e x + + tɬ					
8-4				w e j a					
16-4				e e + t tɬ i					
24-4				i s t i tɬ					
32-4				m i k i					
51-4				o n + o					
52-4				w a k + tɬ					
53-4				n a k a					
54-4				t a l i					
55-4				k w a					
60-4				i h + t e					
1-5					m o tʃ i				
2-5					n e g t				
8-5					w eː j a				
16-5					j s + t i				
24-5					i s t i				
32-5					m i k i				
51-5					o n + t				
52-5					w a k + t i				
53-5					n a g a				
54-5					t aː h l i				
55-5					g a a				
60-5					i x + t				
1-6						n u tʃ i			
2-6						n e k + t i			
8-6						w e			
16-6						j s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n i t			
52-6						w a k + t i			
53-6						n a k a k			
54-6						t a l			
55-6						k w a			
60-6						i iː +  i i			
1-7							n e x i +		
2-7							n e k + t		
8-7							w e n		
16-7							o + + t		
24-7							i tʼ t t		
32-7							m i k i  i		
51-7							o e +		
52-7							w e k a		
53-7							n e k e + + t		
54-7							t e n		
55-7							k w a		
60-7							i w + t		
1-8								n o tʃ ɨ	
2-8								n ɨ + + tɬ ɨ +	
8-8								w e h	
16-8								ɨ s + tɬ ɨ +	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								oː n + +  ɨ	
52-8								w a k +  + + +	
53-8								n a k a + i tɬ	
54-8								tɬ a l + tɬ ɨ	
55-8								k w a	
60-8								i l +  + + + +	
1-9									m o tʃ iː
2-9									n a + + + tɬ +
8-9									j e e
16-9									i e + tɬ tɬ iː
24-9									i e t iː
32-9									m iː k iː
51-9									o n + iː n
52-9									j a k + t o
53-9									n a k a
54-9									t a l iː
55-9									k w a
60-9									i n + t iː
