COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	tɕ i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ts ou ³³									
267-1	tɕ i e									
316-1	p u ³³									
327-1	ɣ ɯ ³³									
348-1	tɕ o ⁴⁴									
400-1	ts ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	t o ⁴²									
534-1	ts ou ⁴⁴									
556-1	kʰ o ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ³⁵									
656-1	k o ²¹									
678-1	k o ²¹									
689-1	m ə˞ ²¹									
700-1	m e ²¹									
775-1	p j e									
786-1	k e ³⁵									
820-1	tɕ i ⁴²									
839-1	t j ²¹									
863-1	kʰ o ³³									
896-1	k ə˞ ³⁵									
929-1	tɕ i ²¹									
1015-1	ʂ o ŋ ⁵⁵									
1035-1	tɕ o ³³									
1107-1	ʂ a ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	l ou ²¹									
1294-1	k ã ³⁵									
1326-1	tɕ i ³³									
1348-1	tɕ i ²¹									
1401-1	s e n									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ o ³³									
1575-1	ʂ o e									
1618-1	p u ³¹									
1640-1	k u ⁴⁴									
1671-1	ʂ i ⁴⁴									
1731-1	ʂ o ŋ ⁵⁵									
1762-1	s w a ŋ									
1773-1	t u ⁴⁴									
1794-1	k o ŋ ⁵⁵									
1805-1	ts i ²¹									
1816-1	s u ³³									
1862-1	ts i ⁵⁵									
1885-1	kʰ a ⁴⁴									
1914-1	ʂ o ³³									
1936-1	p u ³³									
1969-1	ʂ o ³³									
2018-1	ts ou ²¹									
2029-1	k ã ³⁵									
2051-1	tɕ j ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	t o ⁴²									
2269-1	m e ³³									
2280-1	ʂ u ³¹									
2291-1	s e n ²¹									
2316-1	tɕ i ⁴⁴									
2364-1	tɕ i ³³									
2395-1	tɕʰ e n									
2406-1	tɕʰ j ə˞ ⁵⁵									
2417-1	k o ⁴²									
2428-1	k ã ³⁵									
2450-1	ʈʂ o ŋ ²¹									
2484-1	ʂ ɯ ⁴⁴									
2495-1	k o ²¹ ²¹									
2565-1	t i ⁵⁵									
2611-1	j ou ⁴⁴									
2632-1	w a a									
2644-1	w a a									
2674-1	m õ ³³									
2698-1	ʂ o ³³									
2709-1	n e ²¹									
2720-1	tɕ j ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ j ə˞									
2837-1	ʈʂ ə˞ ⁴⁴									
2859-1	ʂ o e									
2889-1	tɕ i ³³									
2900-1	k o ³³									
2928-1	tsʰ o ŋ ⁵⁵									
2941-1	kʰ o ŋ ⁵⁵									
2998-1	ts i ³³									
3031-1	tʰ e ³³									
3052-1	t u ³¹									
3064-1	t u ²¹									
