COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	ʔ i t e									
56-1	u m e									
96-1	a a ʔ									
99-1	a e r o n ʔ ʔ									
114-1	t o k e									
115-1	ʔ o tʃ									
133-1	t i p a a tʃ									
144-1	a t a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	p a m									
65-1	i w									
74-1	p a n a									
106-1	t o n ʔ									
128-1	p o k e									
147-1	t i m									
231-1	p a n a w o ʔ									
232-1	p i p i j ʔ									
239-1	n a m a k a n									
266-1	t i m									
51-1	o w ʔ									
97-1	a p o m a ʔ									
109-1	u p tʃ i									
121-1	k a p i j a k i									
149-1	t o k									
160-1	k i r i k									
163-1	u p o n									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t i									
139-1	m o n o i									
142-1	p a t a m a ʔ									
145-1	k a a t i tʃ									
148-1	t ʔ a w a n ʔ									
162-1	i j i n ʔ									
166-1	i m i ʔ									
179-1	t a									
201-1	p ʔ e									
21-1	t a n									
24-1	t k o r a n									
52-2		e t n e								
56-2		n o m e								
96-2		n a r a t								
99-2		n r k n n								
114-2		t o k e s i								
115-2		n o r e s i								
133-2		n t i p r a s i								
144-2		r a w a s i								
150-2		k a w								
234-2		k o n								
236-2		p i k u n								
241-2		i a w i								
249-2		i s e i								
74-2		p a a								
93-2		t o p a r i s i								
95-2		w i k s i								
106-2		t u u s i								
119-2		i j i t i s i								
128-2		o k e s e								
147-2		t u m e s								
231-2		p a n a o								
232-2		p i j o								
239-2		n a m a k a n								
266-2		n u t i n n								
51-2		i w e								
55-2		i a m								
97-2		p a p a n a i n								
121-2		k a p i j a k a s i i								
163-2		u p e n								
167-2		n n p a								
259-2		t o a								
66-2		k a r a k a w								
112-2		t r a j i s i								
116-2		t o p a k a s i								
125-2		k a t i m a s i								
135-2		k i n h h h h i h								
139-2		m o n o p								
142-2		s p a r a m a s i								
148-2		t s r a w s a s s i								
162-2		i j i n								
166-2		i m i								
179-2		t a s								
52-3			n e t o							
56-3			m							
96-3			a tʃ a s							
99-3			a n n r e n o							
114-3			t o k e tʃ e							
115-3			n u r e s e							
133-3			a tʃ i p a r a s e							
144-3			a t a w a tʃ e							
150-3			k a w							
234-3			a k o m							
236-3			p e k							
241-3			a a w i							
249-3			i s n							
1-3			w a tʃ a							
2-3			a w m n n							
65-3			i w e							
93-3			t p a r e tʃ e							
95-3			a w i s i							
106-3			tʃ a e tʃ i							
119-3			n a tʃ i m n							
128-3			n o k e tʃ e							
147-3			tʃ i m e tʃ i							
231-3			p a a w o							
232-3			n e p i n a o							
239-3			a m a k a							
266-3			a i a tʃ i m							
3-3			k a r k a a n o							
4-3			w a t i n							
55-3			n e a m							
109-3			e p s s i s							
121-3			k a p i j a k a tʃ e n							
149-3			t o k n							
160-3			k i r e k							
207-3			m i							
112-3			t a n tʃ a a i s i							
125-3			k a s i m a tʃ i							
134-3			e p a tʃ e a							
135-3			t k i m s s a tʃ s							
139-3			a m o e s e n a n							
52-4				i t i						
56-4				u m e						
96-4				a o tʃ						
99-4				i i r i n						
114-4				t o k e e						
115-4				u r e						
133-4				t i p a tʃ e						
144-4				o r a w a tʃ i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n o						
93-4				ʒ̟ o p a r tʃ e ʔ						
95-4				w k i n e						
106-4				t u m i						
119-4				j i t i tʃ i						
128-4				p o k e e						
147-4				t i m e i						
231-4				p o n a w o ʔ						
232-4				p i j						
239-4				n o m a k a n						
