COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t ʔ									
56-1	ʔ u m u									
96-1	ʔ a a t									
99-1	a e r a n ʔ									
114-1	t o k e tʃ e									
115-1	ʔ u e tʃ e									
133-1	ʔ t i p a a tʃ									
144-1	a r a a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k u ʔ n									
241-1	a w i n									
249-1	i tʃ u									
1-1	w a z a									
2-1	w o ʔ m									
65-1	w									
74-1	p a n a									
106-1	t e n tʃ									
128-1	p o k e tʃ e									
147-1	t i m e tʃ i									
231-1	p a n a w o									
232-1	p i p i j a o									
239-1	n a m a k a n									
266-1	ʔ z i ʔ m ʔ									
51-1	o w									
97-1	a p o m a j									
109-1	u p tʃ i u									
121-1	k a p a j a k i ʔ									
149-1	t o k ʔ									
160-1	k r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n a p a t ʔ									
139-1	m o n o tʃ i									
142-1	ʔ p a r a m a tʃ e									
145-1	k a a t i tʃ									
148-1	t a w a n a tʃ									
162-1	e j i n									
166-1	i m i									
179-1	t a									
201-1	p e									
21-1	a t a n									
24-1	n n k r a ʔ a n									
50-1	i n a									
57-1	t o k a w a ʔ n									
84-1	p i w a n									
91-1	m o k ʔ ʔ ʔ o n									
131-1	t u k u z i m a e									
151-1	k i w									
154-1	ʔ w e									
192-1	t u t									
197-1	t a u i m									
205-1	i p a n									
227-1	m a p w i t ʔ o									
246-1	i w i ʔ									
251-1	w a n a									
52-2		h e t h e								
56-2		h o m e								
96-2		h a r a n								
99-2		h a r k h n								
114-2		t o k s i								
115-2		h o r i s i								
133-2		h t p r a s								
144-2		a r a a s i								
150-2		k a w h								
234-2		k o m								
236-2		p e k u n h								
241-2		h h h a w n								
249-2		s e h								
74-2		p a n a								
93-2		t o p a r i s								
95-2		w i k s i								
106-2		t u n u n i								
119-2		i j i t i s i								
128-2		p o k i i								
147-2		u m i								
231-2		p a n a w o								
232-2		o p i j o								
239-2		n a n a k a n								
266-2		u k u m								
51-2		i w e								
55-2		i a m								
