COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n ə			
2054-1	d ɔ n n ə r			
1375-1	l ɪ k			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n t + aː v ə r			
1353-1	x r ɛɪ n + m ɔ t ə r			
412-1	v w iː ɣ ə r + n aː d ə			
406-1	z w iː ɣ r r + n r d ə			
1005-1	s t iː p + f ɑ t ə r			
1012-1	s t iː p ə m ɔ t ə r			
1016-1	w ɪ t w ə r			
1069-1	l			
509-1	v ɔ l			
693-1	m ɛ l l			
2179-1	n eː s t			
1753-1	v ɪ ts			
1131-1	w ɔ l f			
1198-1	b oː s t			
2032-1	h ɔ ŋ			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k iː			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɔ ə			
1385-1	z ɛɪ t ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z ɔ d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d ɔ ʉ ə			
2017-1	n ɪ œy			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h ɛ ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r oː w			
-1816-1	oː t œy aː			
-335-1	l ɑ ɣ uː n ə			
1043-1	s t r oː m			
423-1	s t ɛɪ n			
2049-1	m ɔ n t			
2062-1	s t ɔ r			
2065-1	r ɛɪ ɣ ə + aː b oː x ə			
1368-1	z ɑ d ə			
1365-1	d œy w			
754-1	r ɛɪ ɣ ə			
768-1	w ɛ t ə r			
1211-1	v iː r r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	d ɑ n			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə r + z oː n			
402-1	d ɔ iː ɣ r r ɛɪ n ɔ x t ə r			
1014-1	s t iː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l			
2197-1	z oː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m ɛ r ɛɪ			
2141-1	h ɛ n			
2147-1	x ɑ n			
814-1	k r ɛɪ			
810-1	d oː b ə			
1755-1	h ɔ n t			
1758-1	m ɛɪ s			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w ɑ l			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ t			
1305-1	v l iː			
711-1	w ɔ s p			
1442-1	v l iː ɣ			
62-1	m ɛ k			
-73-1	m ɔ s k iː t oː			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l uː t			
690-1	r ɪ p			
2177-1	h ɛ p			
246-1	oː ɣ ə r + b r			
249-1	w ɣ ə n d + ɛɪ t			
1506-1	n aː z ə ə + l ɑ k			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	d ɑ k ə			
2174-1	s ɔ l d ə r			
575-1	ɑ k s l l			
603-1	b l ə + aː b oː x ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r r			
901-1	k l f			
608-1	v ɔ t			
596-1	t aː ə			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l ɛɪ v ə r			
1606-1	h ʉ p ə			
472-1	n iː iː ə			
1535-1	z w ɛ t ə			
1546-1	s p ɛ t ə			
1959-1	s l aː p ə			
694-1	s n eː r			
1961-1	d r ɛɪ m ə			
323-1	l aː v ə m			
1885-1	x r ɑ p			
2156-1	k r + k ɑ l t + ɑu			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m eː			
274-1	d ɑ p			
278-1	b l ɪ n t			
258-1	d r ɔ d r ɔ ŋ k			
256-1	n ɑ k t t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k ɔ p			
1976-1	t ɔ ŋ			
1243-1	m ɑ l ɛɪ t			
1265-1	p iː l			
1261-1	z iː v ə			
655-1	b r ɑ t			
650-1	d ɛɪ k			
1532-1	k n n t ə			
-36-1	z uː p			
34-1	b oː n			
-1647-1	v ɪ ɣ ə			
-1615-1	z iː l			
125-1	v ɛ t			
1659-1	h oː n ɪ			
1661-1	m ɪ l k			
1676-1	b ɔ t ə r			
480-1	d r + d r ɛ ŋ k			
1466-1	k l ɛɪ + ɔ ŋ			
2277-1	w ɔ l			
2271-1	v ɛ l t			
2293-1	l eː d ə r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n ɛɪ d ə l			
1185-1	z uː ʉ t ə r r r			
1179-1	h ɑ t			
2168-1	k ɑ m			
1952-1	d iː r			
899-1	l ɛɪ d ə r			
922-1	b ɛ t			
-934-1	l ɑ m p			
916-1	d r ɔ x			
1726-1	v iː l t			
2108-1	p l øː ɣ ə			
1133-1	v ɔ r k			
2114-1	s p aː t ə			
1272-1	r oː ɣ ə			
1979-1	x r ɑ s			
1989-1	h aː			
-2260-1	p l ɑ n t ə			
70-1	b uː k			
-89-1	w ɛɪ n + s t ɔ k			
-12-1	p ɛɪ p ə			
713-1	z ɑ p			
747-1	n eː t ə l			
308-1	d uː			
289-1	b ɪ n d ə			
1930-1	b r ɑ k ə			
1928-1	z p ɑ l t ə			
858-1	s t r ɛ k			
1577-1	h ɛ ŋ h m ə			
908-1	w ɔ s ə			
648-1	b oː r ə			
1855-1	h ɔ l k l ə			
657-1	h ɑ m ə r			
2058-1	n aː ɣ ə l			
949-1	b l ɑ t m			
1642-1	x ɔ l t			
1640-1	z ɪ l b ə r			
1633-1	eː r ə n			
1630-1	t ɪ n			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɔ n d r r		
1375-2		l ɪ f θ		
760-2		w ɪ n d		
756-2		s n s		
726-2		m iː d l̩ r		
1351-2		ɡ r aɪ p + b eɪ d		
1353-2		ɡ r aɪ t + m ʌ d		
412-2		s w n̩ n r eɪ p ɔː		
406-2		s ɔ aɪ n r ɪ t		
1005-2		s d ɪ v ə k t d		
1012-2		s d iː p æ m ʌ d		
1016-2		w ɪ d		
1069-2		ɪ k		
509-2		f iː l		
693-2		m ɔ l + s		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ɔ l f		
1198-2		b eɪ t		
2032-2		h ɔ t n		
2241-2		n əʊ s		
2244-2		l ɪ p		
610-2		k ɔ ɪ		
945-2		h ɛ r		
1534-2		l ɪ k		
384-2		s ʌ		
1650-2		s ɔ t		
1663-2		s əʊ l		
2279-2		l aɪ n		
471-2		s əʊ		
1385-2		s ɔ t		
792-2		j ɪ		
1111-2		m ɔː s		
197-2		s ʌ d l̩		
2020-2		l ɑː ŋ		
867-2		h aɪ n d r r		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		s iː p		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h ʌ v l̩ l		
829-2		k l ɪ f		
1025-2		w əʊ t r		
1027-2		s ɛ		
1832-2		r iː p		
-1816-2		s ŋ ə n n		
-335-2		l eɪ s ʌ n		
1043-2		s d r aɪ m		
423-2		s t ɪ n		
2049-2		m əʊ n		
2062-2		s d ɔ r m		
2065-2		r aʊ n m + b ʌ		
1368-2		s əʊ t		
1365-2		θ iː		
754-2		r aʊ n		
768-2		w iː d		
