COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o ɲ e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ l			
203-1	a g u d i			
138-1	a i l i			
504-1	ɗ oː a a ʔ			
662-1	ɓ ɔː d a			
478-1	g o ɗ ɗ			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ a l ɾ			
622-1	n d u			
546-1	n d u			
547-1	a ɛ ʔ a ʔ			
847-1	ɲ ɲ ɲ d e g i			
95-1	b ɛ ɗ i			
105-1	b ɪ n e			
510-1	b o a a			
951-1	m b ə m ɾ e			
1116-1	m b m			
149-1	ɓ u dʒ ʔ i			
376-1	ɓ a l i			
815-1	g o ɾ a ʔ			
453-1	ɗ u ɲ e			
67-1	ɗ a a e			
47-1	ɗ o k o l a			
869-1	ɗ ɔː l a			
57-1	k g u			
303-1	g a dʒ ʔ i a			
443-1	g ɛ ɾ e			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b ə ɾ e			
831-1	h a g e			
616-1	b eː e			
84-1	h o a ə l e			
346-1	h o b u l			
601-1	dʒ i g i			
177-1	k ʔ a ʔ a			
341-1	k ʔ o l a			
1066-1	ʔ ɛ n dʒ ʔ e i			
318-1	ʔ ɛ ʃ i			
241-1	m g a			
556-1	h a n d u n u			
191-1	ɓ ɪ m m mʷ l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	h a n dʒ i ɾ			
751-1	ɾ o			
864-1	a n o n i			
154-1	a m a n dʒ i			
278-1	a m i l u ʔ			
766-1	a oː ɾ a			
251-1	a g ɔː ɾ u			
582-1	u ʔ o n			
6-1	a l i			
1106-1	ɲ g o			
473-1	n i n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b i			
24-1	dʒ e			
25-1	l a ɾ e			
879-1	a b a ɾ a b ɛ l			
837-1	m a a i			
233-1	b i b g o			
938-1	ɓ u l l			
369-1	a ɾ e			
946-1	ɓ a n g o			
889-1	ɓ a l			
820-1	a a o ɾ e ɲ			
438-1	n d ɛ n e			
283-1	m n k dʒ ʔ e ɾ			
52-1	l o a			
842-1	ɗ o n o b a			
110-1	k i d ə ɾ d			
165-1	m a			
1007-1	u n g o l e			
1088-1	h o a ɛ l e			
1087-1	u n g o l e			
702-1	eː l a			
536-1	k a ɗ e			
694-1	n d			
468-2		l a b a		
222-2		aː b k b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r l		
203-2		a g u d i ʔ		
138-2		ʃ i l i		
504-2		ɗ oː ʃ ɛ n		
