COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a e									
56-1	t a m									
96-1	t a p a t									
99-1	t a n a t									
114-1	t o k									
115-1	t a p a t									
133-1	t i p a t									
144-1	t a p a t									
150-1	k a w									
234-1	k o m									
236-1	p a k									
241-1	n a n a w									
249-1	i a n									
1-1	w a t a t									
2-1	w a m									
65-1	i w									
74-1	p a n a t									
106-1	t u n a t									
128-1	k a k									
147-1	t i m i t									
231-1	p a n a t									
232-1	p i p a t									
239-1	n a m a k									
266-1	i a n a t									
51-1	t a n									
97-1	m a m a t									
109-1	t a p a t									
121-1	k a p a t									
149-1	t o k									
160-1	k i p i t									
163-1	t a p a t									
167-1	p a p									
207-1	m i m									
259-1	t o w a t									
66-1	k a p a k									
134-1	n a p a t									
139-1	m a n a t									
142-1	p a p a t									
145-1	k a p a t									
148-1	t a p a t									
162-1	i a n a t									
166-1	i a n									
179-1	t a m									
201-1	p e m									
21-1	t a n a t									
24-1	k a k a t									
50-1	i n a a t									
57-1	t u k									
84-1	p i n a w									
91-1	m a k									
131-1	t u k									
151-1	k i n									
154-1	w e m									
192-1	t e t									
197-1	t a m a t									
205-1	i a p a t									
227-1	p a p a t									
246-1	i w i w									
251-1	w a n a t									
271-1	tʃ i n a t									
285-1	i a p a t									
75-1	i a n a t									
79-1	t a n a t									
104-1	k a p a t									
153-1	tʃ a k									
157-1	t a p a t									
174-1	p a p a t									
240-1	t i m a k									
270-1	k a w a t									
52-2		t a e t e								
56-2		e m e e e								
96-2		a s a p								
99-2		a s a p								
114-2		t o r e m u								
115-2		t o								
133-2		t a								
144-2		a s a p								
150-2		k a								
234-2		k o m e m u								
236-2		h o k o m								
241-2		a s a p								
249-2		i s a p								
74-2		a s a p								
93-2		t a								
95-2		a s a p								
106-2		t e m e m u								
119-2		w i j e m u								
128-2		h o k o n								
147-2		t a m e m u								
231-2		a s a p								
232-2		a o r a								
239-2		a s a p								
266-2		i s a p								
51-2		t a e t								
55-2		h o r a								
97-2		e m e m								
121-2		k a h o								
163-2		k a e a								
167-2		a s a p								
259-2		t a								
66-2		k a h a								
