COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a t									
56-1	u m i ʔ									
96-1	t a t a									
99-1	t a t a									
114-1	t o k									
115-1	u p i ʔ									
133-1	t i p a t									
144-1	t a t a t									
150-1	k a w									
234-1	k o k									
236-1	p i k									
241-1	t w i n									
249-1	i s i ʔ									
1-1	w a t a									
2-1	w o m									
65-1	i w ʔ									
74-1	p a n a									
52-2		t t e								
56-2		u m e								
96-2		a t a m i								
99-2		a t o m a								
114-2		t e k i s i								
115-2		u p i								
133-2		t i p a s i								
144-2		a t a								
150-2		k a w a								
234-2		k o m a								
236-2		p p k i i								
241-2		a w a n								
249-2		i t i								
74-2		p a n a n								
93-2		t o p a s i								
95-2		w e k i s i								
52-3			t a e							
56-3			p a i							
96-3			k a t i tʃ e							
99-3			p a i t i							
114-3			t u k o tʃ e							
115-3			p a i t i							
133-3			t i p i tʃ e							
144-3			p a i i tʃ e							
150-3			k a i							
234-3			k o m i tʃ e							
236-3			p a k a tʃ a							
241-3			p a i t i							
249-3			i j e							
1-3			w a t i tʃ e							
2-3			p a i i tʃ e							
65-3			i a a							
93-3			t u m a tʃ e							
95-3			k a i a							
52-4				t t i						
56-4				u m i						
96-4				a t a n						
99-4				a r i n						
114-4				t o k						
115-4				u u i u						
133-4				t i p a						
144-4				a a a n						
150-4				k a w						
234-4				k o m						
236-4				p i k u k						
241-4				a w i n						
249-4				i s i						
1-4				w a t a						
2-4				w m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a t						
95-4				w i k						
52-5					t t i					
56-5					i m e					
96-5					t a a					
99-5					t r i					
114-5					t o k i s i					
115-5					i o i					
133-5					t i p a t i s i					
144-5					w a r i a i i					
150-5					k a w					
234-5					k o m					
236-5					p a k i s i					
241-5					w a i i ʔ					
249-5					i s i					
1-5					w a r a ʔ					
2-5					w o m					
65-5					i w i					
74-5					p a n a ʔ					
93-5					t o p a t i					
95-5					w i k i					
52-6						t a i t i				
56-6						u m i tʃ i				
96-6						w a u a i u				
99-6						a a u a a				
114-6						t u k i tʃ i				
115-6						u a u tʃ i				
133-6						t i p a tʃ i				
144-6						w a u a a a				
150-6						k a w a r a				
234-6						k u m i				
236-6						p a k i a i				
241-6						w a i				
249-6						p i i i				
1-6						w a w a h a				
2-6						w i m i				
65-6						p a p e				
74-6						p a n a h u				
93-6						t u p a tʃ i				
95-6						w i k i tʃ i				
52-7							t t i			
56-7							u m u			
96-7							a r a			
99-7							a r i d n			
114-7							t u k i			
115-7							u r r			
133-7							t i p i t o			
144-7							a r a w a			
150-7							k a w a			
234-7							k u m			
236-7							p i k i			
241-7							a w i d n			
249-7							i j s i			
1-7							w a t a			
2-7							w m i			
65-7							i w i			
74-7							p a n a			
93-7							t u p a t o			
95-7							w i k i			
52-8								t v e		
56-8								y v e		
96-8								t a p a b		
99-8								m a r a b		
114-8								t u k		
115-8								y v e		
133-8								t u p a o		
144-8								w a r a n		
150-8								k a w		
234-8								k a m a k		
236-8								p a k a k		
241-8								m a i		
249-8								i v e		
1-8								w a t i		
2-8								m a m		
65-8								i v e		
74-8								p a n a b		
93-8								t u p a o		
95-8								w a k		
52-9									i t i	
56-9									i m i	
96-9									a r a r	
99-9									a r i m a ʃ i ʔ	
114-9									t o k i ʃ i ʔ	
115-9									i r r i	
133-9									t i p i r a ʃ i ʔ	
144-9									a r a w a i i ʔ	
150-9									k a w a	
234-9									k o m	
236-9									p i k i n i ʔ	
241-9									a w i n	
249-9									i t i	
1-9									w a r a	
2-9									w a m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r a ʃ i ʔ	
95-9									w i k i ʃ i ʔ	
52-10										t i ʔ
56-10										m i ʔ
96-10										t a r a
99-10										t a r a n
114-10										t o k
115-10										w i r e tʃ i ʔ
133-10										t a p a tʃ i ʔ
144-10										t a r a w a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k o n a
241-10										w a n ʔ
249-10										tʃ i ʔ
1-10										w a r a
2-10										m i m
65-10										w e
74-10										p a n a
93-10										t o p a tʃ i ʔ i ʔ
95-10										w i k
