COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t e e									
56-1	u m e									
96-1	t a p a									
99-1	t a n a t									
114-1	t o k									
115-1	j i r u i									
133-1	t i p a t									
144-1	t a p w i									
150-1	k a w									
234-1	k o m									
236-1	p a k									
241-1	t i w ʔ									
249-1	i r e									
1-1	w a t a									
2-1	w i m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t i n									
128-1	p o k									
147-1	t i m i ʔ									
231-1	p a n a w									
232-1	p i p j i									
239-1	n a m a k									
266-1	i a n									
51-1	i w e									
97-1	m a p a m									
109-1	i p e j i									
121-1	k a p u									
149-1	t o k									
160-1	k i r u k									
163-1	u p e n									
167-1	p a p									
207-1	m i n									
259-1	t o w a									
66-1	k a p a k									
134-1	n i p a t									
139-1	m a n									
142-1	p a t a m									
145-1	k a t a t									
148-1	t a w a w									
162-1	i n n									
166-1	i m m									
179-1	t a									
201-1	p e p									
21-1	k a w a k i ʔ									
24-1	k a k a k									
50-1	i n a									
57-1	t o k									
84-1	p i w a w									
91-1	m a k									
131-1	t u k									
151-1	k i w ʔ									
154-1	w e									
192-1	t i t									
197-1	t a m									
205-1	i p a n									
227-1	w a p u i									
246-1	i w w ʔ									
251-1	w a n a									
52-2		t a e k r e n								
56-2		i m e e r e n								
96-2		a s a								
99-2		a s a								
114-2		t o a								
115-2		i k e k r i n								
133-2		t o p i r i n								
144-2		w a a								
150-2		k a n								
234-2		k o a								
236-2		p i s i k i n								
241-2		a n								
249-2		i s i ã								
74-2		p a n								
93-2		t o p								
95-2		w i s i k i n								
106-2		t o a								
119-2		i a s i								
128-2		k o k i r i n								
147-2		t o s i r i n i s i								
231-2		p i s i r i n								
232-2		p i s i								
239-2		w a a								
266-2		i i s i								
51-2		i a n								
55-2		i a r j a n								
97-2		w a n								
121-2		k a n								
163-2		i p i ã								
167-2		p a n								
259-2		t o a								
66-2		k a n								
112-2		t a n								
116-2		t o a								
125-2		k a n								
135-2		k i a i k i n								
139-2		w i a								
142-2		p p i								
148-2		t a n a								
162-2		i k i ã								
166-2		i i i ã								
179-2		t a n								
45-2		w a n								
84-2		p i s i r i n								
131-2		t o a								
146-2		k i t r a n								
154-2		w i s i								
192-2		t o t								
197-2		t o m i								
235-2		p i s i								
237-2		w i j e m n								
246-2		i k n ã								
250-2		w o a								
52-3			t i w i							
56-3			u m a j o							
96-3			n a v i s a j a							
99-3			n a v i s a j a							
114-3			tʃ e k o							
115-3			u m a j o							
133-3			t i o e t i							
144-3			n a v i s a j a							
150-3			k a m a r a j a							
234-3			k o m a							
236-3			p i k o m a j a							
241-3			n a v i s a j a							
249-3			n a v i							
1-3			j a v i s a j a							
2-3			j a m a r a							
65-3			n a j i r a							
93-3			t i o a							
95-3			j a k i							
106-3			t i m a							
119-3			j a k i							
128-3			p a k o							
147-3			t i m a							
231-3			p a v i s a j a							
232-3			p i a i o							
239-3			n a m a r a j a							
266-3			n a v i							
3-3			n a v i s a							
4-3			j a v a r a							
55-3			n a v i s a j a							
109-3			u m a j o							
121-3			k i k o m i							
149-3			tʃ e k o							
160-3			k i k a k i							
207-3			m a j a							
112-3			t i k i t i							
125-3			k i k o m a							
134-3			n a v i s a							
135-3			t i m a							
139-3			m a m a							
57-3			t i k o t i							
71-3			u m a j o							
131-3			t i k o t i							
146-3			k i m a s i							
227-3			j a v i s a j a							
52-4				t a e						
56-4				u m						
96-4				a r a a						
99-4				a r a						
114-4				t o k						
115-4				u r r a						
133-4				t i p a p a						
144-4				a r a w i						
150-4				k a w						
234-4				k o m						
236-4				p a k						
241-4				a w i n						
249-4				i i a						
1-4				w a t a						
2-4				w i m						
65-4				i w i						
74-4				p a n a						
93-4				t a p a						
95-4				w i k						
106-4				t i n						
119-4				i a t						
128-4				p u k						
147-4				t i m						
231-4				p a n a w						
232-4				p i p u						
239-4				n a m a k						
266-4				i i i						
3-4				w r a k						
4-4				w a r a						
51-4				u w i						
97-4				m a p a m						
109-4				u p u n						
121-4				k a p u n						
149-4				t o k						
160-4				k i r a k						
163-4				u p e j						
167-4				p a n						
207-4				m i n						
259-4				t o w						
66-4				k a r a k						
116-4				t o p a k						
134-4				n i p a ʒ̟						
135-4				k i m						
139-4				m o n						
142-4				p a t a m						
145-4				k a r a ʒ̟ i						
148-4				t a a w w						
162-4				i n n n						
166-4				i m						
179-4				t a n						
201-4				p e						
21-4				k a w						
24-4				k a k a k						
45-4				u a r a						
50-4				i n a						
57-4				t o k a w						
71-4				u m						
84-4				p i w a n						
91-4				m o k o						
131-4				t o k a k						
146-4				k i m a m						
151-4				k i w						
154-4				w i						
192-4				t i t						
205-4				i p a n						
227-4				w a p u n						
235-4				tʃ i w						
237-4				n a m a m						
246-4				i w i						
250-4				m u r a k						
251-4				w a n a						
52-5					t t t					
56-5					i m e					
96-5					a a a i					
99-5					a i i i m i					
114-5					t o k					
115-5					i o r i					
133-5					t i t i r a n					
144-5					w o a w a i n					
150-5					k a w i					
234-5					k o m					
236-5					p a k i					
241-5					a w i					
249-5					i r i					
1-5					w a w a					
2-5					w i m					
65-5					i r i					
74-5					p a j a					
93-5					t o r a m i ʔ					
95-5					w i k i					
106-5					t i r i					
119-5					j a t i i i					
128-5					k o k					
147-5					t i m i m i					
239-5					m a m a m a n					
266-5					i a i					
3-5					w o r i r i ʔ					
4-5					w a w i					
51-5					i o i					
55-5					i r a a					
97-5					m a m					
109-5					i p i i i i i					
149-5					t o k					
160-5					k i r i					
163-5					i i i					
167-5					p a k					
207-5					m i m					
259-5					t o r a					
66-5					k a w a k a n					
112-5					t a r i m i n					
116-5					t o r a m a n					
134-5					i i r a m i n					
135-5					t o k i m e s					
139-5					m e k i m e s					
142-5					p a t a m a m a					
145-5					k a w a t i					
148-5					t a w a m a n					
162-5					i r i					
166-5					i m i					
179-5					t a k					
201-5					p e k					
21-5					t a w a					
45-5					f a r a m					
50-5					i r a					
71-5					i o i					
84-5					p i t i					
91-5					m a k o m					
146-5					k k m					
151-5					k i k					
154-5					w o k					
192-5					t i t					
197-5					t i r i					
205-5					i p a a i					
235-5					s o r i					
237-5					m a m a m a m					
250-5					m o r i					
251-5					w a j a m a n					
52-6						t i w a				
56-6						u m i tʃ i				
96-6						t a w a				
99-6						t a w a				
114-6						t u k i				
115-6						tʃ i i a i i				
133-6						t i w a				
144-6						t a w a				
150-6						k a w a				
234-6						k i m a k				
236-6						p i k i tʃ i				
241-6						t a w a				
249-6						tʃ i m a				
1-6						t a w a				
2-6						t i m a i				
65-6						tʃ i m a				
74-6						t a w a				
93-6						t a w a				
95-6						t i m i				
106-6						t i w a k i				
119-6						tʃ i tʃ i tʃ i				
128-6						tʃ i k i tʃ i				
147-6						t i m i k i				
231-6						p e k a tʃ i				
232-6						tʃ i i i i i				
239-6						tʃ i m a k				
266-6						tʃ i m a k i				
3-6						t a w a k i				
4-6						t a w a				
55-6						tʃ i m a				
97-6						t a w a i				
109-6						tʃ i i i i i				
160-6						k i tʃ i k i				
207-6						u m i tʃ i				
112-6						t a w a				
116-6						t u w a k e				
125-6						k i tʃ i k i				
134-6						t i m a				
135-6						t i m a tʃ i				
139-6						tʃ i i i i i				
201-6						p i m a				
21-6						t a w a				
24-6						t i k i k i				
57-6						t u k i t a				
131-6						t u k i t i				
227-6						t a w a i i				
52-7							t e t e t			
56-7							u m u			
96-7							t i a			
99-7							t i t n i			
114-7							t o a			
115-7							u i u			
133-7							t i t e t i			
144-7							t i a a w i			
150-7							n a k			
234-7							t i k			
236-7							p a s o r o			
241-7							v i u n			
249-7							i r e n i			
1-7							v i t e a			
2-7							v i u			
65-7							i r e n i			
74-7							p a k			
93-7							t i t e t i			
95-7							v i t i			
106-7							t i t e t i			
119-7							i i e i i			
128-7							p a k			
147-7							t i m i			
231-7							p a k a w i			
232-7							p e s o r i			
266-7							i a e n i			
3-7							v i u n i			
4-7							v i t e			
51-7							u i k			
55-7							i r e a w i			
97-7							m a k			
109-7							u r e a r i d n			
121-7							n a k i			
149-7							t o a			
160-7							t i u n i			
163-7							u r e e k			
167-7							p a k			
207-7							m i k			
259-7							t o a			
66-7							n a k a k			
125-7							n a k i			
135-7							t i m a m			
142-7							p a a a m i			
145-7							t a k a k i			
148-7							t o a e a t			
162-7							i r e n i			
166-7							i m u n i			
179-7							t o a			
201-7							p e s o			
21-7							t a k			
24-7							t i k			
50-7							i r e a w i			
57-7							t o a			
71-7							u m u			
84-7							p e a			
131-7							t i t e t i			
146-7							i i e a k			
151-7							n i u n i			
197-7							t e t e m			
205-7							i r e a w i			
227-7							m a k u			
237-7							n a k a k			
246-7							i r e n i			
250-7							m i k u m o			
251-7							v i k a w i			
52-8								t a y t y		
56-8								e v e t e m		
96-8								w a s a b		
99-8								w a m a b		
114-8								t u p a n		
115-8								y v y t y		
133-8								t a p a b		
144-8								w a s a b		
150-8								k a k		
234-8								k u m a n		
236-8								j e m o b		
241-8								w a s a b		
249-8								w a s a b		
1-8								y a m a b		
2-8								y v y t y		
65-8								y v y t y		
74-8								j a m a a		
93-8								t u p a b		
95-8								y v y t y		
119-8								j a m a a		
231-8								j a m a a		
232-8								j e m t b		
239-8								w a m a a		
3-8								y a m r a		
4-8								y a m a b		
51-8								y v y t y		
55-8								w a s a b		
109-8								j v m t y		
121-8								k a m r a		
149-8								t u p a n		
163-8								y v y t y		
167-8								w a m a b		
259-8								t u p a n		
66-8								k a k		
112-8								t a m a b		
116-8								t u p a n		
125-8								k a m r a		
145-8								k a m r a		
45-8								j a m a a		
91-8								e e m a b		
235-8								s i v		
246-8								y v y t y		
250-8								t e m a b		
52-9									i t a	
56-9									i r a	
96-9									w a r a	
99-9									w a r a r a	
114-9									t o k	
115-9									i a r a r m	
133-9									t a t i r a m a ʔ	
144-9									w a r a	
150-9									k a w a	
234-9									k a m	
236-9									p a k i n	
241-9									w a w a	
249-9									i r a	
1-9									w a t a	
2-9									w a a	
65-9									i w a	
74-9									p a h a	
93-9									t a h a r a m a ʔ	
95-9									w a k	
106-9									t a n	
119-9									j a t i	
128-9									p a k	
147-9									t i k	
231-9									p a h i t a m a ʔ	
232-9									p i i i	
239-9									j a a a a a m a ʔ	
266-9									i a a w	
3-9									w a r a r a	
4-9									w a r a	
51-9									i w a	
55-9									i a a w	
97-9									t a h o	
109-9									i p i j	
121-9									k a h i ʔ a m a ʔ	
149-9									t o k	
160-9									k i r a r i	
163-9									i p i n	
167-9									p a k	
207-9									u w a	
259-9									t o w a	
66-9									k a r a r a m a ʔ	
112-9									t a r a t i ʔ	
116-9									t o h a t a ʔ	
125-9									k a t a r a m a ʔ	
134-9									i a a i t i	
135-9									t a k a	
142-9									p a t a a a	
145-9									k a t a t a ʔ a ʔ	
148-9									t a w a r a m a ʔ	
162-9									i j a w	
166-9									i r a	
179-9									t a	
201-9									p i	
21-9									t a w	
24-9									w a k a r a m a ʔ	
45-9									i a a a a m	
50-9									i a a	
57-9									t o k a w a m a ʔ	
71-9									i r a	
91-9									u r a w a m	
151-9									k i w	
154-9									w a a	
192-9									t o t	
197-9									t a r a r i ʔ	
205-9									i p a i	
227-9									p a h i t a ʔ a ʔ	
235-9									ʃ a w a	
237-9									i a a a a a	
246-9									i w a	
251-9									w a n a	
52-10										t a t i ʔ
56-10										w i tʃ i ʔ
96-10										t a r i ʔ
99-10										t a r i m
114-10										t o k
115-10										w i r i m
133-10										t a k i ʔ
144-10										w a r e m a
150-10										k a w
234-10										k o m
236-10										p i k i ʔ
241-10										w a r i ʔ
249-10										w i tʃ i ʔ
1-10										w a r a
2-10										w i r
65-10										w i r
74-10										p a r a m a
93-10										t o w a m a
95-10										w i k i ʔ
106-10										t i j i m
119-10										w i t i ʔ
128-10										k o k
147-10										t i k i ʔ
231-10										p a r a m a ʔ
232-10										w i r i ʔ
239-10										m a r a m a ʔ
266-10										w i r i ʔ
3-10										w a r i m
4-10										w a r i ʔ
51-10										w i tʃ i ʔ
55-10										w i j i ʔ
97-10										m a k i m
121-10										k a k i ʔ
149-10										t o k
160-10										k i r i ʔ
163-10										w i tʃ i ʔ
167-10										t a k
207-10										m i ʔ
259-10										t o w a
112-10										t a r i ʔ
116-10										t o k a m
125-10										k a t i ʔ
