COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	ʐ i t ⁵⁵								
438-1	ʐ a ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	n au ³¹								
221-1	ʑ i p ⁵⁵								
202-1	k au ³¹								
935-1	o ³¹								
93-1	tsʰ ɔ ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	a ʔ ⁵⁵								
547-1	ʐ i ʔ ⁵⁵								
555-1	ʑ au m ⁵⁵								
464-1	m au ³¹								
119-1	ȵ̥ i ⁵⁵								
835-1	ʐ a p ⁵⁵								
79-1	w a ³¹								
693-1	au ⁵⁵								
477-1	n a p ³¹								
891-1	tʰ o ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ʐ au ʔ ⁵⁵								
580-1	ʐ au t ⁵⁵								
833-1	m o ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	w a ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	ʐ a k ⁵⁵								
731-1	s a ³¹								
779-1	t a ⁵⁵								
589-1	t a ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	kʰ ʐ o ³¹								
785-1	pʰ ɔ ³¹								
714-1	w u ⁵⁵								
331-1	l ɔ ³¹								
930-1	a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	p w a ³¹								
179-1	ʐ w a ʔ ⁵⁵								
194-1	ʐ a ʔ ⁵⁵								
727-1	ʂ a ŋ ⁵⁵								
260-1	ʐ a p ⁵⁵								
144-1	w a m ⁵⁵								
53-1	p au m ⁵⁵								
