COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	d a r ɨ									
35-1	h i ts u a									
36-1	h u θ a a u									
48-1	n a g a i									
60-1	θ u r i									
63-1	s i r a m i									
64-1	x i									
67-1	h a									
68-1	n i									
71-1	ts i									
76-1	h u n ɨ									
83-1	ts u n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ a									
103-1	ts u m ɨ									
110-1	θ i									
116-1	m u n ɨ									
120-1	n u m u									
132-1	k i k u									
139-1	x u r u s u									
140-1	u u ɴ u									
156-1	θ a u u r									
168-1	ts u k i									
169-1	h u s i									
170-1	m i i u									
173-1	i s i									
180-1	k u m u									
185-1	h a i									
186-1	m u ɨ r u									
187-1	m i ts i									
190-1	ʔ k a i									
193-1	k u r u i									
194-1	s i r u i									
195-1	k u r u i									
216-1	m a r u									
221-1	n a ɴ									
239-1	i ts u									
252-1	m i a u									
253-1	g u a u									
254-1	i ts u ts u									
266-1	x a r ɨ									
267-1	n a g a r ɨ r u									
268-1	u m i									
272-1	ʔ m ɨ									
276-1	ʔ r a u									
281-1	m u s i									
304-1	ts u b a									
305-1	ts i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
342-1	g u k i									
346-1	x u r a i									
347-1	k i r u									
348-1	h i r u i									
351-1	θ o i a									
361-1	u m u									
379-1	k u s a r a									
394-1	h i d ʔ r i									
395-1	m i i r									
400-1	h i ɨː a r u									
412-1	s a x ɨ r u									
413-1	ts u k i s s									
414-1	h u r u									
422-1	h u x u r ɨ r u									
423-1	x a ɴ g a ɨ r u									
430-1	h a k u									
435-1	h u k u									
446-1	s i θ a									
447-1	u i									
458-1	θ u s i									
56-1	h i θ u									
62-1	i n u									
70-1	θ a n ɨ									
96-1	m i									
101-1	h a									
114-1	x u b i									
119-1	k i m u									
134-1	s i ɨ u r u									
138-1	s i n u r									
146-1	ʔ r u k u									
161-1	ʔʲ o									
182-1	x ɨ m u r i									
188-1	g a m a									
196-1	u r u									
262-1	h i r u m									
300-1	h ɨ s u									
313-1	d ɨ									
350-1	s ɨ m a i									
352-1	ts i k a i									
396-1	h u r u s									
401-1	u s u									
420-1	u i r u									
424-1	u θ ʔ u									
442-1	s i m ɨ r u k									
455-1	i x i u r									
15-1	ʔ r ɨ									
49-1	u n n ɴ									
130-1	m i r u									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a ts u								
48-2		n a g a i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o b o g u								
156-2		t a r u r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
