COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	n a r i									
35-1	h i θ ɨ r  k θ r u u i									
36-1	h u θ ɨ θ  r θ r u u θ									
48-1	n a g a									
60-1	θ u r i									
63-1	s e r a s									
64-1	k i b									
67-1	h a a									
68-1	n a b u r i									
71-1	tɕ i									
76-1	h u ɴ a									
83-1	θ ɨ n u									
87-1	h a ɴ g e									
95-1	m e m m									
98-1	h a ɴ a									
99-1	k u r i									
-102-1	s e θ a									
103-1	θ ɨ b e									
110-1	θ ɨ b									
116-1	m u r a									
120-1	n u m u									
132-1	k i x a r i									
139-1	k u r ɨ s u									
140-1	ʔ u ɨː u u									
156-1	θ a θ a r i									
168-1	ʔ ɨ k i									
169-1	h u s i									
170-1	m e b u									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h a a u									
186-1	m u θ u r i									
187-1	m e tɕ i									
190-1	ʔ a a a									
193-1	k ɨ s u									
194-1	s e r u s a r i									
195-1	k u r u r a r i									
216-1	m a r u s a r i									
221-1	n a a									
239-1	ʔ i tɕ ɨ r  r									
252-1	m e s ɨ									
253-1	j u r ɨ									
254-1	ʔ i tɕ ɨ r ɨ k  r u r i									
266-1	k a x a									
267-1	n a g a									
268-1	ʔ u m u									
272-1	ʔ a m a									
276-1	ʔ a r u									
281-1	m u s i									
304-1	θ ɨ b a									
305-1	tɕ i tɕ  r									
308-1	h a ɴ a									
309-1	k u s a									
310-1	θ u r									
311-1	n a r									
342-1	j u r i									
346-1	k u r i									
347-1	k i r i r i									
348-1	h i r u r a r i									
351-1	θ u r a									
361-1	ʔ u m u r a r i									
379-1	k u s a									
394-1	h i kʲ a									
395-1	m eː g i									
400-1	h i kʲ a									
412-1	s a x i ts i r i									
413-1	θ ɨ k i									
414-1	h u r u									
422-1	h u r u r u r i r u									
423-1	k a ɴ x e									
430-1	h a x u									
435-1	h u r u r i									
446-1	s i θ a									
447-1	ʔ u a s u									
458-1	θ u s i									
56-1	h i θ									
62-1	ʔ i ɴ									
70-1	θ a ɴ a									
96-1	m e s									
101-1	h a a									
14-2		k o r e								
18-2		d a r e								
35-2		h e t u								
36-2		h u t e								
48-2		n a g u								
60-2		t o r u								
