COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	n a r i r  r a a									
35-1	h i tɕ ɨ r  r i r  tɕ									
36-1	h u tɕ ɨ r  r tɕ a									
48-1	n a g a									
60-1	θ u r i									
63-1	s i r i r									
64-1	k i k  s									
67-1	h a a									
68-1	n ɨ ɴ u r i									
71-1	tɕ i									
76-1	h u r a									
83-1	ts ɨ n u									
87-1	h a n g e									
95-1	m i m m  i r i i i i  i i r i i i i i i r i									
98-1	h a n a									
99-1	k u r i									
-102-1	s i θ a									
103-1	ts ɨ b a									
110-1	θ ɨ ɴ									
116-1	m u r ɨ									
120-1	n u m u r i									
132-1	k i k u r i									
139-1	k u r ɨ s u									
140-1	ʔ u ɨː tɕ u									
156-1	θ a ɴ u r i									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m i b u									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h a a r  a r a a  a  a a r a a a a a a r a									
186-1	m u θ u r i									
187-1	m i tɕ i									
190-1	ʔ a tɕ a									
193-1	k u r u r i									
194-1	s i r u r a r i									
195-1	k u r u r a r i									
216-1	m a r u r a r i									
221-1	n a tɕ									
239-1	ʔ i tɕ ɨ r  r i r									
252-1	m i s ɨ									
253-1	j u s ɨ									
254-1	ʔ i tɕ ɨ r ɨ r  r  r									
266-1	x a ɴ a r  r a a  a  a a a a a a									
267-1	n a g a r i r i r i									
268-1	ʔ u b a									
272-1	ʔ a m a									
276-1	ʔ a r u									
281-1	m u s i									
304-1	ts ɨ b a s  r a a  a  a a r a a a									
305-1	tɕ i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i ɴ									
14-2		k o r e								
18-2		d a r e								
35-2		h i t u								
36-2		h u t a								
48-2		n a g a								
60-2		t o r i								
63-2		s o r a a								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m o								
132-2		k i k u								
139-2		k o r o s u								
140-2		o ɴ o kʲ o								
156-2		t a r e r  r u r								
168-2		ts u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m o								
185-2		h a pː								
186-2		m o r r u								
187-2		m i tɕ i								
190-2		a k u								
193-2		k i r o								
194-2		s i r o kʲ a								
195-2		k u r u								
216-2		m a r u								
221-2		n a								
239-2		i t u								
252-2		m i r o								
253-2		j o r o								
254-2		i t u								
266-2		k a r e								
267-2		n a g a r u r u								
268-2		u m o								
272-2		a m e								
276-2		a r u								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
14-3			k o							
18-3			d a r							
35-3			h i t o							
36-3			h u t a							
48-3			n a i a							
60-3			t o j							
63-3			s i j e							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			k i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n n a							
95-3			m i m							
98-3			h a n n a							
99-3			k ui							
-102-3			s i t e							
103-3			ts u m e							
110-3			t e							
116-3			m ui n e							
120-3			n o m							
132-3			k i							
139-3			k o r							
140-3			o i i							
156-3			t a j o							
168-3			ts i u							
169-3			h o ɕ s							
170-3			m i							
173-3			i s							
180-3			k ui m o							
185-3			h a							
186-3			m o							
187-3			m i							
190-3			a k w a							
193-3			k i t  o o t							
194-3			s i j e							
195-3			k u r u							
216-3			m a r							
221-3			n a							
239-3			i t  i i							
252-3			m i j  i							
253-3			j o j							
254-3			i t u							
266-3			k a i w u							
267-3			n a g a							
268-3			ui eː							
272-3			a i i							
276-3			a i t e							
281-3			m ui s							
304-3			ts u							
305-3			k i							
308-3			h a n a							
309-3			k ui s a							
310-3			t o							
311-3			n pː  i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o						
36-4				h u t a						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m a						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o						
140-4				o t o						
156-4				t a k o r a						
168-4				t u k i						
169-4				h o s i						
170-4				m i						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e						
187-4				m i t i						
190-4				a k a i						
193-4				k e r o						
194-4				s i r u						
195-4				k u r u i						
216-4				m a r u						
221-4				n a						
239-4				i t ui						
252-4				m i						
253-4				j o s j						
254-4				i t ui						
266-4				k a w o						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e						
276-4				a r r u						
281-4				m u s i						
304-4				t u b a						
305-4				t i						
308-4				h a n a						
