COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i r  r									
18-1	ʔ a r i r  r									
35-1	h i θ ɨ r  r									
36-1	h u θ ɨ r  r									
48-1	n a g a									
60-1	θ u r i									
63-1	s i r i									
64-1	k i ɴ  o									
67-1	h a a									
68-1	n ɨ ɴ u r i									
71-1	k i r  i									
76-1	h u r a r  r									
83-1	ts ɨ n u									
87-1	h a ɴ g e									
95-1	m i m									
98-1	h a ɴ a									
99-1	k u r i									
-102-1	s i b a									
103-1	ts ɨ b u s  r									
110-1	θ ɨ ɴ									
116-1	m u r a r  r									
120-1	n eː m u r i									
132-1	k i r i r i									
139-1	k u r ɨ r u									
140-1	u u u u u									
156-1	θ a ɴ a r u									
168-1	ts ɨ x i									
169-1	h u s i									
170-1	m i b u s  r									
173-1	ʔ i r i									
180-1	k u m u									
185-1	h a a a  a r									
186-1	m u θ i r i									
187-1	m i r i									
190-1	ʔ a x a									
193-1	k i r i r i									
194-1	s i r i r a r i									
195-1	k u r i r a r i									
216-1	m a r i r a r i									
221-1	n a m  o									
239-1	ʔ i r ɨ s  r i									
252-1	m i s ɨ s  r									
253-1	k u									
254-1	ʔ i r ɨ r ɨ r									
266-1	k a ɴ a									
267-1	n a g a r a r i r i									
268-1	u u θ u									
272-1	ʔ a ɴ a s  r a a									
276-1	ʔ a r i									
281-1	m u s i									
304-1	ts ɨ b a r  r									
305-1	k i r  i i r i r i i  i r i i r i i i i i r i i									
308-1	h a ɴ a									
309-1	k u s a									
310-1	θ u θ									
311-1	n ɨ ɴ									
342-1	k u r i									
346-1	k u r i r a r i									
347-1	k i r i r i									
348-1	h i r u r a r i									
351-1	θ u									
361-1	ʔ u θ u r a r i									
379-1	k u s a r i r a									
394-1	h i r i r i									
395-1	m ɨ r i									
400-1	h i r a r u r i									
412-1	s a x i r u r i									
413-1	ts ɨ b i									
414-1	h u r u r u									
422-1	h u r u r u r i r i									
423-1	k a ɴ x e									
430-1	h a x u r i									
435-1	h u r u r i									
446-1	s i θ a									
447-1	w u a s u									
458-1	θ u s i									
56-1	h u θ  u u r									
62-1	ʔ i									
70-1	θ a ɴ a r  r									
96-1	m u s  i									
101-1	h a a									
114-1	k u b u									
119-1	k i r u									
134-1	s i r u r u									
138-1	s i n u r i									
146-1	ʔ a ɴ a r i									
161-1	k u r i									
182-1	k ɨ ɴ u r a									
188-1	w a m a									
196-1	k u r u r  r									
262-1	h i r u r a									
300-1	h i s u r  r									
313-1	ʔ ɨ ɴ									
350-1	s ɨ d a									
352-1	ts i r a r a r i									
396-1	h u r u r a r i									
401-1	ʔ u s i r i									
420-1	ʔ u θ u r u r i									
424-1	ʔ u a									
442-1	s i d u									
455-1	ʔ i r i r u r i									
15-1	ʔ a ɴ i s  r									
49-1	ʔ u a									
130-1	m i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t u								
36-2		h u t a								
48-2		n a g u								
60-2		t o r i								
63-2		s o r a a								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		ts i								
76-2		h o n e								
83-2		ts u n u								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r u								
140-2		o d a								
156-2		t a r e r								
168-2		ts u k u								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m u								
185-2		h a								
186-2		m o r								
187-2		m i tɕ i								
190-2		a k a								
193-2		k i r u								
194-2		s i r u								
195-2		k u r u								
216-2		m a r u a a								
221-2		n a								
239-2		i i u kʲ								
252-2		m i dʑ u								
253-2		k o k u								
254-2		i i u kʲ u								
266-2		k a r a								
267-2		n a g u r e								
268-2		u m u								
272-2		a m e								
276-2		a r a u a								
281-2		m u s i								
304-2		ts u b u								
305-2		ts i								
308-2		h a n a								
309-2		k u s u								
310-2		t o								
311-2		n i								
342-2		k u k u								
346-2		k u r u								
347-2		k i r u								
348-2		h i r u								
351-2		t o r a								
361-2		o m u								
379-2		k u s u								
394-2		h i r u								
395-2		m i dʑ u								
400-2		h i r i								
412-2		s a k e r u								
413-2		ts u k u								
414-2		h o r u								
422-2		h u k u r u								
423-2		k a r u ɴ a								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u a								
458-2		t o s i								
56-2		h i t o								
65-2		k a a								
70-2		t a n e								
75-2		k a a								
114-2		k u b u								
119-2		k i m u								
161-2		k a r								
171-2		k a a								
188-2		k a m a								
196-2		k o r u								
262-2		h i r u								
300-2		h e s e								
313-2		d e								
350-2		s i m u								
352-2		ts i k a								
396-2		h u r u								
401-2		o s u kʲ								
420-2		o d e								
424-2		u t a u								
442-2		s i m e								
455-2		i k i								
22-2		n a								
24-2		m i a z a								
49-2		o i n a								
78-2		a s u kʲ u								
89-2		k e t								
14-3			k o							
18-3			t a r							
35-3			h i							
36-3			h u							
48-3			n a							
60-3			t o							
63-3			s i r a							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			k i							
76-3			h o i e							
83-3			ts u n u							
87-3			h a n n e							
95-3			m i m							
98-3			h a n n a							
99-3			k u							
-102-3			s i							
103-3			ts u m i							
110-3			t e							
116-3			m u n e							
120-3			n o							
132-3			k i k  u u							
139-3			k o r k o							
140-3			o k o							
156-3			t a i o							
168-3			ts i u							
169-3			h o s							
170-3			m i							
173-3			a s							
180-3			k u m o							
185-3			h a							
186-3			m o i k i							
187-3			m i							
190-3			a k							
193-3			k i							
194-3			s i r u							
195-3			k u r u							
216-3			m a r							
221-3			n a							
239-3			i tɕ  i u							
252-3			m i							
253-3			k o							
254-3			i u u							
266-3			k a i k u							
267-3			n a i a							
268-3			ui m							
272-3			a m i i  a a a							
276-3			a iː							
281-3			m u s i							
304-3			ts u							
305-3			k i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n i  i							
342-3			k i k  u u							
346-3			k u r a							
347-3			k i							
348-3			h i r u							
351-3			t o							
361-3			o i o i							
379-3			k u s a							
394-3			h i							
395-3			m i							
400-3			h i							
412-3			s a k e							
413-3			ts u r							
414-3			h o							
422-3			h u k u							
423-3			k a i							
430-3			h a k  u u							
435-3			h u							
446-3			s i t a							
447-3			a iː							
458-3			t o s i							
56-3			h i							
62-3			a n							
65-3			k a							
70-3			t a n e							
75-3			k a							
96-3			m i							
101-3			h a							
114-3			k u							
119-3			k i m u							
134-3			s i							
138-3			s i n							
146-3			a iː i							
161-3			k i							
171-3			k a							
182-3			k e i							
188-3			k a m a							
262-3			h i r i							
300-3			h e							
313-3			n o							
350-3			s e i a							
352-3			k i k a							
396-3			h u r u							
401-3			o s							
420-3			o i u							
424-3			o o a a  a a o o							
442-3			s i m i							
455-3			a k i							
15-3			a iː							
22-3			n a							
49-3			o i i							
78-3			a iː							
89-3			k e							
130-3			m i							
14-4				k o r e r						
18-4				d a r e						
35-4				h i t o						
36-4				h u t a						
48-4				n a n a						
60-4				t o r i						
63-4				s i r a						
64-4				k i						
67-4				h a n  i i						
68-4				n e						
71-4				t i						
76-4				h o n i						
83-4				t u n o						
87-4				h a n a						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o r u						
140-4				o						
156-4				t a t a r o						
168-4				t u k i						
169-4				h o s i						
170-4				m i						
173-4				i s i						
180-4				k u m o						
185-4				h i i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k oː r o						
194-4				s i r u						
195-4				k u r u						
216-4				m a r u						
221-4				n a n						
239-4				i t ui						
252-4				m i						
253-4				h o h o						
254-4				i t ui						
266-4				k a n o						
267-4				n a g a r u						
268-4				u m i						
272-4				a m i						
276-4				a r r						
281-4				m u s i						
304-4				t u b a						
305-4				t i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				h u k i						
346-4				k u r a						
347-4				k i r u						
348-4				h i r u						
351-4				t o r						
361-4				o m o i i						
379-4				k u s a r a						
394-4				h i						
395-4				m i						
400-4				h i r a r u						
412-4				s a k e r u						
413-4				t u k i						
414-4				h o r u						
422-4				h u k u r u						
423-4				k a n						
430-4				h a k o						
435-4				h u k u						
446-4				s i t a						
447-4				u e r						
458-4				t o s i						
56-4				h i t o						
62-4				i						
65-4				k a n a						
70-4				t a n a						
75-4				k a n a						
96-4				m i						
101-4				h a n  i i						
114-4				k u b i						
119-4				k i m o						
134-4				s i r o uː						
138-4				s i						
146-4				a r e						
161-4				u uː						
171-4				k a n a						
182-4				k e m u						
188-4				h a m a						
196-4				h o r u						
262-4				h i r u						
300-4				h e s o						
313-4				d e						
350-4				s e b a						
352-4				t i k a i						
396-4				h u r u						
424-4				u t a						
442-4				s i m i r u						
455-4				i k i						
15-4				a r e						
22-4				n a i						
24-4				m i						
49-4				o						
78-4				a n i						
89-4				k e						
130-4				m i r u						
14-5					k o r e r					
18-5					d a r e					
35-5					h i t o					
36-5					h u t a					
48-5					n a n a					
60-5					t o r i					
63-5					s i r a m a					
64-5					k i					
67-5					h a tɕ					
68-5					n e					
71-5					t iː					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r u					
140-5					o k o h u					
156-5					t a s e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i dʑ u					
