COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ d o ŋ						
514-1	m ɪ k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q ʊ ɪ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x s̪ tɕʰ ɑ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ ɜ q						
1512-1	x tɕ i n̪						
555-1	ʊ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	ʊ ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ ʊ o ɽ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u t̪ p ɜ						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	p s̪ ɪ l						
820-1	l̪ o k						
1636-1	x l̪ u ŋ						
1331-1	ɾ ɾ d̪ β̞ ɑ						
1097-1	l ɜ m						
1223-1	ʊ ɜ ŋ ɑ						
592-1	m e						
1290-1	ʈ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ i ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m b n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ r̪ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɜ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ ɪ l						
610-1	ʊ ɑ						
350-1	ʊ ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ β̞ ɑ						
431-1	kʰ i						
1298-1	o ɣ b ʊ l						
929-1	ts̪ ɜ ŋ k i						
1315-1	t̪ ɑ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
294-1	p r̪						
661-1	b o ŋ o						
413-1	ʑ ɜ q						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o b ɑ ɾ						
181-1	pʰ i r̪ o o						
1660-1	g ʊ n̪ d e						
1440-1	d̪ ɪ r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ŋ m ɜ						
677-1	ʊ ɜ x m o						
1561-1	ɕ ɕ r̪ tɕʰ ɑ						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪						
391-1	ɛ ɜ x m o						
972-1	ȵ i m o ɾ						
531-1	t̪ʰ ɜ x r̪ i ŋ						
253-1	tɕ o ɣ o						
1282-1	ts̪ u n̪ tθ e						
812-1	j ɑ ŋ m o						
245-1	t̪ʰ o r̪						
1609-1	k ɑ r̪ u o						
261-1	n̪ ɑ q p o						
1143-1	m ɑ r̪ p o						
709-2		g o o					
522-2		ʊ ȵ d o ŋ					
514-2		m ɪ k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p r̪ ɜ q p ɜ					
1089-2		l ɜ q u ɪ l					
804-2		k ɑ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		t̪ʰ t̪ʰ q					
1512-2		x tɕ i n̪					
555-2		l̪ ɜ k p ɜ					
