COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ a ⁵⁵								
495-1	n au ³⁵								
838-1	n̥ a ʔ ⁵⁵								
438-1	ȵ a k ⁵⁵								
334-1	l au ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	n a m ³¹								
221-1	a pʰ ⁵⁵								
202-1	k au ³¹								
935-1	u ³¹								
93-1	tɕ a ³¹								
7-1	pʰ ɔ n ³¹								
664-1	o ŋ ³¹								
246-1	x w au ʔ ⁵⁵								
547-1	s a ʔ ⁵⁵								
555-1	a n ⁵⁵								
464-1	m au ³¹								
119-1	ə ŋ ³¹								
835-1	n̥ a p ⁵⁵								
79-1	t o ŋ ³¹								
693-1	ŋ au ³¹								
477-1	n w au p ³¹								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ u ʔ ⁵⁵								
493-1	n a ʔ ⁵⁵								
217-1	ʂ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ u k ⁵⁵								
580-1	s u t ⁵⁵								
833-1	n̥ a ⁵⁵								
390-1	m ȵ a ŋ ³¹								
696-1	ŋ ui ³¹								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	ʐ s a ʔ ⁵⁵								
731-1	ʂ a ³¹								
779-1	e ⁵⁵								
589-1	t ɔ ŋ ³¹								
658-1	o m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x a ³¹								
714-1	u ⁵⁵								
331-1	l a ³¹								
930-1	a pʰ ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	x ui ŋ ³¹								
179-1	k ʐ w au ⁵⁵ ⁵⁵								
194-1	ʐ ʐ au ʔ ⁵⁵								
727-1	ʂ au ŋ ³¹								
260-1	pʰ au p ⁵⁵								
144-1	k w au m ⁵⁵								
53-1	pʰ u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ a ʔ ³¹								
29-1	pʰ a ʔ ³¹								
316-1	t w a ʔ ⁵⁵								
389-1	m ʐ w a ⁵⁵ ³¹								
118-1	m a ³⁵								
312-1	x ʐ o ³¹								
490-1	n i ʐ ³¹ ³⁵								
436-1	ȵ a ŋ ³¹								
927-1	n̥ a n ⁵⁵								
383-1	m a ʔ ³¹								
211-1	pʰ a m ⁵⁵								
