COGID	Albanian	English	French	German	Latin
560-1					
438-1	r				
1222-1					
353-1					
201-1					
20-1					
503-1					
957-1					
728-1					
244-1	n m				
289-1					
911-1	r				
724-1	d r				
145-1					
992-1					
1181-1					
741-1					
1150-1	r				
585-1					
814-1	ə r				
916-1					
1079-1					
630-1					
343-1	t				
560-2		s r			
438-2		s r			
1222-2		s t			
353-2		f r ɪ			
201-2		f ɪ n			
20-2		f ɪ r			
503-2		f r o l			
957-2		s ɪ n			
728-2		l ɪ n			
244-2		n i n			
289-2		s ɛ a d			
911-2		w ɑ r l			
724-2		θ r			
145-2		s w			
992-2		w i			
706-2		s			
106-2		f ɪ ə r			
741-2		t r			
421-2		b l			
227-2		f r			
920-2		h ɛ r n			
1083-2		h ɪ r			
1066-2		a			
1125-2		s ɪ n			
1197-2		m ɪ ə r			
473-2		n ɪ			
284-2		n ɪ			
661-2		s a n			
701-2		r ɪ			
315-2		r i n			
1169-2		s o l d			
1150-2		s k ɪ r			
982-2		s s ɪ			
987-2		s n			
1055-2		s t d ə r			
1130-2		s e			
433-2		s a n			
625-2		s ɪ n			
1186-2		s a n			
416-2		s w			
1233-2		w ɪ n			
884-2		w ɪ r			
1016-2		s v			
952-2					
78-2		b l			
514-2		b g r n			
116-2		a s			
188-2		f t ɛ n			
745-2		f ɪ ə r			
1100-2		f r i d			
47-2		s v ɑ			
111-2		s o			
1061-2		k au n			
24-2		n ɪ d			
232-2		n a n			
671-2		g r d			
560-3			v u		
438-3			ɛ r		
1222-3			ɔ v		
353-3			p u ɛ		
201-3			s ɑ̃		
20-3			ʃ u r		
503-3			p l t		
957-3			v u		
728-3			l ɔ		
244-3			n ɔ		
289-3			n r ɔ		
911-3			r u		
724-3			t r		
145-3			d u		
992-3			n u		
1181-3			s ɑ̃		
706-3			ɔ		
106-3			p u		
741-3			p u		
421-3			f l		
227-3			p u		
920-3			k ɔ r		
1083-3			k ɔ r		
1066-3			ɛ n		
1125-3			k ɛ n		
1197-3			m u t		
473-3			n ɔ v		
284-3			n u		
661-3			k ɔ n		
701-3			r u r		
315-3			r ɔ		
1169-3			s u l		
1150-3			s g r		
982-3			k s		
987-3			ɑ̃ u		
1055-3			s t		
1130-3			s u z		
433-3			s ɔ		
585-3			n u		
625-3			l ɑ̃		
1186-3			t u		
814-3			v ɛ r		
416-3			k u		
1233-3			v ɑ̃ t		
884-3			v ɛ r		
916-3			n u		
1016-3			ɑ̃		
952-3					
514-3			g		
1079-3			s ɛ		
1100-3			g u		
47-3			k l ɔ		
111-3			l u		
1061-3			m ɔ t		
1155-3			k ɔ		
343-3			v ɛ t r		
671-3			g u		
560-4				k r eː	
438-4				eː r	
1222-4				b	
353-4				f iː	
201-4				f y	
20-4				f a l	
503-4				f g a l	
957-4				m	
728-4				l a n	
244-4				n aː m	
289-4				n t	
911-4				r eː	
724-4				d r	
145-4				t	
992-4				h	
1181-4				f m	
706-4				eː n	
106-4				f eː d r	
421-4				f l iː	
227-4				f	
920-4				h a r	
1083-4				h a r	
1066-4					
1125-4				g y n	
1197-4				m eː d r	
473-4				n eː	
284-4				n a	
661-4				v a	
701-4				r eː	
315-4				r eː ə n	
1169-4				z a l	
1150-4				ʃ t a r t	
982-4				ʃ z	
987-4				ʃ n	
1055-4				ʃ a t l r	
1130-4				z a	
433-4				z eː n	
585-4					
625-4				t eː n	
1186-4				t aː	
814-4				k r	
416-4				ʃ v	
1233-4				v y n	
884-4				v eː r	
78-4				b l	
514-4				b eː r ə n	
116-4				a t	
188-4				f t eː b ə r	
745-4				f eː d ə r	
1100-4				f r a t	
630-4				n n t l	
1155-4				f au	
24-4				n a	
232-4				n au	
671-4				g r a t	
560-5					w i i n o
438-5					o r e
1222-5					s m o o
353-5					p a s i o
201-5					s a n i o
20-5					k a t i i r
503-5					p l a n o
957-5					d a n
728-5					l a n i o
244-5					n a m i o
289-5					n a iː o
911-5					r a n s i o
724-5					t r o
145-5					d e o o
992-5					k iː
1181-5					k a i n i o
706-5					a l i i o
106-5					p a t i r
741-5					p a o
421-5					f l o i r
227-5					p u i o
920-5					k o r i i o
1083-5					k o r n o
1066-5					s o
1125-5					s a n o
1197-5					m a t i r
473-5					n u w i l
284-5					n a n o
661-5					s a n o
701-5					r u n t o
315-5					r a t i i d o
1169-5					s i l o
982-5					a s iː o
987-5					s n e
1055-5					s i t a l i o
1130-5					s a s o
433-5					s o l i o
585-5					t o
625-5					l a n i o
1186-5					d a n o
814-5					w i r i o
416-5					k u i o
1233-5					w i n t o
884-5					w i r i o
916-5					a o
1016-5					a n iː m a l
952-5					a o
78-5					s u u i
1079-5					p i o
116-5					s t i
188-5					s u u u i i n
745-5					s u t i i
47-5					s a a m a n
111-5					l a n o
1061-5					m a n t e o
630-5					n i o
1155-5					k u n i o
24-5					n u i t
232-5					n u n i
343-5					w i e i o
