COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u															
2163-1	u n															
2181-1	n ə̆ m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m															
2017-1	h e															
1004-1	l a															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s i m															
631-1	b ə̆ n															
594-1	g a															
1759-1	h a n															
805-1	g ɨ n															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ u h														
2163-2		kʰ u														
2181-2		n a m														
2060-2		ʔ u m														
410-2		d f														
1841-2		m a														
2017-2		h ə														
1004-2		l aː														
614-2		b o h														
686-2		b l ə														
88-2		g a k														
872-2		n u ŋ														
1891-2		d aː														
68-2		s f m														
631-2		b u h														
594-2		k aː														
1759-2		h a n														
805-2		k e n														
1859-3			ŋ ə													
175-3			k a													
241-3			ʔ u													
2163-3			g ə r													
2181-3			n a m													
2060-3			ʔ ə m													
410-3			d ai̯													
1841-3			m ə													
2017-3			h a													
1004-3			l aː													
614-3			b o h													
686-3			b l a													
88-3			g a ʔ													
872-3			n u ŋ													
1891-3			ɗ aː													
68-3			s i m													
631-3			b ə													
594-3			k aː													
1759-3			h a n													
805-3			k a													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				o o												
2181-4				n a m												
2060-4				ʔ ə m												
410-4				t aːi̯												
1841-4				m o												
2017-4				h uː												
1004-4				o aː												
614-4				o o o												
686-4				p l o												
88-4				g ɔ k												
872-4				n iː ŋ												
1891-4				t aː												
68-4				s iː m												
631-4				pʰ iː												
594-4				k aː												
1759-4				h a n												
805-4				k ə n												
1859-5					ŋ iː											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					r̥ uː											
2181-5					n ə m											
2060-5					ʔ ɔ m											
410-5					r̥ eː											
1841-5					m ei̯											
2017-5					h ei̯											
1004-5					l aː											
614-5					b ɔ h											
686-5					b l ei̯											
88-5					g a ʔ											
872-5					n ə ŋ											
1891-5					ɗ aː											
68-5					s i m											
631-5					b ə r											
594-5					k aː											
1759-5					h a ɲ											
805-5					k eː ɲ											
1859-6						ŋ iː										
175-6						k a										
241-6						ʔ u ʔ										
