COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z oː l ə l			
2054-1	b ɪ n d ə r			
1375-1	l ɛɪ k l l m			
760-1	w ɪ n t			
756-1	s h oː w			
726-1	l aː ə r			
1351-1	k l ʉ n s + n ɔ d ə r			
1353-1	k r ɛ n + m ɔ d ə r			
412-1	t t ə t ə r + k oː d oː			
406-1	t t ə t ə r + m oː d oː			
1005-1	s x ɪ n + h ɑ k ə r			
1012-1	s x ɪ n + m ɑ d ə r			
1016-1	w ɪ s ɛɪ ʉ + l ɑ m t			
1069-1	d oː k			
509-1	v ɔ l ə			
693-1	s ɔ l ʉ ə			
2179-1	n ɛ n t			
1753-1	v l ɑ s ə			
1131-1	w ɔ l t			
1198-1	b aː r t			
2032-1	h oː ɑ r			
2241-1	n aː p			
2244-1	l ɛɪ d l			
610-1	k l n l			
945-1	h ɛ ɑ t			
1534-1	l ɛɪ d ə			
384-1	z uː k ə			
1650-1	n l ɑ			
1663-1	v ɑ l t			
2279-1	l ɛɪ l ə r			
471-1	z uː k ə			
1385-1	z ɛɪ d			
792-1	r oː k			
1111-1	r ɛ n			
197-1	z uː k ə			
2020-1	l ɪ n			
867-1	v ɪ n d ə l ɑ t			
1970-1	v ɛ l t			
1230-1	d n ɛɪ t l ə t			
2017-1	n ɔ oː ə ə			
968-1	w eː d k l t			
1674-1	r ɑ n t			
1671-1	h aː ɣ ə l			
829-1	x l ʉ m ə			
1025-1	w ɑ t ə r			
1027-1	h oː			
1832-1	r ɑ t			
-1816-1	oː z ɑu w ə l			
-335-1	l ɛɪ ɣ ə n			
1043-1	v t r ɑ s			
423-1	s t ɪ n			
2049-1	r ɔ n t			
2062-1	s t øː r l			
2065-1	n ɪ v ɔ n d + eː v ə			
1368-1	s x ɛɪ d ə			
1365-1	d ɔ w			
754-1	r ɔ ɣ ə l			
768-1	w eː ə r			
1211-1	v ɛ eː r			
106-1	h ɪ n			
-98-1	b ɛ p ə			
719-1	h ɑ ə r			
1341-1	d ɪ n			
-2027-1	k ɪ n d ə			
-2026-1	n aː t l			
409-1	w v ɔ b ʉ r + m aː m ə			
402-1	t ə ə t ə + k oː t oː r			
1014-1	s x ɪ n + d aː d ə r			
1059-1	h oː n			
120-1	s d øː r			
2183-1	s t ɑ r l			
2194-1	oː k l			
2199-1	k ɑ l m			
2197-1	s t ɑ p			
1523-1	h oː t			
1521-1	b ɑ x			
512-1	m ɛ l ə			
2141-1	h oː n			
2147-1	x l n s			
814-1	b r ʉ x ə			
810-1	p øː v ə			
1755-1	k h ɑ n t			
1758-1	h eː n			
1760-1	r ɔ t			
1620-1	v ɪ n			
1282-1	w ɔ l b oː ə			
1136-1	v ɛ k s			
1309-1	r ɑ s			
1307-1	n eː p			
1305-1	h l ɑ			
711-1	w ɑ s t			
1442-1	v l iː ɣ ə			
62-1	m øː k			
-73-1	w ɛ s t ə t ə			
1810-1	h oː t			
1805-1	v l ɑ s			
1813-1	h oː r			
1811-1	b l aː t			
690-1	r ɛɪ x			
2177-1	h oː x t			
246-1	v ɪ r + ɔ n d + r ə ə			
249-1	ɔ ɔ n + l ə t			
1506-1	v ɪ s r l oː m + l ə			
2242-1	m ɛ n t			
2245-1	p ɔ n			
1196-1	m l x			
2174-1	s x ɪ l t ə r			
575-1	aː v t ə r + h ɑu ə			
603-1	ɪ l ɔ n d + iː k ə			
601-1	h ɔ n t			
615-1	v ɪ l k ə r			
901-1	p l aː ə ə			
608-1	h uː t			
596-1	p ɛɪ j			
937-1	b x r ɑ s t			
936-1	n aː ɣ ə l			
646-1	l ɔ n ə			
