COGID	dutch	english	french	german
1469-1	h ɑ n t			
2047-1	z oː n ə ə			
2054-1	v ɪ n d ə r			
1375-1	l ɛɪ d l ə t			
760-1	w ɔ n t			
756-1	s z eː w			
726-1	l eː v ə r			
1351-1	k r ɪ n s + n oː d ə r			
1353-1	k r ɛ n + m oː d ə r			
412-1	s x ə r + k oː d oː			
406-1	s x ə r + m oː d oː			
1005-1	s x aː n + h ɔ d ə r			
1012-1	s x aː r + m ɔ d ə r			
1016-1	w ɪ ɛɪ + r t t t			
1069-1	d ɛɪ k			
509-1	v ɑ l ə			
693-1	s ɛ l l			
2179-1	n ɛ s t			
1753-1	v eː s ə			
1131-1	w ɛ l t			
1198-1	b aː r t			
2032-1	h oː r r			
2241-1	n eː t			
2244-1	l ɪ d			
610-1	p n iː			
945-1	h oː r t			
1534-1	l eː k ə			
384-1	z ɛɪ k ɔ			
1650-1	n l ɑ t			
1663-1	v ɛ l t			
2279-1	l ɛɪ n ə r			
471-1	z eː k ə			
1385-1	z ɛɪ d			
792-1	r oː k			
1111-1	m ɛ n t			
197-1	z eː v ə			
2020-1	l ɪ n			
867-1	h ɪ n d ə r t			
1970-1	v ɔ l t			
1230-1	d n eː k ə ə t			
2017-1	n ɛ ɑu ə			
968-1	w eː x v l t			
1674-1	l ɑ n t			
1671-1	h aː ɣ ə l			
829-1	k l ɑ f			
1025-1	w eː t ə r			
1027-1	h oː			
1832-1	r ɛɪ f			
-1816-1	oː t aː w ə l			
-335-1	l eː x ə n			
1043-1	s t r ɑ s			
1469-2		m æ n d		
2047-2		s iː n		
2054-2		b ɑː n d r		
1375-2		l æ r		
760-2		w aʊ n d		
756-2		s l ɔː		
726-2		l æ d ə r		
1351-2		r + h t ə r		
1353-2		d r + h t r		
412-2		ʌ d r + + + + ɔː ɔː		
406-2		ʌ d r + + + + ɔː ɔː		
1005-2		s + h t ə r		
1012-2		s n + h t r		
1016-2		aɪ r ɪ ɔː r		
1069-2		θ ɪ p		
509-2		f ɔː l		
693-2		s l d ɔː t r		
2179-2		n aʊ n d		
1753-2		f r ɪ n		
1131-2		w ɛ l v		
1198-2		b ɛ ə r d		
2032-2		h ɛ r r		
2241-2		n ɪ ŋ		
2244-2		l ɪ d		
610-2		p r n		
945-2		f ɛ r d		
1534-2		l iː d		
384-2		s ɪ v		
1650-2		n r ɑː		
1663-2		s ɛ d		
2279-2		l aɪ l		
471-2		s iː v		
1385-2		s ɪ r		
792-2		m ɪ p		
1111-2		m æ n d		
197-2		s iː d		
2020-2		l æ n		
867-2		h ɪ n d r k d		
1970-2		f ɪ l		
1230-2		ɪ		
2017-2		n l əʊ		
968-2		w ɛ ə l̩ d		
1674-2		l aʊ n d		
1671-2		h eɪ v l̩		
829-2		k l aɪ		
1025-2		w ɛ t ə r		
1027-2		h əʊ		
1832-2		m aɪ		
-1816-2		aɪ s ɪ r r		
-335-2		l aɪ		
1043-2		s t r m		
1469-3			p a	
2047-3			p u	
2054-3			b u t a	
1375-3			l a b ʀ t	
760-3			l u	
756-3			p ʀ a	
726-3			p u t a	
1351-3			ɔ	
1353-3			ʀ ɔ t ɔ	
412-3			ɛ	
406-3			ɛ	
1005-3			p ɔ e ɔ	
1012-3			p ɔ s e ɔ	
1016-3			ʀ l ʀ l	
1069-3			b a	
509-3			p u l	
693-3			ʀ ɔ l e	
2179-3			l a	
1753-3			ʃ t a t	
1131-3			l u a	
1198-3			b u i	
2032-3			p u	
2241-3			l u	
2244-3			l a t ʀ	
610-3			b b a	
945-3			p u	
1534-3			l a k	
384-3			p u k	
1650-3			ʀ b a	
1663-3			p u	
2279-3			l a a	
471-3			p u l	
1385-3			p u t t	
792-3			u a	
1111-3			l a	
197-3			p u t	
2020-3			l a	
867-3			p ɛ t l ʀ i	
1970-3			p u a	
1230-3			ʃ b a t t	
2017-3			p ʀ a t	
1469-4				h a n t
2047-4				z iː n
2054-4				b ɪ n t ə r
1375-4				l ai x r ə n
760-4				v ʊ n t
756-4				ʃ l ai ə
726-4				f aː t ə r
1351-4				ʃ l eː + h ɶː t ə r
1353-4				ʃ r + ʃ uː t ə r
412-4				ʃ v iː ɡ ə r + k ɔ t ə r
406-4				ʃ v iː ɡ ə r + t ɔ t ə r
1005-4				ʃ iː f + h aː t ə r
1012-4				ʃ iː f + ʃ uː t ə r
1016-4				r au t iː ʊ ɪ ŋ ə
1069-4				t ɪ x
509-4				f ɔ l a n
693-4				m aː l r ai ɛ ə
2179-4				n au n t
1753-4				h ɪ n
1131-4				v ɔ l f
1198-4				b aː r ə
2032-4				h au r m
2241-4				n au s ə
2244-4				r ʏ f n
610-4				t a n iː
945-4				h au r t
1534-4				l ai t a n
384-4				z uː x a n
1650-4				ʃ oː oː t
1663-4				f ɔ l t
2279-4				l ai b ə n
471-4				z iː l a n
1385-4				z uː x n
792-4				r ɪ k
1111-4				m au n t
197-4				z iː b ə n
2020-4				l au ŋ
867-4				h ɪ n d ə l ə t
1970-4				f ɛ l
1230-4				ɡ ɛ ɛ r r r n
2017-4				n au
968-4				v eː r ə l t
1674-4				r ʊ n t
1671-4				h aː f ə l
829-4				k l au n ə
1025-4				v ʊ t ə r
1027-4				z au
1832-4				r ai n
-1816-4				au z l ə l
-335-4				l ai x ə n
1043-4				ʃ t r oː k
