COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ə															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	g u n															
2181-1	n ə															
2060-1	ʔ a m															
410-1	b a															
1841-1	m a															
2017-1	h ə															
1004-1	s a															
614-1	b a h															
686-1	b a ə															
88-1	k a ʔ															
872-1	n ɔ ŋ															
1891-1	b a															
68-1	s ɨi̯ m															
631-1	b ə n															
594-1	g a															
1759-1	h a n															
805-1	g ə n															
756-1	h a															
1201-1	m ɔ ʔ															
2042-1	ʔ a															
1968-1	b a ʔ															
2000-1	r a ŋ															
17-1	b a ʔ															
4-1	p ə m															
788-1	b ə															
1219-1	h ɨi̯ m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h a n															
123-1	n a m															
1652-1	g ə n															
576-1	ŋ ɔ															
1738-1	b a															
442-1	h ɔ m															
368-1	r j a ŋ															
1778-1	b a ʔ															
957-1	n a															
1704-1	ʔ a ʔ															
304-1	j a m															
1796-1	b ɔ ŋ															
720-1	d a h															
287-1	k ə															
321-1	g ə h															
206-1	b a ʔ															
1950-1	ʔ ɔ															
665-1	b a n															
703-1	n a ʔ															
1290-1	m a															
1391-1	b a ʔ															
269-1	g a ʔ															
855-1	b a n															
2078-1	s ə															
2213-1	m ə															
1858-1	s a															
1151-1	g j a n															
737-1	p ə															
340-1	ʔ ɔ															
1111-1	s ə															
485-1	ŋ a															
1356-1	m a h															
1093-1	b ɔ ŋ															
1063-1	b ɔ m															
648-1	ə n															
223-1	g ɔ n															
1248-1	b a															
1509-1	b ə n															
504-1	b a h															
2130-1	s ə															
1-1	ʔ ɔ															
386-1	j a ʔ															
1411-1	ʔ a															
1027-1	b a ʔ															
1459-1	g a a															
1323-1	m ə															
1859-2		ŋ a														
175-2		l a h														
241-2		ʔ o h														
2163-2		d a n														
2181-2		n a m														
2060-2		ʔ a m														
410-2		d a														
1841-2		m a														
2017-2		h a														
1004-2		l a														
614-2		b o h														
686-2		b l a														
88-2		a ʔ														
872-2		n a ŋ														
1891-2		d a														
68-2		s a m														
631-2		b a n														
594-2		a														
1759-2		h a n														
805-2		ʔ a n														
756-2		h a ʔ														
1201-2		m a a ʔ														
2042-2		ʔ a h														
1968-2		d o ʔ														
2000-2		f a ŋ														
17-2		ʔ a ʔ														
4-2		b a m														
788-2		d a h														
1219-2		h a m														
141-2		ʔ a ŋ														
541-2		b a a ŋ														
1687-2		h a n														
123-2		n a m														
1652-2		dʑ a n														
576-2		ŋ a h														
1738-2		d a h														
442-2		h a m														
368-2		d a ŋ														
1778-2		b o ʔ														
957-2		n a h														
1704-2		ʔ a h														
304-2		tɕ a m														
1796-2		dʑ a ŋ														
720-2		d a h														
287-2		a h														
321-2		l o h														
206-2		d o ʔ														
1950-2		ʔ a														
665-2		b l a n														
703-2		n o ʔ														
1290-2		m a														
1391-2		ʔ a n														
269-2		a h														
855-2		dʑ a n														
2078-2		l a n														
2213-2		m a														
1111-2		s a h														
485-2		ŋ a														
1356-2		m a h														
1093-2		d a ŋ														
1063-2		d a m														
648-2		dʑ a n														
223-2		a n														
1248-2		dʑ a														
1509-2		d a n														
504-2		dʑ a h														
2130-2		s a														
1-2		ʔ a														
386-2		l a h														
1411-2		ʔ a h														
1027-2		ʔ a ʔ														
2077-2		m a h														
1459-2		l a														
1323-2		m a														
1859-3			ŋ a													
175-3			ʔ a h													
241-3			ʔ a h													
2163-3			ʔ a h													
2181-3			n a m													
2060-3			ʔ a m													
410-3			d a													
1841-3			m a													
2017-3			h a													
1004-3			ʔ a													
614-3			b a h													
686-3			b l a													
88-3			b a ʔ													
872-3			n a ŋ													
1891-3			d a													
68-3			s a m													
631-3			b l a h													
594-3			ʔ a													
1759-3			h a ŋ													
805-3			ʔ a ŋ													
756-3			h a ʔ													
1201-3			m a ʔ													
2042-3			ʔ a h													
1968-3			d a ʔ													
2000-3			r a ŋ													
17-3			ʔ a ʔ													
4-3			b a m													
788-3			d a													
1219-3			h a m													
141-3			ʔ a ŋ													
541-3			b r j a ŋ													
1687-3			h a h													
123-3			ŋ a m													
1652-3			ʔ a ŋ													
576-3			ŋ a													
1738-3			d a ʔ													
442-3			h a m													
368-3			d j a ŋ													
1778-3			b a ʔ													
957-3			n a h													
1704-3			ʔ a h													
304-3			j a m													
1796-3			v a ŋ													
720-3			d a h													
287-3			b a b													
321-3			ʔ a h													
206-3			d a ʔ													
1950-3			ʔ a a													
665-3			b l a n													
703-3			n a ʔ													
1290-3			m a													
1391-3			ʔ a h													
269-3			b a h													
855-3			ʔ a n													
2078-3			s a													
2213-3			m a													
1858-3			s a													
1151-3			r j a h													
737-3			b r a h													
340-3			ʔ a													
1111-3			s ə													
485-3			ŋ a													
1356-3			m a h													
1093-3			d a ŋ													
1063-3			d a m													
648-3			ʔ a ŋ													
223-3			b a n													
1248-3			ʔ a													
1509-3			d a ŋ													
504-3			ʔ a h													
1-3			ʔ a													
386-3			j a ʔ													
1411-3			ʔ a													
1027-3			ʔ a ʔ													
2077-3			a m a h													
1459-3			b l a													
1323-3			m a													
1859-4				ŋ a												
175-4				t a												
241-4				ʔ a ʔ												
2163-4				t a ŋ												
2181-4				n a m												
2060-4				ʔ a m												
410-4				t a												
1841-4				m a												
2017-4				ʔ a												
1004-4				a												
614-4				p a h												
686-4				p a												
88-4				p a ʔ												
872-4				n a ŋ												
1891-4				t a												
68-4				tɕ a m												
631-4				p a												
594-4				a												
1759-4				ʔ a n												
805-4				t a n												
756-4				ʔ a												
1201-4				m a ʔ												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				t a ŋ												
17-4				v a t												
4-4				p a m												
788-4				t a												
1219-4				ʔ a m												
141-4				ʔ a ŋ												
541-4				p j a ŋ												
1687-4				ʔ a												
123-4				ŋ a m												
1652-4				t a n												
576-4				ŋ a												
1738-4				t a ŋ												
442-4				ʔ a m												
368-4				t a ŋ												
1778-4				p a t												
957-4				n a												
1704-4				ʔ a ʔ												
304-4				j a m												
1796-4				t a ŋ												
720-4				t a h												
287-4				p a												
321-4				t a ʔ												
206-4				t a ʔ												
1950-4				ʔ a												
665-4				p a ŋ												
703-4				n o ʔ												
1290-4				m a												
1391-4				t a ʔ												
269-4				p a ʔ												
855-4				tɕ a n												
2078-4				t a												
2213-4				m a												
1858-4				t a												
1151-4				p j a												
737-4				p a t												
340-4				ʔ a												
1111-4				t a												
485-4				ŋ a												
1356-4				m a h												
1093-4				t a ŋ												
1063-4				t a m												
648-4				t a ŋ												
223-4				k a n												
1509-4				t a ŋ												
504-4				t a h												
2130-4				a												
1-4				ʔ a												
386-4				j o ʔ												
1411-4				ʔ a												
1027-4				t a ʔ												
2077-4				a												
1459-4				p a												
1859-5					ŋ a											
175-5					k a n											
241-5					ʔ a ʔ											
2163-5					k a r											
2181-5					n a m											
2060-5					ʔ a m											
410-5					s a											
1841-5					m a											
2017-5					ʔ a											
1004-5					l a											
614-5					b a ʔ											
686-5					b l a											
88-5					k a ʔ											
872-5					n a ŋ											
1891-5					s a											
68-5					s a m											
631-5					b a r											
594-5					k a											
1759-5					ʔ a ŋ											
805-5					k a ŋ											
756-5					ʔ a ʔ											
1201-5					m a ʔ											
2042-5					ʔ a r											
1968-5					s a ʔ											
2000-5					r a ŋ											
17-5					s a ʔ											
4-5					dʑ a m											
788-5					s a ŋ											
1219-5					n a m											
141-5					ʔ a ŋ											
541-5					b r j a ŋ											
1687-5					ʔ a r											
123-5					ŋ a m											
1652-5					dʑ a ŋ											
576-5					ŋ a r											
1738-5					ɗ a ʔ											
442-5					ʔ a m											
368-5					r j a ŋ											
1778-5					b a ʔ											
957-5					n a ʔ											
1704-5					ʔ a ʔ											
304-5					j a m											
1796-5					dʑ a ŋ											
720-5					s a ʔ											
287-5					k a ŋ											
321-5					k a ʔ											
206-5					k a ʔ											
1950-5					ʔ a											
665-5					b a n											
703-5					n ɔ ʔ											
1290-5					m a											
1391-5					k a n											
269-5					k a ʔ											
855-5					dʑ a n											
2078-5					s a ŋ											
2213-5					m a											
1858-5					s a											
1151-5					k j a ŋ											
737-5					b r a n											
340-5					ʔ a											
1111-5					s a ŋ											
485-5					ŋ a											
1356-5					m a ʔ											
1093-5					k a ŋ											
1063-5					dʑ a m											
648-5					dʑ a ŋ											
223-5					k a ŋ											
1248-5					dʑ a											
1509-5					k a ŋ											
504-5					dʑ ɔ ʔ											
2130-5					s a											
1-5					ʔ a											
1411-5					ʔ a n											
2077-5					dʑ r m a ʔ											
1323-5					m a											
1859-6						ŋ a										
175-6						k a r										
241-6						ʔ a ʔ										
2163-6						k a r										
2181-6						n a m										
2060-6						ʔ a m										
410-6						d a										
1841-6						m a										
2017-6						ʔ a										
1004-6						l a										
614-6						p o ʔ										
686-6						p l ei̯										
88-6						k a ʔ										
872-6						n o ŋ										
1891-6						d a										
68-6						s a m										
631-6						p a r										
594-6						k a										
1759-6						ʔ a ŋ										
805-6						k a ŋ										
756-6						ʔ a ʔ										
1201-6						m a ʔ										
2042-6						ʔ a r										
1968-6						d a ʔ										
2000-6						r a ŋ										
17-6						d a ʔ										
4-6						p a m										
788-6						d a n										
1219-6						ʔ a m										
141-6						ʔ a ŋ										
541-6						p r j a ŋ										
1687-6						ʔ a r										
123-6						n a m										
1652-6						d a ŋ										
576-6						ŋ a r										
1738-6						d a ʔ										
442-6						ʔ a m										
368-6						p j a ŋ										
1778-6						p a ʔ										
957-6						n a ʔ										
1704-6						ʔ a ʔ										
304-6						j a m										
