COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m a ⁴⁴									
53-1	ts i ³¹									
93-1	k ɯ ²¹									
216-1	sʰ w a ⁴⁴									
236-1	ts o ¹³									
267-1	tɕ j e n ³¹									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	tɕ u ⁴⁴									
400-1	s a ³¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	k u ³¹									
534-1	ts ou ³³									
556-1	kʰ u ³³									
568-1	ɣ ɯ ⁴⁴									
588-1	sʰ w a ⁴⁴									
599-1	k ɯ ³¹									
656-1	k w u ³¹									
678-1	k a ²¹									
689-1	m ə˞ ³¹									
700-1	m e ⁴²									
775-1	tɕ j e n ⁴²									
786-1	k a ³⁵									
820-1	ts o ⁴²									
839-1	ɯ ³¹									
863-1	k w u ³³									
896-1	k ə̃˞ ⁵⁵									
929-1	ʈʂ i ³¹									
1015-1	ʂ u ³¹									
1035-1	tɕ u ³³									
1107-1	ʂ a ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	j o ŋ ²¹									
1294-1	k a ³⁵									
1326-1	tɕ u ³³									
1348-1	tɕ i ³¹									
1401-1	s e ³¹									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	ts i ³¹									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	s j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k a ⁴⁴									
1671-1	s i ³¹									
1731-1	ʂ j o ŋ ⁵⁵									
1762-1	sʰ w a ŋ ³¹									
1773-1	k ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	s i ³¹									
1816-1	s u ³³									
1862-1	tɕ i ³¹									
1885-1	kʰ ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p ɯ ³³									
1969-1	s j e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k a ³⁵									
2051-1	ts o ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	ʈʂ ou ⁴²									
2269-1	m e ³³									
2280-1	s u ³¹									
2291-1	s e n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	ts i ³³									
2395-1	tɕ j ə˞ ³⁵									
2406-1	tɕʰ j ə˞ ³⁵									
2417-1	k ɯ ³¹									
2428-1	k a ³⁵									
2450-1	o ŋ ²¹									
2484-1	ʂ i ³¹									
2495-1	k a ²¹									
2565-1	tɕ i ³¹									
2611-1	j a ⁴⁴									
2632-1	w a ⁴⁴									
2644-1	w a ³⁵									
2674-1	m u ŋ ³³									
2698-1	ʂ u ³³									
2709-1	m e ³¹									
2720-1	ʈʂ o ⁴²									
2772-1	k a ⁴⁴									
2791-1	tɕ j ə˞ ³⁵									
2837-1	ʈʂ i n ³⁵									
2859-1	s j e n ³⁵									
2889-1	tɕ i ³³									
2900-1	k u ³³									
2928-1	ts o ŋ ³⁵									
2941-1	k ɯ ³⁵									
2998-1	tɕ i ³³									
3031-1	k u ³³									
3052-1	k i ³¹									
3064-1	k u ³¹									
3084-1	tʰ u ⁴⁴									
3117-1	ts i ³¹									
3128-1	k ə˞ ³¹									
3150-1	t e ⁴⁴									
3161-1	i ³³									
3172-1	ʈʂ i ³³									
3263-1	j a ⁴⁴									
3274-1	k ə˞ ³¹									
3308-1	kʰ a ³⁵									
3340-1	ts ou ⁴⁴									
3362-1	ʈʂ i n ³⁵									
3409-1	m i ³³									
3454-1	k o ŋ ³⁵									
3493-1	s ɯ ⁴⁴									
3536-1	ʂ u ³¹									
3548-1	f u ³¹									
3645-1	ʂ u ³¹									
3678-1	tɕʰ i ⁴⁴									
3757-1	j u ³¹									
3779-1	k ɯ ³¹									
3813-1	s e n ³⁵									
3835-1	s e n ⁵⁵									
3855-1	p ə˞ ³¹									
3885-1	s w i ⁴⁴									
3907-1	p ə˞ ⁵⁵									
3942-1	ts i ³³									
3953-1	tɕ j ə˞ ³⁵									
4023-1	s j ə˞ ⁵⁵									
