COGID	Albanian	English	French	German	Latin
560-1	ɟ j a				
438-1	d r u				
1222-1	m				
353-1	p e r				
201-1	d e				
20-1	d ə r				
503-1	m e r				
957-1	m e				
728-1	m j ð				
244-1	n u m k				
289-1	n k				
911-1	r u ə r				
724-1	d r u r				
145-1	d e				
992-1	m				
1181-1	m r ə				
741-1	p e m				
1150-1	d k s r				
585-1	m				
814-1	p ə r				
916-1	ɟ r				
1079-1	p ð r				
630-1	m t ð t				
343-1	m p r r				
8-1	d r p ə r				
385-1	m u r				
683-1	m r ə r				
650-1	ɟ a m				
612-1	f m r				
871-1	d r e m				
667-1	l e p r				
527-1	m p r r				
499-1	n t				
1029-1	p e r				
560-2		k j s			
438-2		g r i			
1222-2		h s			
353-2		p ʊ ʃ			
201-2		h s i o			
20-2		f au r i			
503-2		p ʊ h			
957-2		h f			
728-2		l ɪ b			
244-2		f ɛ θ			
289-2		f a t			
911-2		p au r			
724-2		t r i			
145-2		ai			
992-2		f			
706-2		j			
106-2		p ʊ ʃ			
741-2		ʃ s b			
421-2		b l j			
227-2		p ʊ t			
920-2		h r			
1083-2		h h i			
1066-2		j p			
1125-2		k o			
1197-2		k au t			
473-2		f u ɑ			
284-2		p a s			
661-2		h			
701-2		h ʊ t			
315-2		j i n			
1169-2		h i l			
1150-2		k ɪ r			
982-2		θ s			
987-2		h a o			
1055-2		j ɪ m r i			
1130-2		s e g			
433-2		m i n			
625-2		l au o			
1186-2		l au l			
416-2		f			
1233-2		p au n			
884-2		k i s i			
1016-2		s k au i			
952-2		l o			
78-2		b l ʊ s			
514-2		b r i n			
116-2		o s			
188-2		f			
745-2		p ʊ θ			
1100-2		f u ʃ θ			
47-2		k k au s l			
111-2		p h ɔ			
1061-2		k au n			
24-2		l o o d			
232-2		f ə l			
671-2		h ɪ			
385-2		s i			
945-2		s i θ au			
644-2		k			
1041-2		s ɪ			
492-2		θ i			
1209-2		ɑ ʊ n i			
527-2		ð o ə			
14-2		g l v			
1-2		o l			
915-2		h s d			
271-2		ə			
560-3			m u n		
438-3			p r		
1222-3			e		
353-3			p u s		
201-3			d i		
20-3			d		
503-3			p u		
957-3			ɛ̃		
728-3			m ɔ e		
244-3			r ɛ s		
289-3			d k		
911-3			p ɛ		
724-3			s r		
145-3			d u		
992-3					
1181-3			ʃ ə t		
706-3			k		
106-3			ʃ u s ɛ s		
741-3			p ɔ		
421-3			g l g i		
227-3			d u		
920-3			r ɛ r		
1083-3			r k ɛ̃ t		
1066-3			d		
1125-3			ʒ		
1197-3			m t ɛ s		
473-3			r ə a		
284-3			ʃ ɛ s e		
661-3			a n		
701-3			r w s		
315-3			k ɔ̃ t		
1169-3			m ɛ t e		
1150-3			m u s		
982-3			r t		
987-3			r t		
1055-3			s t r		
1130-3			g ɛ r		
433-3			f ɛ t		
585-3			ʃ ɛ		
625-3			t r		
1186-3			m u s		
814-3			p u		
416-3					
1233-3			ʒ ɔ t e		
884-3			ʒ ɛ r t		
916-3			t		
1016-3			ɛ̃ t r a ɛ̃ l		
952-3			o		
514-3			ɛ œ d s		
1079-3			v ɑ̃ t		
1100-3			d u w s		
47-3			v ɔ l ɛ̃		
111-3			l i		
1061-3			m ɔ̃ t o		
1155-3			k k l e		
343-3			p ɛ r s ɛ		
671-3			r ɔ̃ t		
460-3			k u t r		
8-3			m r s		
644-3			t ɛ		
683-3			ʃ ə n r		
650-3			k		
612-3			f ø v ɔ		
871-3			s u t k		
1209-3			v ø m ɛ̃		
667-3			s a ɛ		
499-3					
14-3			ʃ t		
1029-3			f ɛ o		
272-3			e		
560-4				n eː b	
438-4				n r	
1222-4				m r	
353-4				m i v r	
201-4				m eː b t t	
20-4				h au l b	
503-4				m g b	
957-4				h n	
728-4				l iː b	
244-4				n aː m	
289-4				h ai t	
911-4				h u n d	
724-4				n r i s	
145-4				ai t	
992-4				h	
1181-4				m au n f	
706-4				h ə n	
106-4				m i n i	
421-4				m l h r	
227-4				m i s	
920-4				h r k	
1083-4				h au h b	
1066-4				iː k	
1125-4				n eː b	
1197-4				m n i	
473-4				h aː t	
284-4				n ə	
661-4				h h n	
701-4				h aː t	
315-4				h a n d	
1169-4				eː au l	
1150-4				h au ə r	
982-4				d eː b	
987-4				n n g	
1055-4				z i aː	
1130-4				z aː k	
433-4				m a n	
585-4				n	
625-4				n eː b l	
1186-4				l eː b	
814-4				g au b	
416-4				h ai s	
1233-4				m a b t	
884-4				n eː r aː	
78-4				m l	
514-4				b eː a n	
116-4				iː r	
188-4				h r r h au t	
745-4				f a r d	
1100-4				f a ai r	
630-4				l l h b au t	
1155-4				h au l eː	
24-4				n eː s	
232-4				n eː	
671-4				b ai s v u n	
460-4				h au m z n t	
8-4				g eː u n t t	
385-4				z	
945-4				z i d	
1041-4				z t a n d	
492-4				d eː b	
527-4				a a s ə	
14-4				b aː l n	
1-4				a l	
915-4				a n d	
271-4				aː r	
560-5					m i m n
438-5					p p
1222-5					n a
353-5					p iː m k
201-5					p oː n d
20-5					k u l i
503-5					p u aː
957-5					d a
728-5					k u t a
244-5					k e b eː
289-5					n u t
911-5					k a d a
724-5					s a p d
145-5					k a d
992-5					k o d
1181-5					k a eː l a
706-5					m a aː
106-5					n a t e iː
741-5					p iː m o
421-5					m l uː rː iː
227-5					m a a
920-5					k o r i k
1083-5					k o r l d
1066-5					k a
1125-5					i eː
1197-5					m a n e iː
473-5					k eː l i l
284-5					m e
661-5					k o
701-5					p u t i
315-5					k a iː d a
1169-5					m e l a
982-5					t e i
987-5					n i e
1055-5					k n r l
1130-5					s e s a
433-5					f o l m l
585-5					g e r
625-5					n a b a
1186-5					k a m
814-5					m r eː m
416-5					k a i eː
1233-5					k a n t
884-5					m o r iː
916-5					k
1016-5					a nː i b g l a
952-5					i eː o
78-5					oː u l w i
1079-5					p iː n eː
116-5					m
188-5					k e t
745-5					k a n e a
47-5					k o a n u o
111-5					l a eː
1061-5					m a l t r o
630-5					eː n
1155-5					k u l i
24-5					k i t
232-5					k a o
343-5					m i e l e eː n
460-5					d u t i
945-5					s e iː k l
644-5					k o
683-5					k a n t
650-5					s i aː l a
612-5					f a m a
1041-5					k m d f
871-5					d a b eː eː t r
492-5					g e l t
1209-5					m au m l i
667-5					l a m o
499-5					n i
1029-5					k u d
272-5					s a n eː iː
