COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
9366				h a ¹								h au ¹				
4273				v a ¹	v a ¹	v a ¹	v a ¹				v a ¹	v a ¹				
1801					h u p ¹	h u p ¹					h u p ¹	h ə p ¹				
8951	m j ə t ¹			m j a t ¹										m j ə t ¹	m j a t ¹	
1997			t j e p ¹					t j e p ¹		t j e p ¹	t j e p ¹		t j e ¹			
1976										ts aː n ¹						ts aː n ¹
2053					q au ¹	q au ¹					q au ¹	q au ¹				
10689					t au ¹							ts ə ¹	ȶ e ¹			
8884						h e ¹										h e ¹
7537	ʔ ĩ ¹		ʔ ĩ ¹					ʔ ĩ ¹	ʔ ĩ ¹	ʔ ĩ ¹			ʔ ĩ ¹	ʔ ĩ ¹	ʔ ĩ ¹	
1974					ts j u p ¹				s u p ¹		s u p ¹					
3498	k u ¹			k u ¹			k u ¹									
3160		l j e ¹											l j e ¹			
1679		ȶ ai ¹			ȶ ai ¹	ȶ ai ¹	ȶ ai ¹				ȶ ai ¹	ȶ ai ¹	ȶ ai ¹			
7990			f a ¹							f a ¹					f a ¹	
8157	l i ¹					l i ¹				l i ¹					l i ¹	l i ¹
1521							pʰ j aː n ¹	pʰ j aː n ¹	h j aː n ¹							
5723		kʰ a ¹											x a ¹			
4057				k u ŋ ¹			k u ŋ ¹									
7991					n̥ i ¹	n̥ i ¹				n̥ i ¹	n̥ i ¹	n̥ i ¹				
3130								j o ¹	j o ¹							
9202				p w ə t ¹	pʰ aː t ¹	pʰ aː t ¹	h aː t ¹				pʰ aː t ¹	h aː t ¹				
7467	ȶ ə n ¹			ȶ a n ¹	ȶ a n ¹					ȶ ə n ¹					ȶ a n ¹	
3934	ˀm aː n ¹	m aː n ¹								ˀm aː n ¹			m aː n ¹	ˀm aː n ¹	ˀm aː n ¹	ˀm aː n ¹
259								l ə t ¹			l ə t ¹					
4829					p j a ¹	p j a ¹					p j a ¹	p j a ¹				
5284		h aːu ¹											h aːu ¹			
9018	ŋ ai ¹		ŋ̊ ai ¹							ŋ̊ ai ¹	ŋ̊ ai ¹			ŋ̊ əi ¹	ŋ̊ ai ¹	ŋ̊ ai ¹
6418		ȶ aːi ¹												ȶ aːi ¹		
3627		ȶ aː k ¹											ȶ aː k ¹			
6452					ʁ a ¹	ʁ a ¹					ʁ a ¹	ʁ a ¹				
5567	h j e ¹		h j a ¹	h j e ¹			h j a ¹	h j a ¹	h j a ¹						ɕ j a ¹	
9705					ɣ i ¹	ɣ i ¹					ɣ i ¹	ɣ i ¹				
3790	l aːu ¹		l aːu ¹	l aːu ¹			l aːu ¹	l aːu ¹	l aːu ¹	l aːu ¹				l aːu ¹		l aːu ¹
6259	ts a n ¹			ts a n ¹			ȶ a n ¹						s a n ¹			
8633					q eu ¹	q eu ¹		q eu ¹			q eu ¹	q eu ¹		q eu ¹		
6856					j j u ¹	j j u ¹					j j u ¹	j u ¹				
10736		n̥ u ¹			n̥ au ¹	n̥ au ¹				n̥ u ¹	n̥ au ¹	n̥ au ¹		n̥ u ¹		n̥ u ¹
9114	l i ¹		l i ¹	l i ¹			l i ¹									l i ¹
1628					l o k ¹							l o k ¹				
4236		ȶ au ¹		t a ¹												
3177		t a ¹					t a ¹						t a ¹			
6733		kʰ j u ¹	ɕ j u ¹		ȶʰ j u ¹								kʰ j u ¹		ȶʰ j u ¹	
4863		m u p ¹											m u p ¹			
6734				p o ¹		p o ¹	pʰ au ¹	p o ¹	p o ¹	p o ¹		p o ¹		p o ¹		p o ¹
7100								kʰ a ŋ ¹	kʰ a ŋ ¹							
3294		t j a k ¹			t a k ¹			ⁿd j a k ¹					ⁿd j a k ¹			
1713			n̥ a ¹		n̥ a ¹	n̥ a ¹				n̥ a ¹	n̥ a ¹	n̥ a ¹		n̥ a ¹	n̥ a ¹	
11071						k ai ¹	k ai ¹									
8635										ɕ aː n ¹						ɕ aː n ¹
8954					ɣ ai ¹	ɣ ai ¹					ɣ ai ¹	ɣ ai ¹				
67		ŋ a m ¹	ŋ a m ¹	ŋ a m ¹		ŋ a m ¹		ŋ a m ¹	ŋ a m ¹	ŋ a m ¹			ŋ a m ¹	ŋ a m ¹		ŋ a m ¹
5258	t i ¹			t a ¹			t ai ¹	t i ¹	t i ¹				t i ¹		t i ¹	
5877		l au ¹											l au ¹			
11181		ʔ j u ¹			ʔ j u ¹	ʔ j u ¹			ʔ j u ¹	j u ¹		j u ¹		ʔ j e ¹		
7032											t a ŋ ¹	t a ŋ ¹				
9365	ˀm ui ¹	m oi ¹	ˀm ui ¹							ˀm ui ¹			m oi ¹	ˀm ui ¹		ˀm ui ¹
2320					t aː ŋ ¹	t aː ŋ ¹										
7012	ȵ̥ u ¹		ȵ̥ u ¹							ȵ̥ ũ ¹				ȵ̥ u ¹	ȵ̥ u ¹	ȵ̥ u ¹
9809						q a ¹						k a ¹				
4708			ɕ i ¹	ɕ i ¹			ɕ i ¹						ȶʰ i ¹			
8207	s j e ŋ ¹		ɕ aː ŋ ¹	ɕ i ŋ ¹	s j aː ŋ ¹	s j aː ŋ ¹	ɕ j ə ŋ ¹	s j aː ŋ ¹		s j aː ŋ ¹					s j a ŋ ¹	s j aː ŋ ¹
7160			l a ¹				l ə ¹		l a ¹							l a ¹
1934		m e ¹											m e ¹			
8158		v e ¹	p əi ¹										v e ¹	f əi ¹		
7120				v a ¹	ˀb a ¹			v a ¹	v a ¹		ˀb a ¹					
5570										ɕ a ¹			ɕ a ¹	ɕ e ¹		ɕ a ¹
3447	ˀd a ¹		ⁿd a ¹	ⁿd a ¹			ⁿd a ¹	ⁿd a ¹	ⁿd a ¹	ˀd a ¹				ˀd a ¹	ˀd a ¹	ˀd a ¹
7000		ȵ a ¹	ˀȵ a ¹			ˀȵ a ¹		ȵ a ¹	ȵ a ¹	ˀȵ a ¹	ˀȵ a ¹		ȵ a ¹		ˀȵ a ¹	
2723		ȵ ə n ¹				ˀȵ ə n ¹					ˀȵ ə n ¹	ˀȵ i n ¹				
2568	h i k ¹			h i ¹			h i ¹			h i k ¹			s i ¹			ɕ i k ¹
2623										t o ŋ ¹	t o ŋ ¹	t o ŋ ¹			t o ŋ ¹	
800					ɕ o n ¹		s w ə n ¹									
4360						z a ¹										z a ¹
6420					ˀb j aː ŋ ¹	ˀb j aː ŋ ¹					ˀb j aː ŋ ¹	ˀm j e ŋ ¹	m aː ŋ ¹			
1932	n a m ¹	n a m ¹		n a m ¹			n a m ¹						n a m ¹			
6037		p aːu ¹											p aːu ¹			
6276	l i n ¹													l i n ¹		l i n ¹
9234			h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹		h aː ŋ ¹	h aː ŋ ¹				
7193					f aː n ¹	f aː n ¹		f aː n ¹			f aː n ¹	f aː n ¹				
5001		p aːu ¹											p j a ¹			
8191	t o k ¹	s o p ¹		t o k ¹									s o k ¹			
5101				ȵ a m ¹			ȵ a m ¹									
11083	ȶ ə n ¹		ȶ ə n ¹			ȶ ə n ¹				ȶ i n ¹	ȶ ə n ¹			ȶ ə n ¹	ȶ a n ¹	ȶ ə n ¹
