COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	h a b e			
222-1	a b o b a n e			
208-1	a b a r b u ʔ u			
962-1	a g o r d e			
203-1	a g u ɗ u n i			
138-1	o s a l e			
504-1	ɗ o s o e			
662-1	ɓ o ɗ a n a			
478-1	oː g e ɗ a			
409-1	a r e			
410-1	g u n d u			
256-1	ɓ a l i			
622-1	n d i			
546-1	n d i			
547-1	h oː l a			
847-1	h u n d i g u			
95-1	ɓ aː g e			
105-1	ɓ o m s e			
510-1	ɗ uː r a			
951-1	m b a m a r e			
468-2		h oː g a		
222-2		a b o b ɛ ʔ a		
208-2		a b ɛ r b i d u		
962-2		a g o r a		
203-2		a g o ɗ u ʔ		
138-2		a ʃ a l i		
504-2		ɗ o ʃ e a		
662-2		ɓ o ɗ a		
478-2		k k o ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ a l i		
622-2		n d i		
546-2		n d i		
547-2		h oː r a		
847-2		h a n d i g i		
95-2		ɓ aː d i		
105-2		b o m a l i		
510-2		ɗ oː ʃ a		
951-2		m b ə l a r e		
468-3			h a g a	
222-3			a b a b o	
208-3			a b ʊ r b i d u	
962-3			a g ɔ r a	
203-3			a g ɔ d u ʔ	
138-3			m a l a	
504-3			ɗ ɔ ʃ u a	
662-3			p ɔ d a	
478-3			a g eː d a	
409-3			a r e	
410-3			g ʊ n d i	
256-3			p ʔ a l a	
622-3			n d i	
546-3			n d i	
547-3			h a r a	
847-3			h a n d i g i	
95-3			b a d i	
105-3			b ɔ ʔ ʔ ʃ a	
510-3			g ɛ ʃ a	
951-3			m b a m ə r a	
468-4				h a g a
222-4				a b o b u ɲ a
208-4				a b uː r ɗ i d u
962-4				a g o r d a
203-4				a g uː ɗ u ʔ
138-4				ɓ m a l a
504-4				ɗ o ʃ a
662-4				ɓ u ɗ a
478-4				a g ɛː ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ a l i
622-4				n d o
546-4				n d o
547-4				h a r a ʔ
847-4				h a n ɗ i g i
95-4				g a g i
105-4				b o h a l i
510-4				ɗ a ʃ a
951-4				m b i n a r e
