COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m uː b e			
222-1	a b a b o n e			
208-1	ɪ b u m u ʔ e			
962-1	ɪ b o l ʃ a			
203-1	ɪ ʔ uː ɗ e i i			
138-1	o s i l e			
504-1	h o ŋ o e			
662-1	ɓ u ɗ a			
478-1	e k a ɗ e			
409-1	i l o			
410-1	k u ɲ t e			
256-1	k b i l e			
622-1	n d ə			
546-1	n d ə			
547-1	m u ʃ e i			
847-1	m a n k o k e			
95-1	b uː ɗ e			
105-1	d u m n e			
510-1	ɓ uː ʃ e			
951-1	m b i l ɛ r e			
1116-1	m b ə l e			
149-1	k b eː ʃ a			
376-1	k b i l e			
815-1	ɗ o ŋ o a			
453-1	ɗ uː l e			
67-1	ɗ uː ʃ e			
47-1	ɗ a b k e o r e			
869-1	ɓ uː ʃ e			
57-1	k uː ɗ e			
303-1	k ʔ a n k a e			
443-1	ɓ i l e			
884-1	k a ɲ t e			
166-1	k u ɲ t e			
918-1	i b a l e			
831-1	m u ɲ ʃ e			
616-1	b l o			
84-1	h o g o l e			
346-1	m o h a l e			
601-1	m i b e			
177-1	k ʔ eː t e o			
341-1	k ʔ eː l e			
1066-1	m a n k ɛ r e			
318-1	d m uː ʃ e			
241-1	m u ɲ k s e			
556-1	m a n k o ɾ e			
191-1	k ʔ a n k a r			
458-1	ɪ m b i n a			
1-1	m a n ʃ o ɾ i			
751-1	l a			
864-1	ɪ m a ŋ k e			
154-1	ɪ b m a ɲ ʃ e			
278-1	a m i l e a			
766-1	m uː l e			
251-1	iː b a ɾ e			
582-1	u b uː s i			
6-1	i l e			
1106-1	n d ə			
473-1	m i l e			
1111-1	m uː l a			
957-1	m i l e			
41-1	b i o			
24-1	m a			
25-1	m a ʃ e			
879-1	a b a n u k u i			
837-1	mʷ i l e			
233-1	k b a b o a e			
938-1	k b o n e e			
369-1	a m a			
946-1	k ɪ ŋ ʃ o			
889-1	k b eː r e			
820-1	ɪ h o l e o			
438-1	ŋ d o l e			
468-2		m oː l a		
222-2		a b a ʔ o n i		
208-2		ɗ a m b d u		
962-2		a k aː r a		
203-2		a ʔ a ɗ u b u		
138-2		a m i l e		
504-2		g o ŋ e l a		
662-2		g a d e n i		
478-2		k k a ɗ e		
409-2		o m a		
410-2		g oː n d u		
256-2		k i l e		
622-2		n d ə		
546-2		n d ə		
547-2		h aː l a ʔ		
847-2		mː a n ɗ u g i		
95-2		ɓ i ɗ e		
105-2		ɗ a m a ŋ i		
510-2		g aː ʃ a		
951-2		mː b ɪ l ɛ r e		
1116-2		m b ə l a		
149-2		k ʔ a s ʔ u		
376-2		k i l a		
815-2		g a l a ɗ a		
453-2		ɗ aː ʃ a		
67-2		g aː ʃ a		
47-2		ɗ a b e l o n i		
869-2		θ oː l a		
57-2		g aː ʃ a		
303-2		e ʔ o s u a		
443-2		g aː ʃ e		
884-2		g a n d u		
166-2		g oː n d u		
918-2		a b a l a		
831-2		h i n ʃ a		
616-2		f a a		
84-2		h aː l e		
346-2		s aː g l e		
601-2		s i ʔ i		
177-2		k ʔ a r a t		
341-2		k o l e		
1066-2		mː a n s ʔ aː r i		
318-2		ɛ m aː ʃ a		
241-2		mː a n e ʃ a		
556-2		mː a n d u l i		
191-2		e ʃ a n b i l		
458-2		aː s ʔ a s ʔ u		
1-2		mː a n l o l u		
751-2		m a		
864-2		a mː a ŋ e ʃ a		
154-2		a e mː a l h i		
278-2		a m i l i ʔ a		
766-2		m ɛ lː a		
251-2		a g aː l e		
582-2		a eː ʃ e		
6-2		i l a		
1106-2		m d a		
473-2		m u ʃ i		
1111-2		h oː l a		
957-2		m u l e		
41-2		b i ə		
24-2		ʃ a		
25-2		mː a ʃ e		
879-2		a b a n u g u g u		
566-2		e a m i a ŋ e t t		
742-2		a ʔ o ʔ		
1044-2		s a n b i l		
13-2		a r aː ʃ i ʃ		
720-2		a g a l a ʔ		
837-2		m i l e		
233-2		k ʔ o s a a o		
938-2		k o l e e i		
369-2		a m a		
946-2		ɓ ɪ ŋ g o		
889-2		k ʔ eː r e		
820-2		ɪ m i l e l		
405-2		b aː ɗ a		
134-2		e ʔ a ɗ iː ɗ a		
1078-2		s i ʔ i		
429-2		g ə n ʔ o ʃ		
187-2		g iː s a ɓ ʔ a		
438-2		n d o l e		
468-3			m u b a	
222-3			a b a b a ʃ a	
208-3			a b a r b a d a	
962-3			a g a r ʔ a	
203-3			a g a d i ʔ	
138-3			m i l a	
504-3			h ɔ ʃ a l a	
662-3			ɓ a d iː ŋ a	
478-3			a g a d a	
409-3			iː l a	
410-3			g u n d a	
256-3			p ʔ i l a	
622-3			m d u	
546-3			m d u	
547-3			h ɔ l a d	
847-3			m a r d a ʔ a	
95-3			b u d a	
105-3			d a ʔ b ʃ a	
510-3			b u ʃ a	
951-3			m b a m a l a	
1116-3			m b a ʃ a	
149-3			k ʔ a s ʔ i	
376-3			p ʔ i l a	
815-3			g a n a ʃ a	
453-3			d u ʃ a	
67-3			g u ʃ a	
47-3			ɗ a b u ɔ ʃ a	
869-3			g u l a	
57-3			g u ʃ a	
303-3			k ʔ ɔ s ʔ i a	
443-3			g ɛ l a	
884-3			g a n d a	
166-3			g u n d a	
918-3			a b a l a	
831-3			m i f ʃ a	
616-3			ʃ l a	
84-3			h ɔ ʃ ɔ l a	
346-3			h ɔ h i l a	
601-3			h u b a	
177-3			k ʔ a l a r	
341-3			k ʔ ɔ l a	
1066-3			m a n s ʔ a r a	
318-3			m m a ʃ a	
241-3			m a h a ʃ a	
556-3			m a n d u l a	
191-3			p ʔ a m p ʔ i a	
458-3			a s ʔ a s ʔ a	
1-3			m a n f i l	
751-3			m a	
864-3			a m a n ʔ a	
154-3			a b m a n s a	
278-3			a m a l a ʔ a	
766-3			m u l a	
251-3			a g a ʃ a	
582-3			a ʔ ɔ ʃ	
6-3			iː l a	
1106-3			m ʔ a	
473-3			m u l a	
1111-3			h ʊː ʃ a	
957-3			m a r a	
24-3			m a	
25-3			m a r a	
879-3			a b a n a d a ʔ	
566-3			a a a m o ɔ l a ŋ ŋ	
742-3			a g ɔ d	
1044-3			h a m b i l a	
13-3			a m h a s i ɲ	
720-3			a m ɛ l a d	
233-3			k ʔ a b a a a	
938-3			k ʔ a n u u ŋ e	
369-3			a m a	
889-3			k ʔ a r a	
405-3			g a ɗ a	
134-3			p ʔ a ʔ i ʔ a	
1078-3			m a ʃ i	
429-3			g a n ʔ ɔ ʃ	
187-3			g a s ʔ i ŋ a	
468-4				m uː g e
222-4				aː g a b iː ɲ e
208-4				aː b a r ɗ a b i
962-4				a g a r θ a
203-4				a g a ɗ ɛ b
138-4				l m ɛ l e
504-4				h aː ʃ e r o
662-4				ɓ u ɗ oː y o
478-4				g u ɗ e
409-4				iː l a
410-4				g u n d u
256-4				ɓ i l e
622-4				n d ə
546-4				n d ə
547-4				z o l a ʔ
847-4				m oː n ɗ aː ʃ i
95-4				ɓ u ɗ i
105-4				g a h a ʃ o
510-4				g aː ʃ a
951-4				m b i ɛ l e
1116-4				m b ə l a
149-4				k ʔ a s ʔ u
376-4				ɓ i l a
815-4				g a r i y a
453-4				ɓ u ʃ i
67-4				g aː ʃ a
47-4				ʔ o g oː r o l o
869-4				g uː l e
57-4				g aː ʃ a
303-4				g dʒ a f ʔ u a
443-4				g aː ʃ a
884-4				g u n d u
166-4				g u n d u
918-4				a b a l e
831-4				h a g ʃ a
616-4				b l a
84-4				h o ʃ ɛ l e
346-4				h o ʃ ɛ l e
601-4				s i ʔ i
177-4				k a l a t
341-4				k o l e
1066-4				m aː m ɗ b i ɲ a
318-4				m m aː ʃ a
241-4				m a n ʃ a
556-4				h oː n d u ɲ a
191-4				t ʔ a m k ɗ i l
458-4				aː s ʔ a k ʔ u
1-4				h a ŋ h o l
751-4				m a
864-4				a m a ʃ e y o
154-4				aː b m u n z u
278-4				a m i l i b o
766-4				θ uː θ e
251-4				a b aː l e
582-4				a b o l
6-4				i l a
1106-4				n d ə
473-4				r i l e
1111-4				θ i l e
957-4				m a l e
41-4				d ə e
566-4				aː s m a ŋ f a l o t t
742-4				a ʔ o
1044-4				h a m i l u
13-4				r m a z i
720-4				aː g a l a ʔ
837-4				m i l e
946-4				ɓ o ŋ z o
820-4				o m o l e ʔ
405-4				g aː ɗ a
134-4				t a ɗ iː ʔ a
1078-4				m i ʔ i
429-4				b o r ʔ o ʃ
187-4				g aː s ʔ i y a
438-4				n d ə l e
