COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a m															
1319-1	n ɔ															
1398-1	s u r̃ u															
1557-1	g i r e															
1626-1	w a g															
1840-1	t i r̃ u															
2247-1	g o															
4677-1	k u r e j															
5162-1	m i r̃ ɛ															
5406-1	t aː n u															
359-1	g a r i															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a ŋ a															
3866-1	o s u															
4553-1	t a															
4822-1	k u m b o															
5254-1	d u r ɔ															
503-1	k i r̃ ɛ j̃															
1356-1	m a j̃ a															
1881-1	n u m u j̃															
3218-1	b u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ a															
4694-1	g u s u															
807-1	k o m b i															
2320-1	k a ŋ ɛ															
2476-1	k u															
3719-1	m ɔ															
4081-1	d a m b i															
4313-1	n ɛ															
4460-1	s u j̃ ɔ															
5810-1	p i r ɛ															
93-1	d ɔ															
260-1	b i r e															
385-1	z ɛ m b ɛ															
890-1	a m b i r u															
1336-1	t e g e															
1703-1	b o															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ g ɛ															
4591-1	k e r i															
5301-1	p ɛ r u															
5605-1	t i m ɛ j̃															
463-1	d u m b u															
1432-1	t a r i															
1474-1	t u															
1788-1	s i															
2044-1	g i m b e															
2713-1	t e m ɛ ɛ r ɛ															
3219-1	b aː s a															
3425-1	j u															
4184-1	ŋ ɛ j̃															
4629-1	n u j ɔ															
4759-1	n i j̃ i															
4904-1	n u ɔ															
4960-1	g i r aː z o															
4980-1	t ɔ															
5059-1	g u r o															
5339-1	p a															
5549-1	t a w a															
5905-1	t i r̃ u															
5922-1	b i r a															
5938-1	a u n ɔ															
1-1	p ɛ															
483-1	g e s u															
629-1	d ɔ															
667-1	ɛ w ɛ															
1254-1	s u r u															
1415-1	ŋ ɛ															
1542-1	n u															
1683-1	s i															
1898-1	p u r̃ u j															
2901-1	t u r g u															
2957-1	m a n i															
3048-1	b i j e															
3251-1	b a r															
3885-1	ɔ r ɔ															
715-2		d e i														
1089-2		n aː i														
1319-2		n ɔ j̃ i														
1398-2		s u g i n i														
1557-2		g i n i														
1626-2		w a w i														
1840-2		t i n i														
2247-2		g oː														
4677-2		k u r eː j i														
5162-2		m i r̃ i														
5406-2		t aː i i														
359-2		g a r u														
1577-2		g i r e														
2196-2		n a r̃ a														
2230-2		s i j e														
2533-2		b a r i														
3605-2		k a n g a														
3866-2		oː s u														
4553-2		t aː g e														
4822-2		k e b iː														
5254-2		d u r ɔ														
503-2		tʃ i r̃ i j														
1356-2		m a w b														
1881-2		n u m u j̃ i														
2084-2		aː g g ɛ														
2420-2		k u r ɔ														
3218-2		p e i u														
3372-2		n a r aː														
3718-2		a r i														
4135-2		b a r̃ a j̃														
4694-2		g e s u														
807-2		k ɔː r b g														
2320-2		k a n ɛ														
2476-2		k e i														
2842-2		p i g u g														
4081-2		dʒ a m b i														
4313-2		n ɛ														
4460-2		s i j̃ ɔ														
5514-2		ɛ n g ɛ														
5810-2		p i g r e														
93-2		d ɔ														
260-2		b i r e														
385-2		dʒ ɛ m b ɛ														
890-2		a m b iː r i														
1336-2		t i n e														
1703-2		b ɣ														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s iː														
2735-2		a n g g i														
3031-2		d ɛ g														
4591-2		tʃ e r i														
5301-2		p ɛː r i														
5605-2		t iː e j̃														
296-2		dʒ a m b a														
463-2		dʒ u b u														
762-2		p a n k u g g														
1432-2		t a r u														
1474-2		t oː														
1788-2		s i n iː														
2044-2		dʒ i m b e														
2713-2		t ɛː m m ɛ l e r ɛ														
3219-2		p a s a														
3425-2		j u														
4184-2		ɲ e j̃ u														
4629-2		n u m e														
4759-2		n i j̃ ɛ														
4904-2		n u i e														
4960-2		k i g aː r u														
4980-2		t ɔ t i														
5059-2		g e r iː														
5125-2		ɔ n dʒ u														
5339-2		p aː g														
5549-2		t a w a														
5771-2		dʒ u g u g														
5905-2		t i r̃														
5938-2		a g u b ɛ														
1-2		p e														
483-2		g u s u														
629-2		d ɔ j̃														
667-2		ɛ w aː														
1254-2		s u e r u														
1415-2		ɲ e														
1542-2		n u														
1683-2		s i														
1898-2		p ũ r̃ oː														
2551-2		r u														
2901-2		t e ŋ g u														
2957-2		m a m i i														
3048-2		b i j														
3251-2		dʒ a r a														
3885-2		d ɛ														
715-3			d u													
1089-3			n eː													
1319-3			n													
1398-3			s u g u l e													
1557-3			g i r e													
1626-3			w a g e													
1840-3			t eː n													
2247-3			g u													
4677-3			k u l e n i													
5162-3			m i n l ɛ													
5406-3			t a n d i													
359-3			k a r													
1577-3			g i r e													
2196-3			n a l e													
2533-3			b a r e													
3866-3			ʔ o dʒ i													
4553-3			t a ʔ g e													
5254-3			d i l ɔ													
503-3			k i n													
1881-3			n ɔː m ɛ													
2084-3			j eː iː													
2420-3			k u l ɛ													
3218-3			p u ʔ u dʒ u													
3372-3			n a m i													
3718-3			ʔ a r i													
2320-3			k a n ɛ													
2476-3			k ɔ g													
3719-3			m i													
4460-3			d a													
5514-3			n ɛ m d ɛ													
890-3			ʔ a m ʔ i l i													
1336-3			d e g e													
1703-3			b eː													
2162-3			g a													
2635-3			g ɛː													
2735-3			d a n ʔ a m a													
762-3			b a l a ʔ g u													
1788-3			s e													
2713-3			t a m a a a d ɛ r ɛ													
3219-3			p a u													
4629-3			n u													
4904-3			n a u a e e													
5125-3			g a n													
5771-3			j u g u													
5938-3			ʔ a r u n i													
1898-3			p u l o													
2901-3			t u													
2957-3			m aː n d e													
3048-3			b iː j e													
715-4				d i												
1089-4				n a ɔ												
1319-4				n i												
1398-4				s ɔ n u r u u												
1557-4				g i r ɛ												
1626-4				w a g a												
1840-4				t e r̃												
2247-4				g oː												
4677-4				k i r e j												
5162-4				m i r̃ ɛ												
5406-4				t aː ɔ												
359-4				g e r u iː												
1577-4				g i r ɛ												
2196-4				n a r̃ a												
2230-4				s i g ɛ												
2533-4				b a r u a												
3605-4				k a n a												
3866-4				o dʒ u												
4553-4				t ɛ g u												
4822-4				k i m o												
5254-4				d u r ɔ												
503-4				k e ɔ												
1356-4				m a j̃ iː												
1881-4				n u m iː												
2084-4				j aː b ɛ												
2420-4				k u r												
3218-4				b uː dʒ u												
3718-4				a r u												
4135-4				b a r̃												
4694-4				g i dʒ w u												
807-4				k oː m												
2320-4				k a ŋ a												
2842-4				d i g u												
4313-4				n a m												
4460-4				s i j̃												
5514-4				n ɛ n ɛ												
5810-4				p i r̃												
93-4				d o												
260-4				b ɛ r ɛ												
385-4				g i m ɛ iː												
890-4				a m i r̃ u												
1769-4				t i m ɛ												
2162-4				b ɛ r ɛ												
2635-4				s o												
2735-4				d ɛ ŋ ɛ												
3031-4				d i g ɛ												
5301-4				p ɛ r												
5605-4				t i m ɛ												
63-4				k a r a												
296-4				dʒ ɛ m a												
463-4				d u m												
762-4				b a n a k u r u												
1432-4				t ɛ r												
1474-4				t ɔ												
2044-4				d i m ɛ												
3219-4				b aː dʒ a												
4120-4				k o r o												
4184-4				j ɛː												
4423-4				d ɔ n o												
4629-4				n u n g ɔ												
4759-4				n i j̃ e												
4904-4				n r u n j ɔ												
4960-4				g i n aː dʒ u												
4980-4				t i												
5059-4				g i j̃												
5125-4				ɔ ɲ ɔ												
5549-4				t ɔ w ɔ												
5771-4				dʒ u g u w												
5922-4				b i r ɛ												
1-4				p ɛː												
629-4				d ɛː u												
667-4				ɛ w ɛ												
1254-4				dʒ ɔ m d r												
1415-4				j ɛː												
1542-4				n w̃												
1683-4				s i u ɔ												
1898-4				b u r̃ o												
2551-4				r aː												
3251-4				s a r a												
3885-4				d ɔ r ɔ												
715-5					d u e											
1089-5					n a n a											
1319-5					nʷ ɛ a											
1398-5					s u k e l j e											
1557-5					k r e											
1626-5					w aː i											
1840-5					t ɛ e											
2247-5					e											
4677-5					k e l ɛ n											
5162-5					m i l ɛ											
5406-5					t aː n d i											
359-5					k aː r aː ũː											
1577-5					k r e											
2196-5					n ɔ l e											
2230-5					s ŋ e											
3605-5					k aː n d aː											
3866-5					w̃ o dʒ i											
4553-5					t aː g w̃ e											
4822-5					k e m b e											
5254-5					d l a											
1356-5					k a j̃											
1881-5					nː ɔː m a w̃											
2084-5					j aː d i											
2420-5					k e l ɛ											
3218-5					b u u s u											
3372-5					n ɔ m a											
3718-5					w̃ aː r aː											
4135-5					b a n											
4694-5					g e dʒ e w̃ e											
2476-5					k ɔː											
2842-5					d ŋ a											
3719-5					m i											
4081-5					t u m b w̃ e											
5514-5					n ɛ m d ɛ											
260-5					b e n r e											
385-5					d ɛ m b ɛ											
890-5					k a m b i r ɛ											
1703-5					b ɛ											
1769-5					t e m b e											
2735-5					d a n e a m a											
4591-5					t aː r e											
5301-5					b ɛ l g											
63-5					k aː r aː											
296-5					k a l b ɛ											
463-5					k ɛ m b ɛ											
762-5					b a n a g u											
1788-5					s e											
3219-5					b u s u											
4120-5					k o l o											
4759-5					n o e a											
4960-5					g ɛ n ɛ ɛ											
5059-5					k e j e											
5549-5					k a a											
5771-5					j u u											
5905-5					k ɛ											
5938-5					g a r u n e a											
1415-5					ŋ ɛ											
1542-5					n ɛ											
1898-5					b u l o											
2551-5					r ɛ											
2957-5					m a n d e											
3048-5					b i j e											
715-6						d i m e										
1089-6						n aː m										
1319-6						n i										
1398-6						s i e u n e										
1557-6						dʒ i l i										
1626-6						s g aː										
1840-6						d i l e										
2247-6						g o										
4677-6						k l a e										
5162-6						m̩ i n̩ i										
5406-6						d aː n d iː										
359-6						g a l kʷ e										
1577-6						dʒ i l										
