COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i j i															
1089-1																
1319-1	ɲ i															
1398-1	s i g u															
1557-1	dʒ i r e															
1626-1	o															
1840-1	t i ŋ i															
2247-1	k e															
4677-1	k u r e j															
5162-1	i															
5406-1	t o n d i															
359-1	k o i															
1577-1	dʒ i r e															
2196-1	o d a															
2230-1	s i g e															
2533-1	b a r a															
3605-1	k a n a															
3866-1	o d u															
4553-1	d a g u															
4822-1	k u b ɔ															
5254-1	d i r ɔ															
503-1	k i j e															
1356-1	a															
1881-1	i															
3218-1	b u dʒ u															
3372-1	a j a															
3718-1	a i a															
4135-1	b o i															
4694-1	g i dʒ i															
807-1	k o															
2320-1	k a ŋ e															
2476-1	k uː															
3719-1																
4081-1	d a m b i															
4313-1	i															
4460-1	s o j															
5810-1	d i r i															
93-1	d o															
260-1	d i r e															
385-1	d i b a															
890-1	a m b i i															
1336-1	d e g e															
1703-1	b i															
1769-1	t e b i															
2162-1	b o r o															
2635-1	s e															
3031-1	d e g o															
4591-1	k i r e															
5301-1	d i r u															
5605-1	g i j e															
463-1	d i m b i															
1432-1	t a r u															
1474-1	t ɔ ŋ d ɔ															
1788-1	s u															
2044-1	d i b e															
2713-1	t i d o d o r d															
3219-1	b u d u															
3425-1	j uː															
4184-1	ɲ i															
4629-1	o u j u															
4759-1	i j e															
4904-1	o j u															
4960-1	dʒ i n e dʒ e															
4980-1	d o															
5059-1	g u j o															
5339-1	d a g a															
5549-1	d a b a															
5905-1	t i r i															
5922-1	b i r e															
5938-1	o d i b i j i															
1-1	d i															
483-1	g i d i															
629-1	d ɔ															
667-1	o b e															
1254-1	z a d u r u															
1415-1	ɲ ɛ															
1542-1	ŋ̍ i															
1683-1	s i j e															
1898-1	d u r o															
2901-1	d u ŋ u															
2957-1	o															
3048-1	b i j e															
3251-1	d a r a															
3885-1	d o r e															
4402-1	j e															
5622-1	d i r e j e j															
6006-1	p i r o															
135-1	t u d u															
158-1	m o s u															
194-1	b e															
221-1	a d u															
650-1	b i d e															
1152-1	t i b ɛ															
1374-1	k ɔ ŋ ɔ															
1452-1	g aː r a															
1862-1	u d i															
2083-1	k a n i															
2108-1	n a j															
2636-1																
2924-1	d i r i															
2941-1	b i b u															
3405-1	i ɛ															
3751-1	d e j															
4066-1	g ɔ r ɔ															
4535-1	s i g ɔ															
4888-1	s a m n e															
5583-1	t a ŋ g o															
5751-1	d i j ɛ															
5981-1	a r a															
114-1	d ɔ j e															
851-1	k u j ɔ															
1941-1	k i r e															
2179-1	t i															
2351-1	b a b a															
2496-1	i ɔ															
3482-1	i s i d e															
3497-1	n a															
3588-1	k o r ɔ															
4202-1	g o r e															
4293-1	dʒ ɔ b ɔ															
4921-1	s a m b a															
408-1	j i b i															
545-1	u r u															
978-1	t e m															
1052-1	n a m b u															
1070-1	l u g o															
1942-1	j e															
2456-1	k o r u															
2514-1	d u dʒ u															
2666-1	s i g e															
2817-1	a ŋ̍ g u															
3132-1	d u ŋ g u															
3300-1	e w a															
3976-1	s u															
4152-1	k i r a															
4361-1	t e g e															
4570-1	d ɔ w e j															
4648-1	j i															
5318-1	d ɔ r ɔ															
5673-1	d e m b i															
5887-1	j aː															
446-1	k i ŋ g i															
521-1	k o dʒ u															
1108-1	k j o															
1124-1	i r e															
1745-1	dʒ a j a															
1823-1	g o r o															
2143-1	b a															
2265-1	u r ɔ															
2392-1	l o s u															
2579-1	d o j															
2774-1	k a n i															
3339-1	k a g a															
3550-1	i n i															
4024-1	z i b a															
4219-1	d b m b e															
4240-1	w e r u															
4259-1	g ɔ ɛ															
4738-1	g i n d a															
5197-1	e r u															
5447-1	g i d e															
5531-1	dʒ e															
5733-1	n u															
5828-1	j a ŋ̍ a															
562-1	s u m o															
998-1	ɛ															
1022-1	p u n u															
1023-1	j i															
1205-1	j e															
1275-1	d a															
1578-1	ɔ u															
2063-1	i r ɛ															
2334-1	a s u															
2798-1	e m a															
3252-1	a m b a															
3463-1	w a															
3683-1	k i n i															
3772-1	t u j a															
3790-1	g a w															
4052-1	b a s a															
4220-1	k u															
4440-1	t u w															
4479-1	k o															
4711-1	j a r u															
4778-1	d a s a															
4821-1	k u															
4941-1	ɔ j̃ ɛ															
5272-1	t e g u															
5423-1	ɔ s u															
5424-1	k ɔ r ɔ															
563-1	s u m b a															
613-1	m aː															
684-1	ɲ aː n i															
742-1	z a j a															
1204-1	k e r u															
1373-1	k i s ɛ															
1787-1	n aː															
1988-1	p ɛ n d o															
2283-1	b e r u															
2372-1	b i l i															
2441-1	n aː															
2598-1	j e j															
2773-1	b a r m i															
3011-1	b a n a															
3176-1	z ɔː r ɔ															
3283-1	a r̃ a															
3318-1	n o n d i															
3658-1	d ɛ															
3807-1	p u															
4037-1	s a ŋ dʒ a															
4498-1	e r u															
4843-1	o r u															
5078-1	b i r m															
5357-1	k u w o															
5390-1	d u d o															
5790-1	ɔ r u															
21-1	d e b a															
42-1	k i dʒ															
61-1	k ɛ n d ɛ															
239-1	t u m b a															
309-1	d uː j a															
327-1	ŋ u															
482-1	tʃ b s u															
594-1	u s u n i															
701-1	m ɛ															
909-1	j u															
928-1	ɔː m b o															
1184-1	d ɔ r ɔ															
715-2		d i j i														
1089-2		i i i														
1319-2		i i														
1398-2		s i i t i														
1557-2		dʒ i i i														
1626-2		w a g a														
1840-2		t i ŋ i														
2247-2		k i														
4677-2		k i l e j														
5162-2		m i r i														
5406-2		t i n i														
359-2		k a l a														
1577-2		dʒ i r e														
2196-2		o i l a														
2230-2		s i g o														
2533-2		b a i i														
3605-2		k a i d a														
3866-2		o dʒ i														
4553-2		t a g a														
4822-2		k u m b i														
5254-2		d i l ɔ														
503-2		k i j i														
1356-2		m a j i														
