COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	n a															
1319-1	n ɔː															
1398-1	s u ŋ g u															
1557-1	g i r e															
1626-1	w a w															
1840-1	t i r̃ i															
2247-1	k o															
4677-1	k u s o j															
5162-1	m i r̃ e															
5406-1	t aː n d u															
359-1	k a r i															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t a															
4822-1	k u m b ɔ															
5254-1	d u r a															
503-1	k i r̃ e															
1356-1	m a															
1881-1	n u															
3218-1	p iː s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n															
4694-1	g u s u															
807-1	k ɔ m															
2320-1	k a j a															
2476-1	k uː															
3719-1	m															
4081-1	d a m b a															
4313-1	n ɛ j̃															
4460-1	s ɔː															
5810-1	p i r i															
93-1	d ɔː															
260-1	b ɛ r u															
385-1	z ɛ m b a															
890-1	a m b iː r i															
1336-1	t eː															
1703-1	b a															
1769-1	t e m b i															
2162-1	b ɛ r u															
2635-1	s ɔ															
3031-1	d ɛ w															
4591-1	t aː r u															
5301-1	p ɛ r u															
5605-1	t i m ɛ															
463-1	d u m b a															
1432-1	t a r u															
1474-1	t ɔ ŋ															
1788-1	s ĩː															
2044-1	d u m b a															
2713-1	t ɛ m ɛ dʒ ɛ															
3219-1	p a s u															
3425-1	j iː															
4184-1	ɲ aː															
4629-1	n u ŋ ɔ															
4759-1	n iː															
4904-1	n u ŋ ɔ															
4960-1	z i n a d a															
4980-1	t ɔː															
5059-1	g u j̃ o															
5339-1	p a g a															
5549-1	t a w															
5905-1	t i r̃ u															
5922-1	b i r ɛ															
5938-1	a r̃ u n a															
1-1	p ɛ															
483-1	g o s u															
629-1	d ɛ															
667-1	ɛ w aː															
1254-1	z a n d u															
1415-1	ɲ ɛ															
1542-1	n iː															
1683-1	s i															
1898-1	p u r̃ a															
2901-1	t u n d i															
2957-1	m a n d e															
3048-1	b iː															
3251-1	s a r̃ a															
3885-1	d ɛ r u															
715-2		i														
1089-2		n aː														
1319-2		n ɔː														
1398-2		s u ŋ g u														
1557-2		g i r e														
1626-2		w a g a														
1840-2		t i r̃ i														
2247-2		k oː														
4677-2		k u l o j														
5162-2		m i r̃ u														
5406-2		t a n i														
359-2		k a r i														
1577-2		g i r e														
2196-2		n a r̃ a														
2230-2		s i w														
2533-2		b a r i														
3605-2		k a n dʒ a r a														
3866-2		o s u														
4553-2		t a r u														
4822-2		k u m b ɔ														
5254-2		i r i														
503-2		k i r̃ a														
1356-2		m a j̃														
1881-2		n u m														
2084-2		j a p i														
2420-2		k u l ɛ														
3218-2		p u s u														
3372-2		n a w̃ aː														
3718-2		a r a														
4135-2		b a n i														
4694-2		g u s u														
807-2		k ɔ m														
2320-2		k a n dʒ a														
2476-2		k uː														
2842-2		d u w														
4081-2		dʒ a m b a														
4313-2		n ɛ j̃														
4460-2		s i j														
5514-2		n ɛ n dʒ ɛ														
5810-2		p i r i														
93-2		d ɔː														
260-2		b ɛ l i														
385-2		s ɛ m b ɛ														
890-2		a m b i l i														
1336-2		t e g e														
1703-2		b a														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s oː														
2735-2		d a n a														
3031-2		d ɛ w														
4591-2		t a r i														
5301-2		p ɛ r u														
5605-2		t i m ɛ														
296-2		s a m b a														
463-2		d u m b i														
762-2		b a n a j̃														
1432-2		t a r u														
1474-2		t ɔ r ɔ														
1788-2		s i														
2044-2		d u m b e														
2713-2		t ɛ m ɛ i r ɛ														
3219-2		p a s a														
3425-2		j uː														
4184-2		ɲ a j̃														
4629-2		n u ŋ														
4759-2		n iː														
4904-2		n u ŋ														
4960-2		dʒ i n aː														
4980-2		t ɔː														
5059-2		g u j̃ o														
5125-2		o ɲ u														
5339-2		p a w a														
5549-2		t a w														
5771-2		s u w iː														
5905-2		t i r̃ u														
5938-2		a l i n a														
1-2		p ɛː														
483-2		g oː s u														
629-2		d ɛ														
667-2		ɛ w														
1254-2		s a r u														
1415-2		ɲ aː														
1542-2		n ɔː														
1683-2		s i j e														
1898-2		p u r̃ a														
2551-2		r̃ a														
2901-2		t u ŋ g i														
2957-2		m a n dʒ u														
3048-2		b i j														
3251-2		s a r̃ a														
3885-2		d ɛ r ɛ														
715-3			d eː													
1089-3			n aː													
1319-3			n ɔ m													
1398-3			s u ŋ g u													
1557-3			g i l e													
1626-3			w a g a													
1840-3			t eː ŋ i													
2247-3			g eː													
4677-3			k u l ɛ													
5162-3			m i n ɛ													
5406-3			t aː n d e													
359-3			g a l ɛ													
1577-3			g ɔː l e													
2196-3			n a l a													
2533-3			b a l a													
3866-3			ɛ dʒ u													
4553-3			t a g a													
5254-3			d u l e													
503-3			k i n a													
