COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
406		n a g u r u						n a g u r u		n a ŋ u r u
215		j o kː j a	j o k a							
21	n uː					n a u			n uː	
261		s o r a		s o r a						s o r a
307		m i	m iː	m i	m iː		m i	m i		m i
336	θ u dʑ i					t u dz ɨ			t u dʑ i	
450			u r e i t a	u r e t a			o r e t a			
286								m u k oː z u n e	h w i ɕ a	
80		t a m a g o	t a m a g o	t a m a g o	t a m a ŋ o		t a m a ŋ o	t a m a g o		t a m a ŋ o
72		n i k u	n i	n i k u	n i k u		n i k u	n i k u		n i k u
5					a ɴ t a					a n a t a
355					g o ts ui	u d a				
440	ʔ u θ u r u ɕ a		o t o r o sː e s ui				o s o r e r u		ʔ u t u r u s a	
222	ʔʲ a x j a					vː a d u			ʔ i tː aː	
303	w a θ a	h a r u t a	z u z u w a t a	h a r a w a t a	h a r a w a t a		h a r a w a t a	h a r a w a t a		h a r a w a t a
245		k o k o	k o k o	k o k o	k o k o		k o k o	k o k o		k o k o
211				eː	eː		eː	eː		iː
426		k a m a r u		k a m u						
356		u s u kʲ a	ui s i	u s ui	u s ui		o s iː	u s ui		u s ui
255		tɕ iː t o					tɕ iː t o			
164				o h i s a m a	o h i s a ɴ		o ɸ i s a ɴ			o h i s a m a
224					a ɴ t a r a					a ɴ t a t a tɕ i
45							k o m eː		g u m a s a ɴ	
88	h i g i					pˢ ɨ g i				
207		a t a r a s i kʲ a					a t a r a s i	a t a r a s iː		a t a r a s iː
192		a o kʲ a	a o	a o i	a o i	a u	a w eː	a o i		a o i
106						p ɨ s a			h w i ɕ a	
13			o i d o ɴ				o r a r a	o r a tɕ i		
113	w a θ a					b a t a			w a t a	
230	ʔ a ɴ tɕ u		a iː	a n o h i t o	a n o h i t o		a r e	a n o h i t o	ʔ a n u tsː u	a n o h i t o
269	ʔ i x i	i k e		i k e			e k e	i k e		
118	s i ɴ d o	s i ɴ z oː	s i ɴ i z oː		s i ɴ z oː		s i ɴ z oː	s i ɴ z oː		s i ɴ z oː
248	ʔ a m a								ʔ a m a	
201	h i g u r u s a r i			h i j a i		p i ʃ i			h w iː s a ɴ	
451		h o k o r i		h o k o r i	h o k o r i	p u k i	h o k e	h o k o r i	h u k ui	h o k o r i
178	m i tɕ a					m t a			ɴ ts a	
386						m a tː oː β u			m a tː oː b a	
340	m a ɕ u					m aː s o			m aː ɕ u	
34	ɕ o g o ɕ a ɴ					u k aː ʃ a				
343		k oː r u	k oː	k oː r u	k oː r u		k oː r u	k oː r u		k oː r u
338				k a n a i	k a k a			k aː s a ɴ		k a n a i
204		i pː i a	pː e	i pː a i	i pː a i		e pː eː	i pː a i		i pː a i
