COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	tɕ i ²¹									
93-1	k ɯ ²¹									
216-1	sʰ w a ⁴⁴									
236-1	ts o ŋ ³³									
267-1	tɕ j e n ⁴²									
316-1	p u ³³									
327-1	ɣ ə ³³									
348-1	ʈʂ o ³³									
400-1	z o ²¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	ʈʂʰ ou ⁴²									
534-1	ts ou ³³									
556-1	kʰ u ³³									
568-1	x ɯ ⁴⁴									
588-1	sʰ w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k o ŋ ²¹									
678-1	k o ŋ ²¹									
689-1	m ə˞ ⁴⁴									
700-1	m i ⁴⁴									
775-1	tɕ j e n ⁴²									
786-1	k e ³⁵									
820-1	ʈʂ o ŋ ⁴²									
839-1	d ɯ ²¹									
863-1	kʰ w o ³³									
896-1	k ə̃˞ ³⁵									
929-1	ʈʂ ɯ ⁴²									
1015-1	ʂ u ⁵⁵									
1035-1	ʈʂ u ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	l o ²¹									
1294-1	k ã ³⁵									
1326-1	tɕ u ³³									
1348-1	tɕ i ²¹									
1401-1	ʂ e n ⁴²									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ ə ⁰									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	x j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ɕʰ i ⁴⁴									
1731-1	ɕʰ o ŋ ⁵⁵									
1762-1	sʰ w a ŋ ⁴²									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	z i ²¹									
1816-1	ʂ u ³³									
1862-1	ʈʂ i ⁵⁵									
1885-1	kʰ ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	ʂ e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k ã ³⁵									
2051-1	tɕ j o ŋ ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	ʈʂ o ³³									
2269-1	m e ³³									
2280-1	ʂ u ⁴²									
2291-1	ʂ e n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	ʈʂ i ³³									
2395-1	tʰ ã ⁵⁵									
2406-1	tɕʰ j ə̃˞ ⁵⁵									
2417-1	k o ⁴²									
2428-1	k ã ³⁵									
2450-1	ʈʂ o ŋ ²¹									
2484-1	ɕʰ i ⁴⁴									
2495-1	k o ²¹									
2565-1	tɕ ə ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w a ⁴⁴									
2644-1	w a ŋ ⁴⁴									
2674-1	m õ ³³									
2698-1	ʂ u ³³									
2709-1	n e ²¹									
2720-1	tɕ j o ⁴⁴									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ j ə̃˞ ³⁵									
2837-1	ʈʂ ʯ̃ ³⁵									
