COGID	Albanian	English	French	German	Latin
560-1	t ə n				
438-1	r ə				
1222-1	t ə				
353-1	p t ə ə t				
201-1	t ə n t				
20-1	t ə t t ə				
503-1	p t ə n				
957-1	t ə				
728-1	t ə n ð				
244-1	n ə m ə				
289-1	n t ə ə				
911-1	r ə ə t ə				
724-1	r t				
145-1	t t				
992-1	t				
1181-1	t ə n t				
741-1	p t ə t				
1150-1	d ə ə ə ə ə				
585-1	t				
814-1	t ə r t ə				
916-1					
1079-1	t ə t				
630-1	d n ð ə ə t				
343-1	t ə t ə				
560-2		k k ɪ			
438-2		i r			
1222-2		k k ai			
353-2		f k ɪ s			
201-2		f a n			
20-2		f a ə r			
503-2		f k ɪ l			
957-2		m ɪ n			
728-2		l a			
244-2		n i n			
289-2		n k a d			
911-2		w a r l			
724-2		ð r			
145-2		k w ai			
992-2		w i			
706-2		ai g			
106-2		f a d ə r			
741-2		k k			
421-2		b l ɪ			
227-2		f k i t			
920-2		h ɪ r n			
1083-2		h ɪ r n			
1066-2		ɪ k			
1125-2		m k n			
1197-2		k ɪ d ə r			
473-2		n ɪ			
284-2		n ɪ s			
661-2		m ai n			
701-2		r ɪ d			
315-2		r ɪ n d			
1169-2		s a l			
1150-2		k j ɪ r			
982-2		k s ɪ ŋ			
987-2		s n i p			
1055-2		s k d i r n			
1130-2		s ai g			
433-2		s ɪ n			
625-2		m ɪ			
1186-2		m ɪ n			
416-2		k w			
1233-2		w ɪ n d			
884-2		w a r			
1016-2		k k			
952-2		k k			
78-2		b l i s			
514-2		b k r i n			
116-2		ɪ t			
188-2		f k ɪ ə r n			
745-2		f a ð ə r			
1100-2		f r i d			
47-2		k k			
111-2		k k			
1061-2		k k			
24-2		n ɪ d			
232-2		n ɪ n			
671-2		k r i d			
560-3			v		
438-3			s r		
1222-3			s v i		
353-3			p s		
201-3			s ɑ̃ r		
20-3			s r		
503-3			p l		
957-3			s ɑ̃		
728-3			l ɔ		
244-3			s ɑ̃		
289-3			s t		
911-3			r		
724-3			s r		
145-3			s		
992-3			s ɔ		
1181-3			s		
706-3			ɔ		
106-3			p t r		
741-3			p		
421-3			f l s		
227-3			p		
920-3			s ɔ r		
1083-3			s ɔ r		
1066-3			s		
1125-3			s ɑ̃		
1197-3			m t r		
473-3			s ɔ j i		
284-3			s s		
661-3			s ɑ̃		
701-3			r u r		
315-3			r ɔ t		
1169-3			s j		
1150-3			s r		
982-3			s		
987-3			ɑ̃ j		
1055-3			s t j		
1130-3			s		
433-3			s j		
585-3			s		
625-3			l ɑ̃		
1186-3			s ɑ̃ t		
814-3			v r		
416-3			s		
1233-3			v ɑ̃ t		
884-3			v r		
916-3			s		
1016-3			ɑ̃ e j		
952-3			s		
514-3			s		
1079-3			s		
1100-3			s		
47-3			s		
111-3			l		
1061-3			m ɔ t		
1155-3			s ɔ j		
343-3			v t r		
671-3			s		
560-4				k i ə m b	
438-4				y r ə ə	
1222-4				b e g	
353-4				f t iː ʃ b	
201-4				f oi b ə b	
20-4				f a h b b r	
503-4				f l iː l b	
957-4				m i n	
728-4				l eː b ə b	
244-4				n a m b b	
289-4				n t o b t	
911-4				r eː t t	
724-4				d r s eː	
145-4				t b au b	
992-4				h eː	
1181-4				k t ə i	
706-4				ai k b b b	
106-4				f a d ə r	
421-4				f l iː ə r	
227-4				f n uː t	
920-4				h a r t b b	
1083-4				h a r n b	
1066-4				b t eː	
1125-4				n ə n eː	
1197-4				m u d ə r	
473-4				n a l t	
284-4				n a z b	
661-4				v a n b	
701-4				r eː b t b	
315-4				r eː n b	
1169-4				z a l t	
1150-4				ʃ t a r t b b	
982-4				n z ai t b	
987-4				ʃ n au l	
1055-4				z n t f aː r b b	
1130-4				z a k ə	
433-4				z a n f t	
585-4				k ə	
625-4				t a b ə b	
1186-4				t eː b d	
814-4				l l	
416-4				n v ai t	
1233-4				v y n b	
884-4				v a r m b	
78-4				b l au ə	
514-4				b a r ə n n	
116-4				y s	
188-4				f l a b r t	
745-4				f a d ə r	
1100-4				f r n o b t	
630-4				ə i h ə i t	
1155-4				n ə	
24-4				n a t t	
232-4				n a t ə	
671-4				n r n o b t	
560-5					w i n o
438-5					o r i
1222-5					a o w
353-5					p a s i o
201-5					s i n i
20-5					k a t i r
503-5					p l i n aː
957-5					d i oː
728-5					l o i o
244-5					o m i
289-5					n i o
911-5					r a n i
724-5					t r
145-5					d o
992-5					k oː
1181-5					i n i o
706-5					o i i o
106-5					p i t i r
741-5					p o o
421-5					w l o d r
227-5					p i
920-5					k o r i i o
1083-5					k o r i o
1066-5					a o
1125-5					i n o
1197-5					m i t i r
473-5					n u w i l
284-5					n i d o
661-5					a i n o
701-5					r u d i o
315-5					r o d i n d o
1169-5					s i l aː
982-5					a s i o
987-5					s n i
1055-5					s i t i a l i o
1130-5					s i s o
433-5					s o l i
585-5					t oː
625-5					l i n i o
1186-5					d i n o
814-5					w a r i
416-5					k a
1233-5					w i n i o
884-5					w i r i o
916-5					i oː
1016-5					a n i m a l
952-5					a
78-5					a u u i
1079-5					u
116-5					a u i
188-5					a a a u u u i
745-5					a a t u i
47-5					a a i m i
111-5					l a k o
1061-5					m o d t a
630-5					a n u u o
1155-5					k u d i o
24-5					n u u i
232-5					n u n i
343-5					w i i
