COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ɾ l̪ d o ŋ						
514-1	m i k						
464-1	n̪ ɑ						
1020-1	x n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɑ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɑ						
1089-1	l ɜ q ɪ l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɑ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	n̪ i ŋ						
269-1	g r̪ ɜ q						
1512-1	tɕ i n̪						
555-1	t̪ k ɑ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	b r̪ ɜ x m ɜ						
1106-1	b u t̪						
693-1	h ɜ t̪ o ɾ ɑ						
221-1	s̪ t̪ ɜ r̪ ɑ						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m ɪ k					
464-2		x n̪ ɑ					
1020-2		x n̪ ɜ m s̪ ʊ l					
1355-2		s̪ o					
1464-2		l̪ tɕʰ e					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p r̪ ɜ q p ɜ					
1089-2		l ɜ q d ɪ l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ ȵ i ŋ					
269-2		dʑ ɜ q					
1512-2		l̪ tɕ ɪ n̪					
555-2		k ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		b ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ t̪ o r̪ ɑ					
221-2		s̪ t̪ ɜ r̪ e					
709-3			g o o				
522-3			ɜ ɣ g d o ŋ				
514-3			m ɪ k				
464-3			s̪ ȵʲ ɑ				
1020-3			x n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b r̪ ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			b r̪ ɜ q p ɜ				
1089-3			l ɜ q ɪ l				
804-3			k ɑ̃ m ɜ				
1263-3			b ɜ x s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			ɕ ȵ ɪ ŋ				
269-3			g r̪ ɜ q				
1512-3			x tɕ ɪ n̪				
555-3			β g ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			pʰ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ t̪ o m ɑ				
221-3			s̪ t̪ ɜ r̪ e				
709-4				g o o			
522-4				o ɾ d o ŋ			
514-4				m ɪ k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪ ʊ l			
1355-4				s̪ o			
1464-4				l̪ tɕ ɛ			
302-4				b l ɜ ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				p l ɜ q p ɜ			
1089-4				l ɜ q p ɪ l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ x s̪ p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ ȵ i ŋ			
269-4				ʑ ɜ q			
1512-4				l̪ tɕ ɪ n̪			
555-4				g ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ t̪ o r̪ ɑ			
221-4				s̪ t̪ ɑ r̪ e			
709-5					g o o		
522-5					o ɣ d o ŋ		
514-5					m i k		
464-5					n̪ ɑ		
1020-5					n̥ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ e		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ β̞ ɑ		
205-5					p l ɜ q p ɜ		
1089-5					l ɜ q d ɪ l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɑ		
286-5					ɾ u s̪ p ɜ		
717-5					n̥ i ŋ		
269-5					ʑ ɜ q		
1512-5					l̪ tɕ i n̪		
555-5					g ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					pʰ l ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ t̪ o r̪ ɑ		
221-5					s̪ t̪ ɜ r̪ e		
709-6						g o o	
522-6						o ɣ d o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɜ	
1020-6						s̪ n̪ ɜ m s̪ ʊ l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ β̞ ɑ	
205-6						b l ɜ q p ɜ	
1089-6						l ɜ q t̪ ɪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ k s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ ȵ i ŋ	
269-6						ʑ ɜ q	
1512-6						l̪ tɕ i n̪	
555-6						g ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						pʰ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ t̪ o ɾ ɑ	
221-6						s̪ t̪ ɜ r̪ e	
709-7							g o o
522-7							ɾ d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɑ m s̪ u l
1355-7							s̪ o
1464-7							l̪ tɕ ɑ
302-7							b r̪ ɑ ŋ
237-7							l̪ t̪ β̞ ɑ
205-7							pʰ r̪ ɑ q p ɜ
1089-7							l ɜ q d ɪ l
804-7							k ɑ ŋ m ɜ
1263-7							b ɜ x s̪ p ɜ
286-7							ɾ u s̪ p ɜ
717-7							s̪ n̪ i ŋ
269-7							g ɜ q
1512-7							tɕ i n̪
555-7							g ɜ k p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							pʰ ɑ m ɑ
1106-7							pʰ u g
693-7							ɜ t̪ʰ o ɾ̥ ɑ
221-7							s̪ t̪ ɑ r̪ ɑ
