COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ɾ l̪ d o ŋ						
514-1	m i k						
464-1	ȵʲ ɑ						
1020-1	n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɑ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɑ						
1089-1	l ɜ q ɪ l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɑ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	ȵ̊ i ŋ						
269-1	g r̪ ɜ q						
1512-1	tɕ i n̪						
555-1	k ɑ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	b ɜ x m ɑ						
1106-1	b u						
693-1	h ɜ t̪ o ɾ ɑ						
221-1	s̪ t̪ ɜ r̪ ɑ						
1199-1	t̪ʰ ɑ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l o t̪						
1273-1	n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	tɕ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	s̪ ɪ l						
820-1	l o k						
1636-1	ɾ j u ŋ						
1331-1	ɾ d β̞ ɑ						
1097-1	l ɜ m						
1223-1	bʲ ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ u t̪ p ɑ						
669-1	s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m b ɑ						
626-1	m i n̪ d o q						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	b r̪ ɛ s̪						
1119-1	ɑ l u						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m ɪ k					
464-2		s̪ ȵʲ ɑ					
1020-2		s̪ n̪ ɜ m s̪ ʊ l					
1355-2		s̪ o					
1464-2		l̪ tɕʰ ɜ					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		b ɜ p ɑ					
1089-2		l ɜ q d ɪ l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ ȵ i ŋ					
269-2		dʑ ɜ q					
1512-2		l̪ tɕ ɪ n̪					
555-2		k ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		b ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ t̪ o r̪ ɑ					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɑ q p ɑ					
1424-2		s̪ k u t̪ p ɑ					
904-2		l o t̪					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕ ɜ r̪ p ɑ					
1529-2		tɕ u					
1175-2		ɾ gʲ ɜ m tθ o					
383-2		s̪ ɪ l					
820-2		l o k					
1636-2		u ŋ					
1331-2		ʊ ɾ d β̞ ɑ					
1097-2		l ɜ m					
1223-2		bʲ ɜ ŋ ɑ					
592-2		m ɜ					
1290-2		tɕ u t̪ p ɑ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɜ x ʑ i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m ĩ n̪ d o q					
844-2		ɑ m					
879-2		tɕ ɑ					
1151-2		b ɜ s̪					
1119-2		ɑ l u					
709-3			g o o				
522-3			ɜ ɣ g d o ŋ				
514-3			m ɪ k				
464-3			s̪ ȵʲ ɑ				
1020-3			s̪ n̪ ɜ x s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ ɑ				
302-3			b r̪ ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			pʰ r̪ ɜ q p ɜ				
1089-3			l ɜ q ɪ l				
804-3			k ɑ̃ m ɜ				
1263-3			b ɜ x s̪ p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			ɕ ȵ i ŋ				
269-3			g r̪ ɜ q				
1512-3			ɕ tɕ ɪ n̪				
555-3			β gʲ ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			pʰ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ t̪ o m ɑ				
221-3			s̪ t̪ ɜ r̪ e				
1199-3			t̪ʰ ɜ q p ɑ				
1424-3			s̪ k u t̪ p ɜ				
904-3			l̪ o t̪				
1273-3			s̪ n̪ ɜ m				
1323-3			s̪ k ɜ r̪ m ɜ				
1127-3			tɕʰ ɜ ɕ ɜ				
1529-3			tɕ u				
1175-3			ɾ gʲ ɜ m d o				
383-3			s̪ ɪ l				
820-3			l o k				
1636-3			r̪ u ŋ				
1331-3			u ɾ β̞ ɑ				
1097-3			l ɜ m				
1223-3			bʲ ɜ ŋ ɑ				
592-3			m e				
1290-3			t̪ u t̪ p ɜ				
669-3			s̪ ɛ ɾ				
1472-3			s̪ t̪ ɑ k m i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɜ n̪ d o q				
844-3			ɑ m				
879-3			tɕ ɑ				
1151-3			b r̪ ɜ s̪				
1119-3			ɑ l u				
709-4				g o o			
522-4				o ɾ d o ŋ			
514-4				m ɪ k			
464-4				s̪ ȵʲ ɑ			
1020-4				s̪ n̪ ɜ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ ɑ			
302-4				p r̪ ɜ ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				p r̪ ɜ q p ɜ			
1089-4				l ɜ q d ɪ l			
804-4				g ɑ̃ ŋ m ɜ			
1263-4				b ɜ x s̪ p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ ȵ i ŋ			
269-4				ʑ ɜ q			
1512-4				l̪ tɕ i n̪			
555-4				g ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ t̪ o r̪ ɑ			
221-4				s̪ t̪ ɑ r̪ e			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ k u t̪ p ɜ			
904-4				l̪ o t̪			
1273-4				s̪ n̪ ɑ m			
1323-4				s̪ k ɜ r̪ m ɜ			
1127-4				tɕʰ ɑ r̪ ɸ ɑ			
1529-4				tɕ u			
1175-4				ɾ gʲ ɜ m o			
383-4				s̪ ɪ l			
820-4				l o k			
1636-4				l u ŋ			
1331-4				ʊ ɾ β̞ ɑ			
1097-4				l ɜ m			
1223-4				bʲ ɜ ŋ ɑ			
592-4				m ɜ			
1290-4				d̪ u t̪ p ɜ			
669-4				s̪ ɛ ɾ			
1472-4				s̪ t̪ ɜ x ʑ i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m i n̪ d o q			
844-4				ɑ m			
879-4				tɕ ɑ			
1151-4				b r̪ ɜ s̪			
1119-4				ɑ l u			
709-5					g o o		
522-5					o ɣ d o ŋ		
514-5					m i k		
464-5					n̪ ɑ		
1020-5					n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ ɜ		
302-5					p r̪ ɜ ŋ		
237-5					l̪ t̪ ɑ		
205-5					p r̪ ɑ q p ɜ		
1089-5					l ɑ q d ɪ l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɑ		
286-5					ɾ u s̪ p ɜ		
717-5					ȵ̊ i ŋ		
269-5					ʑ ɜ q		
1512-5					l̪ tɕ i n̪		
555-5					β g ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					pʰ l ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ t̪ o r̪ ɑ		
221-5					s̪ t̪ ɜ r̪ ɜ		
1199-5					t̪ʰ ɑ q p ɜ		
1424-5					s̪ k u t̪ p ɜ		
904-5					l̪ tθʰ o t̪		
1273-5					n̪ ɜ m		
1323-5					s̪ k ɜ r̪ m ɜ		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					tɕ u		
1175-5					ɾ gʲ ɛ m o		
383-5					x s̪ ɪ l		
820-5					l o k		
1636-5					x r̪ u ŋ		
1331-5					ɑ ɾ d l ɑ		
1097-5					l ɜ m		
1223-5					bʲ ɜ ŋ ɑ		
592-5					m ɜ		
1290-5					d̪ u t̪ p ɜ		
669-5					x s̪ ɛ ɾ		
1472-5					s̪ t̪ ɑ x ʑ i		
788-5					l o ŋ ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɪ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b r̪ ɜ s̪		
1119-5					ɑ l u		
709-6						g o o	
522-6						o ɣ d o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɑ	
