COGID	Albanian	English	French	German	Latin
560-1	j ə v r				
438-1	g ə r				
1222-1	k i				
353-1	ʃ ə r r				
201-1	f j				
20-1	ʃ ə n d				
503-1	j ə				
957-1	j u				
728-1	l u				
244-1	n ə m r				
289-1	n a d o				
911-1	u u r				
724-1	u r u				
145-1	ʃ u				
992-1	m				
1181-1	k i n d				
741-1	j u				
1150-1	ʃ u r v i				
585-1	l a o				
814-1	j u r r				
916-1	l o				
1079-1	t ə v o				
630-1	r i				
343-1	j u a ə r				
560-2		m ɑ v			
438-2		s r			
1222-2		s t			
353-2		p o s t			
201-2		s au n d			
20-2		h au d			
503-2		p ʊ a			
957-2		p ɑ			
728-2		v ɑ s			
244-2		n ɪ d			
289-2		v ɑ s t			
911-2		w i r			
724-2		j r ai			
145-2		p ʊ			
992-2		v ɑ			
706-2		ai t			
106-2		p ʊ t			
741-2		p ʊ h			
421-2		k l o k			
227-2		p ʊ t			
920-2		h ɑ t			
1083-2		h ɑ r n			
1066-2		f o			
1125-2		s ɑ v			
1197-2		m ɑ t			
473-2		v ʊ v			
284-2		n ɪ r			
661-2		ai n			
701-2		p ʊ d			
315-2		p n			
1169-2		s i l			
1150-2		k au i			
982-2		s i p			
987-2		s o			
1055-2		s t a z n			
1130-2		s e g			
433-2		s i n			
625-2		s au n			
1186-2		p a n			
416-2		v ɑ			
1233-2		v ɑ n			
884-2		v ɑ m p			
1016-2		h s ɪ m ə t t			
952-2		h			
78-2		b l a s			
514-2		v r i n			
116-2		m t			
188-2		f u m			
745-2		p u v ə r			
1100-2		f u o ə d			
47-2		v ɑ ə t t			
111-2		s au h			
1061-2		m au n t			
24-2		n ɑ j d			
232-2		n au n			
671-2		θ i p t n			
560-3			g r t		
438-3			s r		
1222-3			ʒ		
353-3			p u s		
201-3			p u t		
20-3			p a e e		
503-3			p u ʒ n		
957-3			ɛ̃ n		
728-3			v ɔ n		
244-3			p ɥ s e		
289-3			n ɔ e		
911-3			r i		
724-3			g r		
145-3			i u		
992-3			m i		
1181-3			ʃ ɑ̃ d e		
706-3			v u		
106-3			p u r i		
741-3			p u ʃ e		
421-3			p l s		
227-3			p u e		
920-3			e k r		
1083-3			e k ɔ		
1066-3			v e		
1125-3			v ɑ̃ e		
1197-3			m i r e		
473-3			n e		
284-3			n r e		
661-3			y n		
701-3			r ɥ t r		
315-3			r i t t		
1169-3			s a t e		
1150-3			ɔ a n		
982-3			t ɛ		
987-3			t u e		
1055-3			s r s		
1130-3			s y ʒ		
433-3			k ɔ̃ t e		
585-3			l		
625-3			l ɛ n e		
1186-3			t ɑ̃ t e		
814-3			a r r		
416-3			ʃ ɔ		
1233-3			v ɔ̃ t e		
884-3			v ɛ r m e		
916-3			m e		
1016-3			ɛ̃ t e m i l e		
952-3			t		
514-3			s e s t		
1079-3			f r n e		
1100-3			p r a t		
47-3			v ɛ m ɑ̃ e		
111-3			l y k ø		
1061-3			m ɑ̃ t e		
1155-3			k k ɔ s e		
343-3			s u t ɛ r		
671-3			l a p		
560-4				g eː d	
438-4				k r	
1222-4				ʃ eː	
353-4				f a ʃ ə	
201-4				z a k	
20-4				f au t	
503-4				f au l	
957-4				ai eː	
728-4				l a s s	
244-4				z aː m ə n	
289-4				n ai s	
911-4				v ai s	
724-4				k r eː	
145-4				f r	
992-4				h s	
1181-4				h ai n	
706-4				ʃ s	
106-4				f au l	
421-4				f l au ə	
227-4				f ai s	
920-4				h ai r	
1083-4				h aː r n	
1066-4				f k	
1125-4				z eː n	
1197-4				m u n	
473-4				n aː b	
284-4				n ə b	
661-4				a eː	
701-4				f au t	
315-4				r a t	
1169-4				z aː l	
1150-4				ʃ a l	
982-4				ʃ aː	
987-4				z aː n	
1055-4				ʃ t aː r	
1130-4				ʃ eː n r	
433-4				z eː n	
585-4				z eː	
625-4				t eː n	
1186-4				iː r n ə	
814-4				k r	
416-4				h a s	
1233-4				g eː n d	
884-4				g eː r	
78-4				b l eː	
514-4				b ə uː n ə	
116-4				ai t	
188-4				f r ə	
745-4				f a l ə r	
1100-4				f r l s	
630-4				v s t	
1155-4				h au l l	
24-4				n ai s	
232-4				n ə n	
671-4				v ai s r ts	
560-5					s e m i
438-5					i r o
1222-5					m i i
353-5					p u s i iː
201-5					p k a u
20-5					k u l r i
503-5					p u l a
957-5					w eː
728-5					l uː r
244-5					n eː m i n
289-5					n nː t t
911-5					r a i aː
724-5					f t l a
145-5					s eː
992-5					k aː
1181-5					k ae n n
706-5					m o t
106-5					p u t i
741-5					p i d a
421-5					p l a r
227-5					p w aː
920-5					k au l m i n
1083-5					k a l n
1066-5					d eː
1125-5					t e n t
1197-5					m e r i
473-5					n eː w
284-5					n eː b u
661-5					k e
701-5					s eː t i
315-5					r e n t
1169-5					s e l t i
982-5					s e m i
987-5					s eː aː
1055-5					s t a r i
1130-5					s e l
433-5					s eː n t
585-5					s t
625-5					k e m u
1186-5					s eː n i
814-5					a r i n i
416-5					m a t
1233-5					w e n
884-5					w e r m i
916-5					k
1016-5					aː nː m e l
952-5					w n
78-5					b kː a t i
1079-5					k uː n
116-5					s eː i
188-5					p u l n
745-5					k u l e l
47-5					k m o m n
111-5					l uː w u
1061-5					m e n t e
630-5					m eː eː
1155-5					k u kʷ s
24-5					n e b t
232-5					n e n
343-5					k ae l f r eː n
