COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m a b a			
222-1	a b o			
208-1	a b u lː u u ɾ o			
962-1	a m o k o			
203-1	a m u k o			
138-1	s i l l o			
504-1	m a ŋ k			
662-1	ɓ uː ɗ e			
478-1	m oː ɗ e			
409-1	a m b a			
410-1	m u ɲ dʒ o			
256-1	ɓ b l e			
622-1	n ə ɲ dʒ o			
546-1	n ə ɲ dʒ o			
547-1	s u ɲ e			
847-1	n ə g ɪ n e			
95-1	b oː ɗ e			
105-1	b oː n e			
510-1	b oː ɗ e			
951-1	m b a k a			
1116-1	m b a			
149-1	ɓ uː ɗ e			
376-1	ɓ a l i			
815-1	k e t ɪ			
453-1	m u ɲ e			
67-1	m a ŋ			
47-1	m u k ʔ o			
869-1	m a ŋ k o			
57-1	k b			
303-1	m a ŋ k o			
443-1	k eː o k o			
884-1	m u ɲ k o			
166-1	m u ɲ dʒ o			
918-1	a b a ʔ a			
831-1	h o l e			
616-1	b eː o			
84-1	h o l e			
346-1	h o l ɲ e r o			
601-1	m i ɗ i			
177-1	k ʔ a			
341-1	k ʔ o k o			
1066-1	mʷ o n e			
318-1	mʷ o l e			
241-1	m b a			
556-1	h a n e			
191-1	ɓ uː ɗ e			
458-1	a ʔ a			
1-1	h a ŋ k o			
751-1	o l			
864-1	a ʔ o k o			
154-1	a m a n a			
278-1	a m i l o			
766-1	s u ɾ e			
251-1	a m b u d u ɾ o			
582-1	o ʔ o ɲ o			
6-1	a l i			
1106-1	n ə o ɪ n e			
473-1	mʷ i ɲ			
1111-1	h a ŋ u			
957-1	m a ŋ k o			
41-1	b eː			
24-1	ɓ eː			
25-1	mʷ ɔː o e			
879-1	a b a ʔ a			
837-1	m b a			
233-1	b i o i			
938-1	ɓ uː ŋ e			
369-1	a m b a			
946-1	ɓ a ŋ k o			
889-1	ɓ eː l e			
820-1	b oː o			
438-1	n ə g ɪ n e			
283-1	a a n k o			
52-1	d eː o e			
842-1	m e t ɪ n e			
110-1	mʷ i o			
165-1	m a			
1007-1	o l g ɪ n e			
1088-1	h o l e			
1087-1	o l g ɪ n e			
702-1	ɓ l a			
536-1	k ʔ o k o			
694-1	n ə g ɪ			
468-2		l a b a		
222-2		a b o b o		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g u r i		
138-2		ʃ i l i		
504-2		ɗ oː ʃ a		
662-2		h aː ʃ a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		h aː a e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d i		
95-2		b o ɗ i		
105-2		b o n i		
510-2		b o ʃ a		
951-2		m b a m a		
1116-2		m b a m a		
149-2		s aː s ʔ i		
376-2		h ʔ a i		
815-2		g o r a		
453-2		ɗ a ɗ e		
67-2		ɗ a ʃ e		
47-2		h o k o l o		
869-2		ɗ a l a		
57-2		k aː g u		
303-2		g a s ʔ i ɲ		
443-2		g aː r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ i		
616-2		b a n		
84-2		h o ʃ a l a		
346-2		h aː ʃ o l o		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f e n e e e n e		
318-2		f e ʃ a		
241-2		m a n a		
556-2		h aː n d u		
191-2		b i m i i l		
458-2		a s ʔ i s ʔ a		
1-2		h aː n a i		
751-2		r o		
864-2		a ʔ o o i		
154-2		a m a e n e		
278-2		a m i l o		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		o ʔ u l		
6-2		a l i		
1106-2		n g o		
473-2		i i e		
1111-2		h aː ʃ u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		θ oː r e		
879-2		a b a r a		
566-2		a f a f a		
742-2		a g u		
1044-2		ʃ i m b i l i		
13-2		h l m i m i		
720-2		aː s n l a		
837-2		m aː ʃ i		
233-2		s i a i i		
938-2		h ʔ u l a		
369-2		a r e		
946-2		a a n g a		
889-2		s ʔ l o		
820-2		a ʃ o r i		
405-2		b o r a		
134-2		s ʔ a i i		
1078-2		m i ɲ i		
429-2		b o l k o		
187-2		b o s o ʔ i		
438-2		n d e n e		
385-2		m o k o o		
283-2		m a n e		
390-2		a b a		
783-2		m a r a f e		
842-2		ɗ o a o o e		
110-2		k i i e e		
650-2		k ʔ o ʃ		
91-2		g ɛ l a		
668-2		w aː ʃ a		
777-2		g aː n i a		
728-2		s i ʃ i		
165-2		m a		
1007-2		o l g o l e		
1087-2		o l g o l e		
894-2		s oː ʔ u		
536-2		k ʔ a		
694-2		n d a		
468-3			a a b a	
222-3			a b a b a	
208-3			a b ʊ r b a	
962-3			a g ɔ r a	
203-3			a g u d i	
138-3			ʃ ʃ l l	
504-3			a ɔ ʃ a	
662-3			a ɗ d a	
478-3			g ɔ k ʔ ʔ	
409-3			a r g	
410-3			g u n d i	
256-3			a p ʔ a	
622-3			m u u	
546-3			m u u	
547-3			ʃ i f a	
847-3			a i d i i	
95-3			b ə ɗ i	
105-3			b ə n i	
510-3			b ə ʃ a	
951-3			m b a m a	
1116-3			m b a m a	
149-3			a u s ʔ i	
376-3			a ɗ l i	
815-3			g ɔ r a	
453-3			d u n a	
67-3			a ɗ ʃ a	
47-3			d ɔ k ɔ ʔ	
869-3			a ɗ a a	
57-3			k ʔ g a	
303-3			g ʔ s ʔ i	
443-3			g aː r a	
884-3			g u n d i	
166-3			g u n d u	
918-3			a b a r a	
831-3			h a h a	
616-3			b ə a	
84-3			h ɔ ʃ a l	
346-3			h ɔ h a l o	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f i n s i	
318-3			f i s i	
241-3			m a ʃ a	
556-3			h a n d u	
191-3			b ə ʔ b a	
458-3			a s ʔ i s ʔ i	
1-3			h a n s i	
751-3			r ɔ	
864-3			a ɗ g k ɲ	
154-3			a m a ɗ a	
278-3			a m i l u	
766-3			ʃ ɔ r a	
251-3			a g ʊ r u	
582-3			ɔ ʔ ɔ ŋ a	
6-3			a l i	
1106-3			ɔ g ɔ	
473-3			ʃ i ŋ	
1111-3			h a h a	
957-3			m a r a	
24-3			s i	
25-3			m a r a	
879-3			a b a r a	
566-3			a n a a a	
742-3			a g ɔ	
1044-3			ʃ i l b i	
13-3			a l h a m a	
720-3			a s ʔ i l a	
233-3			b i b ʔ i	
938-3			a u l a	
369-3			a r g	
889-3			a ɗ ʔ a	
405-3			b ə d a	
134-3			a ɗ a i l a	
1078-3			m ɛ h i	
429-3			b ɔ n k ʔ	
187-3			b u s ʔ ʔ	
385-3			m ɔ k ʔ ɔ o	
283-3			a n s ʔ a	
390-3			a b a	
783-3			m a r a	
52-3			d u ʃ	
842-3			a ɔ n ɔ ʔ o	
650-3			k ʔ ɔ k ʔ ɔ	
91-3			g aː l a s i	
668-3			a i l a	
777-3			g i n d i	
728-3			s i ʔ i	
165-3			m a	
1088-3			h ɔ s ʔ l	
702-3			a l a	
894-3			a s ʔ u	
536-3			k ʔ ɔ ʔ ʔ	
468-4				θ ə r a
222-4				a g o
208-4				a g u r a
962-4				a g o r a
203-4				a g u ɗ i
138-4				ʃ i l e
504-4				a f ʃ a
662-4				ɓ u θ e
478-4				g o ɗ e
409-4				a r e
410-4				g u n d u
256-4				ɓ u l e
622-4				n d u
546-4				n d u
547-4				ʃ e f a
847-4				n d n d u
95-4				b e ɗ i
105-4				b eː n i
510-4				b o ʃ a
951-4				m a r m a
1116-4				m b a
149-4				ɓ u l i
376-4				ɓ a l i
815-4				g o r a
453-4				a u n e
67-4				a f ʃ e
47-4				a o k o o
869-4				a f θ a
57-4				a aː g u
303-4				g a z i
443-4				g o r a
884-4				g u n d u
166-4				g u n d u
918-4				a g a r ʔ
831-4				h a ʃ e
616-4				b eː e
84-4				h o ʃ a
346-4				h u h u
601-4				s i l i
177-4				a ʔ a f a
341-4				a ʔ o l a
1066-4				f e n z i
318-4				f e
241-4				m aː ʃ a
556-4				h a n d u
191-4				ɓ ɛ l i
458-4				a z i l a
1-4				h a n a
751-4				r o
864-4				a f o n ɗ
154-4				a m a n ɗ i
278-4				a m i l
766-4				ʃ oː r a
251-4				a g o r
582-4				o l o k
6-4				a l i
1106-4				n g o
473-4				ɓ i l e
1111-4				h a l u
957-4				m a r e
41-4				b eː
566-4				a f a n n a
742-4				a g o
1044-4				ʃ i
13-4				a a h a
720-4				aː s e
837-4				m aː ʃ i
946-4				ɓ a
820-4				a ʃ o r
405-4				b eː
134-4				ɓ ɛ ɗ i i
1078-4				m u h i
429-4				b o r o
187-4				b u s i
438-4				n d n d u
385-4				m a k ʔ o
390-4				a f iː ɲ a
783-4				m u r a
52-4				θ oː ʃ i
110-4				a ʔ i l e
650-4				a ʔ o l
91-4				g ɛ l a
668-4				w aː s a
777-4				g i l i
728-4				h u l i
1007-4				g aː g o l
1088-4				h o ʃ a
1087-4				g aː g o l
702-4				a l a
894-4				a z i
694-4				n d a
