COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	a a b a			
222-1	a b o b a n e			
208-1	a b u r u			
962-1	a g o r a			
203-1	a g u d u			
138-1	s i l i			
504-1	ɗ e s i			
662-1	ɓ uː ɗ e			
478-1	g o ɲ e			
409-1	a r e			
410-1	g u ɲ e			
256-1	ɓ uː l o			
622-1	n d u			
546-1	n d u			
547-1	s ʔ o s i			
847-1	n n n d ɛ n e			
95-1	b ɪ mː b i			
105-1	b ɪ n b			
510-1	b o s e			
951-1	m b a e a r e			
1116-1	m b a			
149-1	ɓ u s i s i i			
376-1	ɓ a l i			
815-1	g o r e			
453-1	ɗ u ɲ e			
67-1	ɗ a s i			
47-1	ɗ o ɲ dʒ o			
869-1	ɗ e l o			
57-1	k o g u			
303-1	g a s ʔ i			
443-1	g o r e			
884-1	g u ɲ d			
166-1	g u ɲ e			
918-1	a b a r e			
831-1	h a s i			
616-1	b i			
84-1	h o s a l e			
346-1	h o l u			
601-1	s i g i			
177-1	k ʔ o k a			
341-1	k ʔ o l o			
468-2		θ aː b a		
222-2		a b o b o ʔ a		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g uː d i ʔ a		
138-2		ʃ i l l		
504-2		ɗ o ʃ a		
662-2		ɓ u d e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d u		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b r m a r e		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k o l e		
869-2		ɗ u l a		
57-2		k aː g u		
303-2		g a s ʔ i i		
443-2		g uː r a		
884-2		g uː n d u		
166-2		g u n d u		
918-2		a b a r e		
831-2		h aː ʃ i		
616-2		b eː e		
84-2		h o ʃ a l a		
346-2		h u h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
468-3			θ a b a	
222-3			a b a b a	
208-3			a b ʊ r b a	
962-3			a g o r a	
203-3			a g u d i	
138-3			ʃ i l l	
504-3			ɗ ɔ ʃ ɛ a	
662-3			p ʔ d d a	
478-3			g g d a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			n e d i g o	
95-3			b ə d a	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b ə m a r	
1116-3			m b ə m a	
149-3			p ʔ u ʔ i	
376-3			p ʔ i l i	
815-3			g ɔ r a	
453-3			d u ŋ a	
67-3			a ɗ a a	
47-3			d ɔ k ɔ l a	
869-3			d ʊu̯ l a	
57-3			k aː g u	
303-3			g ʔ s ʔ i i	
443-3			g ɛ r a	
884-3			g u n d i	
166-3			g u n d u	
918-3			a b ɛ r a	
831-3			h a n a	
616-3			b ʔ e	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h a	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
468-4				θ a b a
222-4				a b o b o
208-4				a b i r o ŋ u
962-4				a g o r a
203-4				a g uː θ i
138-4				ʃ i l e
504-4				a g ʃ a
662-4				ɓ ɪ nː e
478-4				g o ɗ e
409-4				a r e
410-4				g u n d u
256-4				ɓ ə l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n d n d ɪ l i
95-4				b ə ɗ i
105-4				b i n i
510-4				b o ʃ a
951-4				m b r m a
1116-4				m b o m a
149-4				ɓ u s i i
376-4				ɓ a l i
815-4				g o r a
453-4				a u ŋ e
67-4				a aː ʃ e
47-4				a o k o l e
869-4				a g θ a
57-4				a aː g u
303-4				g a s ʔ i a
443-4				g e r a
884-4				g u n d u
166-4				g u n d u
918-4				a b a r e
831-4				h a h i
616-4				b ɪ e
84-4				h o ʃ a l e
346-4				h u h u
601-4				s i g i
177-4				a ʔ a f a
341-4				a ʔ o l a
