COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	ɪ a b a			
222-1	a b o k o			
208-1	a b u d u			
962-1	a n tʃ ʔ ɛ r e			
203-1	a n tʃ ʔ ɛ r e			
138-1	s oː l ʔ			
504-1	ɗ e			
662-1	ɓ uː ɗ e			
478-1	m ŋ ɗ e			
409-1	a			
410-1	k ʔ i d e			
256-1	ɓ uː l e			
622-1	n d u d			
546-1	n d u d			
547-1	s a ŋ a			
847-1	n d ə d e			
95-1	b eː			
105-1	b eː ɲ i			
510-1	b oː s a			
951-1	m b a			
1116-1	m b a			
149-1	ɓ uː ʃ e			
376-1	ɓ uː l i			
815-1	k ʔ i a			
453-1	ɗ u ɲ			
67-1	ɗ e			
47-1	ɗ o k ʔ o e			
869-1	ɗ e			
57-1	k ʔ g u			
303-1	k ʔ i a			
443-1	k ʔ i a			
884-1	k ʔ i d e			
166-1	k ʔ i d e			
918-1	a b a			
831-1	h o s e			
616-1	b eː			
84-1	h o s a l e			
346-1	h o l o			
601-1	k i g i			
177-1	k ʔ a ʔ a			
341-1	k ʔ o k o			
1066-1	k ʔ i d e			
318-1	h o s a			
241-1	m b ɲ dʒ o			
556-1	h a n d u			
191-1	ɓ uː i e			
458-1	a n tʃ ʔ ɛ r e			
1-1	h a ŋ k o			
751-1	d oː ʃ i			
864-1	a ŋ o n			
154-1	a m a n e			
278-1	a m i l e			
766-1	s oː ʃ e			
251-1	a n tʃ ʔ ɛ r e			
582-1	ɪ ŋ o o			
6-1	a l i			
1106-1	n ŋ g			
473-1	ɪ i g e			
1111-1	h a l u			
957-1	m a ŋ e			
41-1	b eː			
24-1	m uː ɗ e			
25-1	h o g o			
879-1	a b a			
837-1	m b ɲ i			
233-1	b ʔ b t e			
938-1	ɓ uː g e			
369-1	a			
946-1	ɓ a ŋ k o			
889-1	ɓ uː g e			
820-1	b oː o e			
438-1	n d ə n e			
468-2		θ a b a		
222-2		a b o b o n a		
208-2		a b u r u		
962-2		a ʔ o r a		
203-2		a ʔ u		
138-2		ʃ i l i		
504-2		ɗ o ʃ a		
662-2		ɪ u d a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɪ ŋ l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ r a		
847-2		n ɛ d e		
95-2		b eː d i		
105-2		b i d i		
510-2		b o ʃ a		
951-2		m b r m a		
1116-2		m b u		
149-2		s ŋ s ʔ i		
376-2		ɪ ŋ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		ɗ o k o l e		
869-2		ɗ a l a		
57-2		k aː g u		
303-2		g a s a		
443-2		g aː r a		
884-2		g u n d i		
166-2		g u n d u		
918-2		a b a r e		
831-2		h aː s i		
616-2		b eː d		
84-2		h aː ʃ a		
346-2		h oː s o l i		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n e		
318-2		f ɛ ʃ a		
241-2		m aː s ʃ		
556-2		h aː n d u		
191-2		b i m b i		
458-2		a s ʔ i s i		
1-2		h aː s a		
751-2		r o		
864-2		a ŋ o n e		
154-2		a m a n s i		
278-2		a m i l o		
766-2		ʃ oː r a		
251-2		a ʔ a r u		
582-2		o ʔ u ŋ		
6-2		a l i		
1106-2		n ɛ o		
473-2		ɪ ŋ e		
1111-2		h aː l u		
957-2		m a r e		
41-2		b i ɲ		
24-2		s i		
25-2		θ a r e		
879-2		a b a r a		
566-2		a ɓ a		
742-2		a ɓ u		
1044-2		ʃ i m b i		
13-2		a l m a s i		
720-2		aː s e l a		
837-2		m aː s i		
233-2		ɪ ʔ a i		
938-2		ɪ ŋ u l a		
369-2		a r e		
946-2		ɪ a ŋ g o		
889-2		ɪ ŋ l o a		
820-2		a s o r i		
405-2		b eː d e		
134-2		ɪ ʔ a i i e		
1078-2		m i ʃ i		
429-2		b o ŋ o o		
187-2		b i s k ʔ e		
438-2		n d e n		
468-3			θ a	
222-3			a b a b a	
208-3			a b u r b u r	
962-3			a g o r a	
203-3			a g ɪ d a	
138-3			ʃ ʃ l l	
504-3			ɗ ɔ ʃ a	
662-3			ɓ u d a	
478-3			g aː ŋ a	
409-3			a r e	
410-3			g u n d u	
256-3			ɓ u l a	
622-3			m ə u	
546-3			m ə u	
547-3			ʃ ɛ f a	
847-3			m ɛ n d a	
95-3			b ə d i	
105-3			b ə n i	
510-3			b ə ʃ a	
951-3			m b ə m a	
1116-3			m b u m a	
149-3			ɓ u ʃ a	
376-3			ɓ u l i	
815-3			g ɔ r a	
453-3			ɗ u n s ʔ	
67-3			ɗ a ʃ a	
47-3			d ɔ k ɔ l a	
869-3			ɗ ɔ l a	
57-3			k ʔ g d	
303-3			g ʔ ʃ a i	
443-3			g aː r a	
884-3			g aː n d u	
166-3			g u n d u	
918-3			a b a r a	
831-3			h a h a	
616-3			b ə	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h ɔ l o	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s a	
318-3			f iː ʃ i	
241-3			m a n s	
556-3			h a n d u	
191-3			b u m b i	
458-3			a s ʔ i s ʔ i	
1-3			h a n s i	
751-3			r ɔ	
864-3			a k ʔ ŋ i	
154-3			a m a ɗ i	
278-3			a m i l u i	
766-3			ʃ ʔ r a	
251-3			a g ɪ r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l i	
1106-3			m ə	
473-3			ʃ i n s ʔ i	
1111-3			h a l u	
957-3			m a r e	
24-3			s i	
25-3			θ a r e	
879-3			a b a r a	
566-3			a w ʔ a a	
742-3			a g o	
1044-3			ʃ i m b i	
13-3			a l h a m a	
720-3			a s ʔ i a	
233-3			b u b i l i	
938-3			ɓ u l a	
369-3			a r e	
889-3			ɓ u l a	
405-3			b ə d a	
134-3			ɓ u d i	
1078-3			m u h i	
429-3			b ə	
187-3			b u s k ʔ	
468-4				θ a f a
222-4				a f o z a
208-4				a f u r a
962-4				a g o r a
203-4				a g u i a
138-4				ʃ i l e
504-4				a oː ʃ a
662-4				ɓ u d a
478-4				g o ɗ e
409-4				a r o
410-4				g u n d u
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ l a
847-4				n d n d ɛ i
95-4				b e ɗ i
105-4				b o n d
510-4				b o ʃ a
951-4				m a o m a
1116-4				m b o m a
149-4				ɓ u ɗ i i
376-4				ɓ eː l i
815-4				g o r a
453-4				ɗ u n e
67-4				ɗ ɛ ʃ e
47-4				a o k ʔ l e
869-4				a f iː a
57-4				k ʔ g u
303-4				g a z i i
443-4				g o r a
