COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	lː a b a			
222-1	a b o b o			
208-1	a b u r a n e			
962-1	a ŋ o r e			
203-1	a ŋ g d e			
138-1	s i l i			
504-1	ɗ e s a n e			
662-1	ɓ iː l e			
478-1	ɓ o l e			
409-1	a r e			
410-1	ɓ u ɲ dʒ o			
256-1	ɓ a l o			
622-1	n d u			
546-1	n d u			
547-1	s a ŋ a			
847-1	n ə n d ɛ			
95-1	b ɛ ɗ e			
105-1	b oː ʃ i			
510-1	b oː s a			
951-1	m b a m a			
1116-1	m b u			
149-1	ɓ u l dʒ o			
376-1	ɓ a l i			
815-1	k o r a			
453-1	ɗ u ɲ e			
67-1	ɗ e s e			
47-1	ɗ o k ʔ o u ɾ o			
869-1	ɗ e			
57-1	k ʔ eː u			
303-1	ɓ a ŋ g o			
443-1	ɓ iː l e			
884-1	ɓ uː ɗ e			
166-1	ɓ u ɲ dʒ o			
918-1	a b a r e			
831-1	h o s i			
616-1	b eː e i			
84-1	h o s a l e			
346-1	h o l u o			
601-1	s i ɓ i			
177-1	k ʔ a n e			
341-1	k ʔ o l e			
1066-1	ɪ ŋ g o			
318-1	d oː ʃ i			
241-1	m aː s i			
556-1	h a n d u ɾ e			
191-1	ɓ iː l o			
458-1	a s o i o			
1-1	h a ŋ k o			
751-1	a ŋ g i			
864-1	a ŋ o n e			
154-1	a m a n e			
278-1	a m i l o			
766-1	s u r e			
251-1	a ŋ g u d u			
582-1	d ŋ u ɲ e			
6-1	a l i			
1106-1	n ʔ o			
473-1	k ʔ i			
1111-1	h a ŋ u			
957-1	m a r e			
41-1	b i			
468-2		θ a b a		
222-2		a b o b o		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g u l i		
138-2		ʃ i l e		
504-2		ɗ o ʃ a		
662-2		ɓ u d e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ r a		
847-2		n ɛ d e g i		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b r m a		
1116-2		m b u m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k o l e		
869-2		ɗ u l a		
57-2		k aː g u		
303-2		g a s ʔ i i		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b u e		
84-2		h o ʃ a l a		
346-2		h u h o l e		
601-2		s i g i		
177-2		k ʔ a n a		
341-2		k ʔ o l a		
1066-2		a ɛ n e		
318-2		f ɛ ʃ a		
241-2		m aː ʃ e		
556-2		h a n d u		
191-2		ɓ i m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n e		
751-2		r o		
864-2		a ŋ o n e		
154-2		a m a n s i		
278-2		a m i l o		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		o ʔ u ŋ		
6-2		a l i		
1106-2		n g o		
473-2		ɪ ŋ e		
1111-2		h a l u		
957-2		m a r e		
