index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
1	0.1429	7	1.0000	1	1	h	∅	∅	∅	a	ɲ	g	H	∅	∅	∅	A	N	K	3	∅	∅	∅	7	4	1	2	h	∅	∅	∅	a	ɳ	dʒ	H	∅	∅	∅	A	N	T	3	∅	∅	∅	7	4	1	3	h	∅	∅	∅	a	n	dʒ	H	∅	∅	∅	A	N	T	3	∅	∅	∅	7	4	1	4	h	∅	∅	∅	a	ŋː	h	H	∅	∅	∅	A	N	H	3	∅	∅	∅	7	4	3
2	0.2857	6	0.8571	1	1	a	h	∅	∅	ɲ	g	ɪ	A	H	∅	∅	N	K	I	7	3	∅	∅	4	1	7	2	a	h	∅	∅	ɳ	dʒ	i	A	H	∅	∅	N	T	I	7	3	∅	∅	4	1	7	3	a	h	∅	∅	n	dʒ	i	A	H	∅	∅	N	T	I	7	3	∅	∅	4	1	7	4	a	h	∅	∅	ŋː	h	i	A	H	∅	∅	N	H	I	7	3	∅	∅	4	3	7
3	0.4286	5	0.7143	1	1	ɲ	a	h	∅	g	ɪ	r	N	A	H	∅	K	I	R	4	7	3	∅	1	7	5	2	ɳ	a	h	∅	dʒ	i	r	N	A	H	∅	T	I	R	4	7	3	∅	1	7	5	3	n	a	h	∅	dʒ	i	r	N	A	H	∅	T	I	R	4	7	3	∅	1	7	5	4	ŋː	a	h	∅	h	i	r	N	A	H	∅	H	I	R	4	7	3	∅	3	7	5
4	0.5714	4	0.5714	1	1	g	ɲ	a	h	ɪ	r	i	K	N	A	H	I	R	I	1	4	7	3	7	5	7	2	dʒ	ɳ	a	h	i	r	-	T	N	A	H	I	R	_	1	4	7	3	7	5	0	3	dʒ	n	a	h	i	r	-	T	N	A	H	I	R	_	1	4	7	3	7	5	0	4	h	ŋː	a	h	i	r	-	H	N	A	H	I	R	_	3	4	7	3	7	5	0
5	0.7143	3	0.4286	1	1	ɪ	g	ɲ	a	r	i	∅	I	K	N	A	R	I	∅	7	1	4	7	5	7	∅	2	i	dʒ	ɳ	a	r	-	∅	I	T	N	A	R	_	∅	7	1	4	7	5	0	∅	3	i	dʒ	n	a	r	-	∅	I	T	N	A	R	_	∅	7	1	4	7	5	0	∅	4	i	h	ŋː	a	r	-	∅	I	H	N	A	R	_	∅	7	3	4	7	5	0	∅
6	0.8571	2	0.2857	1	1	r	ɪ	g	ɲ	i	∅	∅	R	I	K	N	I	∅	∅	5	7	1	4	7	∅	∅	2	r	i	dʒ	ɳ	-	∅	∅	R	I	T	N	_	∅	∅	5	7	1	4	0	∅	∅	3	r	i	dʒ	n	-	∅	∅	R	I	T	N	_	∅	∅	5	7	1	4	0	∅	∅	4	r	i	h	ŋː	-	∅	∅	R	I	H	N	_	∅	∅	5	7	3	4	0	∅	∅
7	1.0000	1	0.1429	1	1	i	r	ɪ	g	∅	∅	∅	I	R	I	K	∅	∅	∅	7	5	7	1	∅	∅	∅	2	-	r	i	dʒ	∅	∅	∅	_	R	I	T	∅	∅	∅	0	5	7	1	∅	∅	∅	3	-	r	i	dʒ	∅	∅	∅	_	R	I	T	∅	∅	∅	0	5	7	1	∅	∅	∅	4	-	r	i	h	∅	∅	∅	_	R	I	H	∅	∅	∅	0	5	7	3	∅	∅	∅
1	0.3333	3	1.0000	6	5	a	∅	∅	∅	l	i	∅	A	∅	∅	∅	L	I	∅	7	∅	∅	∅	5	7	∅	6	a	∅	∅	∅	l	i	∅	A	∅	∅	∅	L	I	∅	7	∅	∅	∅	5	7	∅	7	a	∅	∅	∅	l	i	∅	A	∅	∅	∅	L	I	∅	7	∅	∅	∅	5	7	∅	8	a	∅	∅	∅	l	i	∅	A	∅	∅	∅	L	I	∅	7	∅	∅	∅	5	7	∅
2	0.6667	2	0.6667	6	5	l	a	∅	∅	i	∅	∅	L	A	∅	∅	I	∅	∅	5	7	∅	∅	7	∅	∅	6	l	a	∅	∅	i	∅	∅	L	A	∅	∅	I	∅	∅	5	7	∅	∅	7	∅	∅	7	l	a	∅	∅	i	∅	∅	L	A	∅	∅	I	∅	∅	5	7	∅	∅	7	∅	∅	8	l	a	∅	∅	i	∅	∅	L	A	∅	∅	I	∅	∅	5	7	∅	∅	7	∅	∅
3	1.0000	1	0.3333	6	5	i	l	a	∅	∅	∅	∅	I	L	A	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅	6	i	l	a	∅	∅	∅	∅	I	L	A	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅	7	i	l	a	∅	∅	∅	∅	I	L	A	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅	8	i	l	a	∅	∅	∅	∅	I	L	A	∅	∅	∅	∅	7	5	7	∅	∅	∅	∅
1	0.1429	7	1.0000	13																							9	a	∅	∅	∅	l	h	a	A	∅	∅	∅	L	H	A	7	∅	∅	∅	5	3	7	10	-	∅	∅	∅	-	h	a	_	∅	∅	∅	_	H	A	0	∅	∅	∅	0	3	7	11	a	∅	∅	∅	l	h	a	A	∅	∅	∅	L	H	A	7	∅	∅	∅	5	3	7
2	0.2857	6	0.8571	13																							9	l	a	∅	∅	h	a	m	L	A	∅	∅	H	A	M	5	7	∅	∅	3	7	4	10	-	-	∅	∅	h	a	m	_	_	∅	∅	H	A	M	0	0	∅	∅	3	7	4	11	l	a	∅	∅	h	a	m	L	A	∅	∅	H	A	M	5	7	∅	∅	3	7	4
3	0.4286	5	0.7143	13																							9	h	l	a	∅	a	m	i	H	L	A	∅	A	M	I	3	5	7	∅	7	4	7	10	h	-	-	∅	a	m	i	H	_	_	∅	A	M	I	3	0	0	∅	7	4	7	11	h	l	a	∅	a	m	i	H	L	A	∅	A	M	I	3	5	7	∅	7	4	7
