index	index_p	rindex	rindex_p	cogid	id_BelejeGonfoye	segment_BelejeGonfoye	segment_BelejeGonfoye_L1	segment_BelejeGonfoye_L2	segment_BelejeGonfoye_L3	segment_BelejeGonfoye_R1	segment_BelejeGonfoye_R2	segment_BelejeGonfoye_R3	SC_BelejeGonfoye	SC_BelejeGonfoye_L1	SC_BelejeGonfoye_L2	SC_BelejeGonfoye_L3	SC_BelejeGonfoye_R1	SC_BelejeGonfoye_R2	SC_BelejeGonfoye_R3	PROSODY_BelejeGonfoye	PROSODY_BelejeGonfoye_L1	PROSODY_BelejeGonfoye_L2	PROSODY_BelejeGonfoye_L3	PROSODY_BelejeGonfoye_R1	PROSODY_BelejeGonfoye_R2	PROSODY_BelejeGonfoye_R3	id_Fadashi	segment_Fadashi	segment_Fadashi_L1	segment_Fadashi_L2	segment_Fadashi_L3	segment_Fadashi_R1	segment_Fadashi_R2	segment_Fadashi_R3	SC_Fadashi	SC_Fadashi_L1	SC_Fadashi_L2	SC_Fadashi_L3	SC_Fadashi_R1	SC_Fadashi_R2	SC_Fadashi_R3	PROSODY_Fadashi	PROSODY_Fadashi_L1	PROSODY_Fadashi_L2	PROSODY_Fadashi_L3	PROSODY_Fadashi_R1	PROSODY_Fadashi_R2	PROSODY_Fadashi_R3	id_Maiyu	segment_Maiyu	segment_Maiyu_L1	segment_Maiyu_L2	segment_Maiyu_L3	segment_Maiyu_R1	segment_Maiyu_R2	segment_Maiyu_R3	SC_Maiyu	SC_Maiyu_L1	SC_Maiyu_L2	SC_Maiyu_L3	SC_Maiyu_R1	SC_Maiyu_R2	SC_Maiyu_R3	PROSODY_Maiyu	PROSODY_Maiyu_L1	PROSODY_Maiyu_L2	PROSODY_Maiyu_L3	PROSODY_Maiyu_R1	PROSODY_Maiyu_R2	PROSODY_Maiyu_R3	id_Undulu	segment_Undulu	segment_Undulu_L1	segment_Undulu_L2	segment_Undulu_L3	segment_Undulu_R1	segment_Undulu_R2	segment_Undulu_R3	SC_Undulu	SC_Undulu_L1	SC_Undulu_L2	SC_Undulu_L3	SC_Undulu_R1	SC_Undulu_R2	SC_Undulu_R3	PROSODY_Undulu	PROSODY_Undulu_L1	PROSODY_Undulu_L2	PROSODY_Undulu_L3	PROSODY_Undulu_R1	PROSODY_Undulu_R2	PROSODY_Undulu_R3
1	0.3333	3	1.0000	20																							1	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅	2	f	∅	∅	∅	i	ʃ	∅	B	∅	∅	∅	I	S	∅	3	∅	∅	∅	7	3	∅																						
2	0.6667	2	0.6667	20																							1	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅	2	i	f	∅	∅	ʃ	∅	∅	I	B	∅	∅	S	∅	∅	7	3	∅	∅	3	∅	∅																						
3	1.0000	1	0.3333	20																							1	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅	2	ʃ	i	f	∅	∅	∅	∅	S	I	B	∅	∅	∅	∅	3	7	3	∅	∅	∅	∅																						
1	0.1667	6	1.0000	64																							3	k	∅	∅	∅	ʔ	a	s	K	∅	∅	∅	H	A	S	1	∅	∅	∅	1	7	3	4	k	∅	∅	∅	ʔ	ə	s	K	∅	∅	∅	H	E	S	1	∅	∅	∅	1	7	3																						
2	0.3333	5	0.8333	64																							3	ʔ	k	∅	∅	a	s	ʔ	H	K	∅	∅	A	S	H	1	1	∅	∅	7	3	1	4	ʔ	k	∅	∅	ə	s	ʔ	H	K	∅	∅	E	S	H	1	1	∅	∅	7	3	1																						
3	0.5000	4	0.6667	64																							3	a	ʔ	k	∅	s	ʔ	i	A	H	K	∅	S	H	I	7	1	1	∅	3	1	7	4	ə	ʔ	k	∅	s	ʔ	i	E	H	K	∅	S	H	I	7	1	1	∅	3	1	7																						
4	0.6667	3	0.5000	64																							3	s	a	ʔ	k	ʔ	i	∅	S	A	H	K	H	I	∅	3	7	1	1	1	7	∅	4	s	ə	ʔ	k	ʔ	i	∅	S	E	H	K	H	I	∅	3	7	1	1	1	7	∅																						
5	0.8333	2	0.3333	64																							3	ʔ	s	a	ʔ	i	∅	∅	H	S	A	H	I	∅	∅	1	3	7	1	7	∅	∅	4	ʔ	s	ə	ʔ	i	∅	∅	H	S	E	H	I	∅	∅	1	3	7	1	7	∅	∅																						
6	1.0000	1	0.1667	64																							3	i	ʔ	s	a	∅	∅	∅	I	H	S	A	∅	∅	∅	7	1	3	7	∅	∅	∅	4	i	ʔ	s	ə	∅	∅	∅	I	H	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																						
1	0.2500	4	1.0000	80																							5	d	∅	∅	∅	iː	d	e	T	∅	∅	∅	I	T	E	1	∅	∅	∅	7	1	7	6	d	∅	∅	∅	i	ɗ	i	T	∅	∅	∅	I	T	I	1	∅	∅	∅	7	1	7																						
2	0.5000	3	0.7500	80																							5	iː	d	∅	∅	d	e	∅	I	T	∅	∅	T	E	∅	7	1	∅	∅	1	7	∅	6	i	d	∅	∅	ɗ	i	∅	I	T	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	80																							5	d	iː	d	∅	e	∅	∅	T	I	T	∅	E	∅	∅	1	7	1	∅	7	∅	∅	6	ɗ	i	d	∅	i	∅	∅	T	I	T	∅	I	∅	∅	1	7	1	∅	7	∅	∅																						
4	1.0000	1	0.2500	80																							5	e	d	iː	d	∅	∅	∅	E	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅	6	i	ɗ	i	d	∅	∅	∅	I	T	I	T	∅	∅	∅	7	1	7	1	∅	∅	∅																						
1	0.1667	6	1.0000	100	7	o	∅	∅	∅	l	g	ɪ	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7	8	o	∅	∅	∅	l	g	i	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7	9	ɔ	∅	∅	∅	l	g	ɪ	U	∅	∅	∅	L	K	I	7	∅	∅	∅	5	1	7																						
2	0.3333	5	0.8333	100	7	l	o	∅	∅	g	ɪ	n	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4	8	l	o	∅	∅	g	i	ŋ	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4	9	l	ɔ	∅	∅	g	ɪ	ɲ	L	U	∅	∅	K	I	N	5	7	∅	∅	1	7	4																						
