COGID	Albanian	English	French	German	Latin
560-1	d ə m u				
438-1	f ə u i				
1222-1	d e				
353-1	p e ʃ a i				
201-1	d u n ə				
20-1	l j n u				
503-1	p ł ł n				
957-1	d n				
728-1	l ł y ð				
244-1	n e m r				
289-1	n j e o				
911-1	d u ə j ə				
724-1	d t u j				
145-1	d u t				
992-1	u ł				
1181-1	k ə n o				
741-1	p y k o				
1150-1	c f j				
585-1	t y ə				
814-1	d ə e t				
916-1	d o				
1079-1	d e f u				
630-1	r n ð u θ j t				
343-1	j ə t ə				
560-2		v ɑ t			
438-2		w r s			
1222-2		j v ɑ			
353-2		f s h			
201-2		f i n s			
20-2		h ɛ d			
503-2		p u i l o			
957-2		h n			
728-2		s ə ŋ			
244-2		s i d			
289-2		g h d			
911-2		w ɛ s d l			
724-2		θ r ai t			
145-2		j w ai			
992-2		w i			
706-2		ai n			
106-2		p i d r r			
741-2		p h ɛ			
421-2		b ʃ i m			
227-2		f ʊ			
920-2		h ɛ r ə			
1083-2		h ɑ ɪ n o			
1066-2		j ɑ			
1125-2		θ ɪ n			
1197-2		m ə d r r			
473-2		g ai v ɑ s			
284-2		ð au s			
661-2		h n			
701-2		r ai d			
315-2		r a n			
1169-2		s i l o			
1150-2		k a i d			
982-2		s ɪ i			
987-2		s m j			
1055-2		s t ɪ r i			
1130-2		s e ʃ			
433-2		s i n d			
625-2		h ɪ n			
1186-2		j i n			
416-2		w ɑ ɛ			
1233-2		v ɪ n			
884-2		v i i d			
1016-2		ɛ m ɑ s t			
952-2		v			
78-2		b l au s			
514-2		b j i n			
116-2		ai t			
188-2		f ɛ r n			
745-2		f i n r r			
1100-2		f r i s d			
47-2		v m			
111-2		h ɛ h			
1061-2		m ə n			
24-2		n ɪ n d			
232-2		n			
671-2		r ɛ s d			
560-3			v ɔ s i		
438-3			p i		
1222-3			w v		
353-3			p u s s		
201-3			p ɑ̃ v s		
20-3			p ɑ̃ t r		
503-3			p u r t		
957-3			ɛ̃ d		
728-3			s ə f a		
244-3			ʒ m s		
289-3			n ɥ t t		
911-3			p i i		
724-3			t r ɛ o		
145-3			f ɥ ɪi		
992-3			ʃ ɪi		
1181-3			ʃ ɑ̃ t		
706-3			n k		
106-3			p u a		
741-3			p ø ʃ ɑ̃		
421-3			f m p r		
227-3			p u		
920-3			ʃ o r		
1083-3			ʃ o ɑ̃ n ɥ		
1066-3			w g		
1125-3			ʒ ə n		
1197-3			m e ɛ		
473-3			n ɥ v		
284-3			ʒ ɛ s		
661-3			y v		
701-3			k ɥ a r		
315-3			v t k ɛ̃		
1169-3			s o n		
1150-3			s ʃ u t		
982-3			s i		
987-3			s		
1055-3			s ø		
1130-3			s ɥ ʒ i		
433-3			s u l		
585-3			f y v		
625-3			ʒ o p		
1186-3			ʒ ə t e		
814-3			v r t t		
416-3			v i		
1233-3			v ɑ̃ t ɛ t		
884-3			v r r s e		
916-3			t		
1016-3			ɛ̃ t ɛ m ɛ l		
952-3			a		
514-3			u ɑ̃ s e		
1079-3			f ʒ o r		
1100-3			p f p u i		
47-3			ʃ ɔ t m u		
111-3			l a k		
1061-3			m ɔ t s		
1155-3			ʃ o l s		
343-3			v i t t r		
671-3			r o i i		
560-4				h a l	
438-4				v r z eː	
1222-4				v m	
353-4				f ʃ h au	
201-4				f aː g s	
20-4				h au ə l	
503-4				f au aː t b	
957-4				yː n	
728-4				z a l	
244-4				m m m ə n	
289-4				m ʃ t	
911-4				u l l h	
724-4				d yː t	
145-4				h oː s	
992-4				h au	
1181-4				h au n l b	
706-4				ai h au	
106-4				f au l d r	
421-4				f l au l r	
227-4				f au t	
920-4				h a l t	
1083-4				h au y n b	
1066-4				g g	
1125-4				g y m au	
1197-4				m a l d r	
473-4				f au m i z	
284-4				m r	
661-4				v a n	
701-4				f aː g	
315-4				g au n d	
1169-4				z a l t	
1150-4				ʃ au ai ʃ t	
982-4				z i t	
987-4				z aː z	
1055-4				ʃ t r	
1130-4				z uː k	
433-4				z eː l d au	
585-4				t oː	
625-4				z ə n	
1186-4				h y n	
814-4				z l aː t ʃ t	
416-4				v a s	
1233-4				v y n d	
884-4				v l l m	
78-4				b l iː	
514-4				g d y n	
116-4				ai t	
188-4				f a r h au	
745-4				f aː n d r	
1100-4				f l oː t	
630-4				u oː ʃ t d	
1155-4				h au l	
24-4				z ai s	
232-4				n ə h	
671-4				r ai g	
560-5					w oː m n oː
438-5					f r m w i
1222-5					p l i
353-5					p m k i
201-5					p œ m u eː
20-5					k b o e eː
503-5					p l t n
957-5					k a u
728-5					s t f r
244-5					n m m i n
289-5					n u w m i
911-5					f au k t
724-5					t e k w i
145-5					f uː ð i
992-5					k au u
1181-5					k w uː oː r
706-5					o l i
106-5					p u m r e i
741-5					p au k aː
421-5					f nː p r r i
227-5					p u i
920-5					k o r a n
1083-5					k o e n u i
1066-5					o e t
1125-5					t e m oː
1197-5					m e m r e i
473-5					n oː l aː o
284-5					n u s eː
661-5					aː n n u
701-5					a oː p i i
315-5					r e n u u i
1169-5					s eː s i
982-5					s e w i
987-5					s b u i
1055-5					e i g n
1130-5					s u t i
433-5					s eː l u n i
585-5					f uː r
625-5					o a au u
1186-5					k uː n u i
814-5					w r t o e o
416-5					k au d
1233-5					w e n u u i
884-5					w e s m i i
916-5					aː
1016-5					a n u m a l u
952-5					a
78-5					a s r s eː
1079-5					b oː w r
116-5					e i
188-5					p gʷ r n
745-5					p gʷ t r e u i
47-5					uː m e m e n u
111-5					l g k u
1061-5					m e l n u
630-5					f w u s o
1155-5					k oː t s eː
24-5					n u t i
232-5					n u n
343-5					w w l o e eː
