COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ i l a							
125-1	b i j a ŋ ɾ a							
162-1	l e i s i							
171-1	s o m l a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m a t i							
363-1	n a m u							
397-1	g a m tʃ i							
406-1	kʰ a m u ŋ							
426-1	m u k p a							
473-1	b i n k a ŋ							
499-1	s a m a n							
526-1	g a s o a							
544-1	kʰ u							
553-1	g o t a ŋ							
599-1	g o i l a m							
608-1	b a n tʃ o							
617-1	j a n							
645-1	a n a							
663-1	s o ŋ o u r							
672-1	t o ŋ p a							
681-1	n i ɾ i							
690-1	m i ŋ							
708-1	tʃ a ɾ i ŋ b u							
717-1	tʃ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p a s i							
881-1	l a m							
890-1	ɾ a m a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	a g a ɾ a ŋ							
980-1	g a ɾ o ŋ							
998-1	pʰ a i							
1022-1	kʰ a t u r							
1031-1	b i n a ŋ u l a							
1069-1	tʃ o n a ŋ a a							
1079-1	ʃ i ŋ k a ŋ a							
1098-1	j a ŋ p u a							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u							
1208-1	kʰ a l a a							
1217-1	l a n i ŋ u							
1253-1	a m a							
1271-1	n o n a ŋ							
1289-1	m i n							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ o a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a m u ŋ							
1388-1	m a n a							
1397-1	t u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a r a a							
1433-1	kʰ u m u							
1442-1	l a m							
1451-1	b a l a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u j a ŋ m a							
1529-1	kʰ a l u							
1538-1	s o l o							
1557-1	tʃ o i l u ŋ							
1618-1	i n tʃ a							
1663-1	s u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m u							
1742-1	m u m u							
1751-1	b u ɾ i l a							
1778-1	s a							
1787-1	t u r p u							
1823-1	l e m							
1832-1	g a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	s u ŋ tʃ a ŋ							
1888-1	s a m p i							
1897-1	s o e							
1932-1	ɾ i n a ŋ s o ŋ l a							
1950-1	s u							
1968-1	t o ŋ p a a							
1978-1	kʰ u t p a							
1987-1	s a m							
2015-1	ŋ a m k a a							
2118-1	m u ŋ i k o l a							
2238-1	ŋ a r k a							
2507-1	t i n u ŋ							
2526-1	l e m							
2535-1	s o a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a t u r							
2578-1	n i tʃ i ŋ							
2596-1	d̪ u ŋ							
2615-1	ɾ i							
2663-1	g i t i k							
2690-1	s i k o							
2719-1	ɾ i m i							
2728-1	kʰ o tʃ u ŋ							
2747-1	n i ŋ a							
2756-1	s e r l u							
2774-1	b o n i ŋ							
19-1	n a i i b a							
28-1	n a i i b a							
89-1	g a ŋ p u							
107-1	b i m i							
190-1	b u tʃ i							
229-1	kʰ a							
257-1	s a ŋ a							
338-1	b r u ŋ							
436-1	kʰ u l u							
483-1	n a							
535-1	s o s o							
571-1	g e l e a i							
699-1	tʃ o ŋ p a							
845-1	ɾ o k							
971-1	tʃ i k p u							
1049-1	b u							
1161-1	a m							
1180-1	s o a							
1226-1	l a n i ŋ							
1235-1	n a m n a ŋ							
1280-1	d̪ i ŋ tʃ a							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	kʰ a n a i							
1725-1	tʃ a ŋ tʃ e							
2127-1	s a m a							
2181-1	ʃ i k l o							
2366-1	kʰ o j a k p a							
2672-1	g a g a							
2681-1	kʰ a l a ŋ u							
55-1	tʃ a ɾ i k a							
80-1	t u ŋ m a							
116-1	kʰ u l u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b e a ŋ r a						
162-2		l e i ʃ i						
171-2		g o m ʃ a						
219-2		tʃʰ a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a i						
363-2		n a m b u						
397-2		g a m tʃ i						
406-2		kʰ a u						
426-2		m u k p a						
473-2		b i n a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		g o tʰ a ŋ						
599-2		g o i tʃ a m						
608-2		b a n tʃ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u						
672-2		t o ŋ p a						
681-2		ɲ i r i						
690-2		b i ŋ						
708-2		tʃʰ a ŋ ɾ i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a b a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p u ʃ i						
881-2		l a m						
890-2		ɾ a w a						
899-2		s e r						
926-2		tʃʰ a						
944-2		g a ɾ a ŋ						
953-2		ʃ a r a ŋ						
980-2		n a r u ŋ						
998-2		pʰ a i						
1022-2		g tʃʰ a tʰ u r						
1031-2		b i n a ŋ kʰ u a						
1069-2		tʃ o ŋ a ŋ a						
1079-2		ʃ a l a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		ɾ i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		z a l a						
1217-2		l a ŋ i						
1253-2		a m a						
1271-2		n o w a ŋ						
1289-2		b i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ b a						
1343-2		b i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a g u						
1388-2		m a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a a r						
1433-2		ʃ u g u						
1442-2		l a m						
1451-2		b i a m						
1468-2		pʰ a k p a						
1477-2		ŋ a ŋ						
1502-2		ŋ a m tʃʰ u						
1511-2		m u j a ŋ b a						
1529-2		tʃʰ a l u						
1538-2		s u l u						
1557-2		tʃ o i tʃ u ŋ						
1618-2		i ŋ tʃ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		kʰ u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ a m						
1742-2		m u g i						
1751-2		b u i l a						
1778-2		s a						
1787-2		tʃʰ u ŋ p u						
1823-2		l e m						
1832-2		k a r m a						
1842-2		l u ŋ						
1860-2		ŋ a m						
1869-2		ʃ u ŋ t a ŋ						
1888-2		ʃ a m b i						
1897-2		s e						
1932-2		ɾ i n a ŋ o ŋ a a						
1950-2		tʃʰ u						
