COGID	Albanian	English	French	German	Latin
560-1	ʃ ə				
438-1	p ə r				
1222-1					
353-1	p ə t				
201-1	p ə				
20-1	k ə				
503-1	p e				
957-1	n				
728-1	l i				
244-1	n ə m				
289-1	n a				
911-1	p a r				
724-1	t ə u				
145-1	d				
992-1	p				
1181-1	k ə n				
741-1	p ə				
560-2		w ɑ t			
438-2		w r			
1222-2		w t			
353-2		f ɑ s			
201-2		s ɑ n			
20-2		h ɛ			
503-2		f l			
957-2		t			
728-2		l au n			
244-2		n ɪ t			
289-2		n u t			
911-2		r ɛ t			
724-2		t r			
145-2		t ɑ			
992-2		h ɑ			
706-2					
106-2		f ɛ ð			
741-2		h ɑ			
421-2		b l ə r			
227-2		f ɑ t			
560-3			k ɛ		
438-3			a r		
1222-3			a u		
353-3			p u s		
201-3			b ɑ̃		
20-3			p ɛ r		
503-3			f u l		
957-3			n		
728-3			l ɛ i		
244-3			n r		
289-3			n u		
911-3			r ɛ		
724-3			r r		
145-3			d ɔ		
992-3			k u		
1181-3			s ɑ̃ t		
706-3					
106-3			p u t		
741-3			p u		
421-3			f l ø		
227-3			f u		
560-4				v u r	
438-4				v r	
1222-4				t	
353-4				f aː ʃ	
201-4				z eː t	
20-4				h a r	
503-4				f l	
957-4				n n	
728-4				l u ŋ	
244-4				n aː m	
289-4				n i s	
911-4				r u s	
724-4				d r	
145-4				ts	
992-4				h	
1181-4				h a n	
706-4					
106-4				f u r ə r	
421-4				f l u r r	
227-4				f e s	
560-5					k o n
438-5					s r m
1222-5					e
353-5					p e s t
201-5					p e u
20-5					k o r r
503-5					p l l
957-5					n n n
728-5					l a
244-5					n e n i
289-5					n oː t
911-5					r e n
724-5					t r
145-5					f uː n
992-5					k e
1181-5					k u l n
706-5					
106-5					p e t a
741-5					p o m
421-5					f l a r
227-5					p e t i
