COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n			
2054-1	d ɔ n d ə r			
1375-1	l ɛɪ k			
760-1	w ɛ n d			
756-1	s n j			
726-1	m ɔ t ə r			
1351-1	x r ɑ n + t aː d r			
1353-1	x r ɑ n + m ɔ t ə r			
412-1	z ɑ eː ɣ r r ɛ l ə			
406-1	s w iː ɣ r r + m ə			
1005-1	s t eː p + v aː d ə r			
1012-1	s t eː p + m ɔ t ə r			
1016-1	w ɪ d w ə r			
1069-1	ɪ x			
509-1	v ɑ l ə			
693-1	m ɑu l t			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n			
471-1	z t ə			
1385-1	z uː d			
792-1	j ɑu k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə d			
1970-1	v ɔ l			
1230-1	d r ɪ ŋ ə			
2017-1	n œy uː			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h ɛ ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ j			
1832-1	r oː w			
-1816-1	oː ts ɛɪ aː n			
-335-1	l ɑ x uː n			
1043-1	s t r ɔ m			
423-1	s t eː n			
2049-1	m uː n			
2062-1	s t ɔ r m			
2065-1	r aː x ə x + b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	d yː w			
754-1	r aː ɣ ə			
768-1	w ɛ t ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː b eː			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n			
-2026-1	n ɛ v ə x			
409-1	z w ɛɪ ɣ ɛ r + z oː n			
402-1	z w t ɣ r r s t x t ə			
1014-1	s t eː p + d ɔ t t r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r r			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s iː p			
1523-1	z ɑu			
1521-1	b ɔ x			
512-1	m ɑ r aː			
2141-1	h uː n			
2147-1	x aː n			
814-1	k r m ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m øː s			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ t			
1305-1	v l iː			
711-1	w ɛ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ k			
-73-1	m ɔ s k ɛɪ t oː n			
1810-1	h ɑu d			
1805-1	v l eː s x			
1813-1	h aː r r			
1811-1	b l uː d			
690-1	r ɛ p ə			
2177-1	h ɑu p ə			
246-1	oː ɣ + r + b r ɑu			
249-1	oː ɣ l ɛɪ d ə			
1506-1	n aː z t r + l			
2242-1	m ɔ n			
2245-1	t ɔ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s x l d ə r			
575-1	aː k t ə l + h			
603-1	ɛ l + x + b oː ɣ ə			
601-1	h ɑ n d			
615-1	v ɛ ŋ k ə r			
901-1	k l oː w			
608-1	v øː t			
596-1	t aː			
937-1	b r ɔ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l eː v ə r			
1606-1	h ʉ p			
472-1	n n z ɪ			
1535-1	z w ɛ t ə			
1546-1	s p ɪ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r ɛɪ m ə			
323-1	l aː l eː n			
1885-1	x r ɑ v			
2156-1	k r + k ɛ l t + ŋ			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m ɛɪ			
274-1	d oː p			
278-1	b l ɪ n d			
258-1	b ə ɑ ŋ k ɔ ŋ ə			
256-1	n aː k ɪ			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɛ ŋ k ə			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ ŋ ə			
1243-1	m aː l ə ɛɪ t			
1265-1	p eː l			
1261-1	z iː v ə			
655-1	b r s t			
650-1	d eː k			
1532-1	k n d ə			
-36-1	z uː p			
34-1	b oː n			
-1647-1	v ɛɪ ɣ			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɔ n d r r		
1375-2		l ɪ tʃ d		
760-2		w ɪ n t		
756-2		s n ɛ		
726-2		m aʊ d r		
1351-2		ɡ r aɪ t æ k eɪ d ə r		
1353-2		ɡ r aɪ t æ m ʌ t ə r		
412-2		s w aɪ b r əʊ d ɑː		
406-2		s w aɪ n eɪ k æ m ə		
1005-2		s d iː f ɔː əʊ d		
1012-2		s d iː f æ m ʌ t ə r		
1016-2		w ɛ d uː ə		
1069-2		ɪ k		
509-2		f iː l		
693-2		m ə l æ d		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ʊ l f		
1198-2		b ɑː r t		
2032-2		h ɔː r n		
2241-2		n eɪ s		
2244-2		l ɪ p		
610-2		k n iː		
945-2		h ɑː r t		
1534-2		l ɪ k		
384-2		s h ɡ		
1650-2		s ʌ t		
1663-2		s æ l		
2279-2		l ɪ n		
471-2		s eɪ		
1385-2		s eɪ d		
792-2		j k		
1111-2		m ɑː s t		
197-2		s w d		
2020-2		l æ ŋ		
867-2		h aʊ n d ə		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h iː b l̩ l		
829-2		k l ɪ p		
1025-2		w əʊ t ə r		
1027-2		s ɛ		
1832-2		r aʊ w		
-1816-2		ʌ s eɪ ð n n		
-335-2		l əʊ aʊ ʌ n		
1043-2		s d r ʌ m		
423-2		s t aɪ n		
2049-2		m ʌ n		
2062-2		s t k r m		
2065-2		r eɪ l n æ b ʌ ɡ		
1368-2		s l d w		
1365-2		d t w		
754-2		r eɪ l		
768-2		w ɛ d		
1211-2		f ɔː r r		
106-2		m æ n		
-98-2		b ɛ v iː		
719-2		f ɑː d ə r		
1341-2		s ʌ n		
-2027-2		d ɑː n d		
-2026-2		n eɪ f		
409-2		s w aɪ n r ʌ n n̩		
402-2		s w aɪ n r ɔ ɡ əʊ d		
1014-2		s d iː f æ d ɔ ɡ t ə r		
1059-2		w aɪ		
120-2		s d ɑː l		
2194-2		ɔ		
2199-2		k ɔː l v		
2197-2		s l f p		
1523-2		s h ɡ		
512-2		m ə r		
2141-2		h æ n		
2147-2		ɡ æ n s		
814-2		k r eɪ		
810-2		d h b		
1758-2		m ð s		
1760-2		r əʊ d		
1620-2		f ɪ n		
1282-2		w ɑː l v ɪ s		
1136-2		f ɔ s		
1309-2		l h s		
1307-2		n ɛ t		
1305-2		f l ʌ		
711-2		w ɛ s p		
1442-2		f l aɪ l		
62-2		m + b		
-73-2		m + s k ɪ t		
1810-2		h æ t		
1805-2		f l iː s		
1813-2		h eɪ r		
1811-2		b l æ t		
690-2		r ɪ p		
2177-2		h ʌ p t		
246-2		w əʊ æ b r aʊ r		
249-2		ʌ æ ɪ d n̩		
1506-2		n iː s n l əʊ əʊ		
2242-2		m aʊ n d		
2245-2		t ʌ ŋ		
2174-2		s ɡ l d ə r		
603-2		ɛ l b ɔː ɔː		
601-2		h æ n d		
615-2		f ɪ ŋ ə r		
901-2		k l əʊ r		
608-2		f iː t		
596-2		t ɛ		
937-2		b ɔː aʊ s t		
936-2		n iː v l̩ l		
646-2		l əʊ ŋ		
947-2		l ɛ v ə r		
1606-2		h + p		
472-2		n iː r		
1535-2		s w ɛ t		
1546-2		s p ɔ k		
1959-2		s l əʊ p		
694-2		s n + r k		
1961-2		d r aɪ m		
323-2		l ɛ v		
1885-2		ɡ r ɑː p		
2156-2		b r + b k l d aʊ ɪ t		
1903-2		w aʊ n d		
525-2		s w ɛ l ɪ ŋ		
276-2		l æ m		
274-2		d ʌ p		
278-2		b l ɪ n d		
258-2		d r æ ŋ k ŋ k		
256-2		n eɪ l t		
383-2		ɛ t		
207-2		r aɪ p		
376-2		d r ɪ ŋ k		
2014-2		r ɔ t d		
2009-2		ʌ f		
2003-2		k ɛ t l̩ l		
2024-2		p ɑː n		
1321-2		k ɔ p		
1976-2		t ɑː ŋ		
1243-2		m ɑː l æ aɪ d d		
1265-2		p ɑː l		
1261-2		s iː v		
655-2		b r ʌ t		
650-2		d aɪ		
1532-2		k n ɛ d		
-36-2		s aʊ p		
34-2		b ʌ n		
-1647-2		f aɪ ɡ		
1469-3			ʃ o t ʀ	
2047-3			ʃ o t	
2054-3			p ɑ̃ t ʀ ʀ	
1375-3			l i z	
760-3			v ə t ʀ	
756-3			ʀ t ʀ ʀ	
726-3			ʃ a ʀ ʀ	
1351-3			f ʀ a ʀ p t	
1353-3			f ʀ a ʃ a ʀ ʀ	
412-3			p v a ɡ ʀ i i ʀ ʀ	
406-3			ʃ v a ɡ ʀ i ə ʀ	
1005-3			ʀ ɛ ɑ̃ ʀ f a t ʀ	
1012-3			ʀ ɛ ɑ̃ ʀ ʃ a ʀ ʀ	
1016-3			v a t ʀ	
1069-3			p	
509-3			p u l	
693-3			ə l t t	
2179-3			t ɑ̃ t t	
1753-3			p ə t	
1131-3			v a l v e	
1198-3			p ə ʀ ʀ	
2032-3			p a ʀ	
2241-3			t u ʃ	
2244-3			l ə v	
610-3			t ʀ	
945-3			s a t s	
1534-3			l ə	
