COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ ɜ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɜ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ɜ ɑ						
205-1	p r̪ ɜ x p ɜ						
1089-1	l ɜ q r̪ ɪ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x s̪ p ɑ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	r̪ ɜ q						
1512-1	l̪ tɕ i n̪						
555-1	k ɑ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	s̪ g o						
601-1	ɕ i ŋ						
320-1	b r̪ ɜ x m ɜ						
1106-1	b u n̪						
693-1	h ɜ k o ŋ ɑ						
221-1	s̪ k ɜ r̪ ɜ						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l dð o ɾ						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɜ m tθ o						
383-1	ɪ l						
820-1	l o k						
1636-1	r̪ u ɑ						
1331-1	ʊ ɾ d̪ u ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	t̪ u t̪ p ɜ						
669-1	s̪ ɛ ɾ						
1472-1	s̪ t̪ ɜ s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m b ɜ						
626-1	m ɜ n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	ȵ̊ ɜ r̪ p ɑ						
1480-1	j u ŋ						
653-1	s̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ ɪ l						
610-1	ŋ ɑ						
350-1	b ɜ ŋ d o						
871-1	o ŋ m ɑ						
734-1	ɾ ɑ ɑ						
431-1	kʰ i						
1298-1	o ɾ b ɑ l						
929-1	t̪ʰ ɜ ŋ k i						
1315-1	t̪ ɑ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ p s̪						
836-1	m i						
1644-1	b s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	b o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o o					
522-2		d o ŋ					
