COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	k o o						
522-1	o ɣ ʊ d o ŋ						
514-1	m i n̪						
464-1	s̪ ŋ ɑ						
1020-1	ɜ n̪ ɜ s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕʰ ɜ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ɜ ɑ						
205-1	p r̪ ɜ t̪ b ɜ						
1089-1	l ɜ l t̪ʰ ɑ n̪						
804-1	kʰ ɜ ŋ m ɜ						
1263-1	b ɜ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ r̪ i ŋ						
269-1	r̪ ɜ ŋ						
1512-1	l̪ tɕ i n̪						
555-1	ɾ k ɜ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	g o						
601-1	ɕ i ŋ						
320-1	pʰ r̪ ɜ ɜ m ɜ						
1106-1	b u n̪ s̪						
693-1	h ɜ s̪ o ŋ ɑ						
221-1	s̪ k ɜ r̪ ɑ						
1199-1	t̪ʰ ɜ ŋ p ɑ						
1424-1	s̪ k u t̪ b ɑ						
904-1	l dð o ŋ						
1273-1	ɜ ȵ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	d̪ʲ u						
1175-1	ɾ d ɜ m s̪ o						
383-1	s̪ i u						
820-1	d̪ o ŋ						
1636-1	ɾ r̪ u ŋ						
1331-1	ʊ ɾ d l ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ʲ u t̪ p ɜ						
669-1	ɜ s̪ ɛ ɾ						
1472-1	s̪ gʲ ɜ k s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ɜ n̪ d o ŋ						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ʊ r̪ m ɜ						
1480-1	j u ŋ						
653-1	ɾ g o x p ɑ						
1081-1	d̪ o ŋ						
1448-1	p ɑ d ɜ ŋ						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	t̪ʰ ɑ l						
610-1	ŋ ɑ						
350-1	b ɜ ŋ m o						
871-1	o ŋ m ɑ						
734-1	ɾ ɑ ɑ						
431-1	kʰ i						
1298-1	o ɾ b u n̪						
929-1	t̪ʰ ɜ ŋ d i						
1315-1	d̪ ɜ k s̪ k ɜ n̪						
964-1	m i n̪ d ɜ n̪ s̪						
836-1	m i						
1644-1	b ʊ s̪ ʊ r̪ i ŋ						
547-1	ɜ ŋ ɑ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o ŋ o						
1306-1	pʰ ɑ u						
405-1	b o ŋ o						
294-1	pʰ r̪ u						
661-1	b o ŋ o						
413-1	b ɜ ŋ						
996-1	tθʰ ɜ n̪						
1012-1	k r̪ o b ɑ ɾ						
181-1	pʰ r̪ i t̪ r̪ o ŋ						
1660-1	g u n̪ d ɜ						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ɜ m ɜ						
677-1	l ɜ x m o						
1561-1	ɜ ɕ ɛ r̪ b ɑ						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ ŋ t̪						
391-1	r̪ ɜ x m o						
972-1	ȵ i m o ɾ						
531-1	d̪ ɜ ɣ r̪ i ŋ s̪						
253-1	tɕ o ŋ o						
1282-1	t̪ʰ u n̪ s̪ ɜ						
812-1	j ɑ ŋ m o						
245-1	d̪ʲ u r̪ u						
1609-1	k ɑ x m o						
261-1	n̪ ɑ p o						
1143-1	m ɑ r̪ s̪ o						
1065-1	tɕ i g						
1504-1	ȵ i s̪						
1432-1	s̪ u m						
634-1	b ɑ i						
1255-1	ɾ r̪ u k						
488-1	ɾ gʲ u t̪						
1004-1	ɾ g u						
506-1	tɕ ɜ ɾ tɕ ɜ k						
1488-1	tɕ o ŋ ɜ s̪						
1496-1	ȵ i s̪ u						
1073-1	ɾ ɑ u						
1617-1	s̪ u						
1569-1	tɕ i						
1593-1	g ɑ ɾ						
1585-1	n̪ ɑ m						
759-1	t̪ʰ ɜ m m n̪						
1415-1	d̪ o ŋ						
1215-1	d̪ o k s̪ o t̪ o ŋ s̪						
422-1	l o x s̪ o						
310-1	b ɜ x s̪ o						
189-1	kʰ u ŋ m ɑ						
25-1	z̪ ʊ s̪						
9-1	l̪ t̪ o k s̪						
57-1	t̪ʰ u n̪ s̪						
17-1	s̪ k o m s̪						
709-2		g o o					
522-2		d o ŋ					
514-2		m i k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ u s̪					
1355-2		s̪ o					
1464-2		l̪ tɕ ɜ					
302-2		b r̪ ɜ ŋ					
237-2		l̪ t̪ o ɑ					
205-2		p r̪ ɜ p ɜ					
1089-2		l ɜ n̪ m i l					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ k s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		r̪ o q					
1512-2		l̪ tɕ i n̪					
555-2		b ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		ɾ g o					
601-2		ɕ i ŋ					
320-2		pʰ ɜ i m ɜ					
1106-2		b u n̪ s̪					
693-2		h ɜ s̪ o ɑ					
221-2		s̪ t̪ ɜ r̪ u					
1199-2		t̪ʰ ɜ p ɑ					
1424-2		s̪ k u t̪ p ɑ					
904-2		l dð o q					
1273-2		l̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		s̪ ɜ r̪ p ɜ					
1529-2		d̪ʲ u					
1175-2		ɾ g ɜ m m o					
383-2		d̪ s̪ i l					
820-2		l̪ o k					
1636-2		r̪ u ŋ					
1331-2		ʊ ɾ p ɑ					
1097-2		l ɜ m					
1223-2		ɾ ɜ ŋ ɑ					
592-2		m ɑ					
1290-2		d̪ u p ɑ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɜ ɣ s̪ i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m i n̪ d o q					
844-2		ɑ m					
879-2		kʰ ɑ					
1151-2		pʰ ɾ ɜ s̪					
1119-2		ɑ l u					
365-2		z̪ ɛ r̪ m ɜ					
1480-2		j u ŋ					
653-2		b g o k p ɑ					
1081-2		kʰ o ŋ					
1448-2		p ɑ x ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		ŋ ɑ					
350-2		b ɜ ŋ m o					
871-2		o m ɑ					
734-2		ɾ ɑ ɑ					
431-2		kʰ i					
1298-2		ɣ b u l					
929-2		b ɜ ŋ d i					
1315-2		d̪ ɑ k s̪ k ɜ n̪					
964-2		m i n̪ d ɜ s̪					
836-2		m i					
1644-2		b u s̪ t̪ r̪ i ŋ					
547-2		ɜ t̪ ɑ					
1048-2		k ɜ k ɑ					
1692-2		g o n̪ o					
1306-2		b u					
405-2		b o ŋ o					
294-2		pʰ r̪ u					
661-2		b o ŋ o					
413-2		kʰ ɜ n̪					
996-2		tθʰ ɜ n̪					
1012-2		r̪ o b ɜ ɾ					
181-2		pʰ i t̪ r̪ o					
1660-2		g ɜ n̪ d ɜ					
1440-2		g i r̪ i ŋ					
1652-2		l o					
1037-2		s̪ ŋ i ŋ m ɜ					
677-2		l ɜ n̪ m o					
1561-2		z̪ ɛ r̪ p ɜ					
447-2		s̪ k ɜ m b o					
828-2		ɾ i ŋ m o					
1247-2		tɕ ɜ t̪ s̪ ʊ s̪					
391-2		tɕ ɜ ŋ m o					
972-2		ȵ i m o ŋ					
531-2		t̪ʰ ɜ r̪ i ŋ s̪					
253-2		g o ŋ s̪					
1282-2		d̪ʲ u n̪ d ɜ					
812-2		j ɑ ŋ m o					
245-2		t̪ʰ u r̪ s̪					
1609-2		k ɑ r̪ p o					
261-2		n̪ ɑ p o					
1143-2		m ɑ r̪ p o					
1065-2		kʰ i k					
1504-2		ɕ i s̪					
1432-2		s̪ u m					
634-2		ɕ i					
1255-2		b r̪ u k					
488-2		b ɕ ɜ n̪					
1004-2		ʊ ɾ g u					
506-2		tɕ u s̪ m i k					
1488-2		tɕ ɜ ŋ ɜ s̪					
1496-2		ŋ i m u					
1073-2		b d ɑ					
1617-2		s̪ u					
1569-2		kʰ i					
1593-2		g ɑ ɾ					
1585-2		n̪ ɑ m					
759-2		ȵ ɑ m s̪					
1415-2		d̪ o ŋ					
1215-2		d̪ o s̪ ɑ r̪ o s̪					
422-2		d̪ o s̪ o					
310-2		b ɜ n̪ p o					
189-2		g ɑ ŋ m ɑ					
25-2		z̪ ʊ s̪					
9-2		l̪ t̪ o k s̪					
57-2		t̪ʰ õ s̪					
17-2		s̪ k o m s̪					
709-3			g o o				
522-3			o ɣ g d o ŋ				
514-3			m i n̪				
464-3			s̪ n̪ ɑ				
1020-3			s̪ m ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕʰ ɜ				
302-3			b l ɜ ŋ				
237-3			l̪ tɕʰ o ɑ				
205-3			pʰ l ɜ l b ɜ				
