COGID	Albanian	English	French	German	Latin
560-1	m				
438-1	r i				
1222-1	u t				
353-1	p i ʃ				
201-1	s				
20-1	a r u				
503-1	p l r n				
957-1	d				
728-1	l j g				
244-1	n m				
289-1	n				
911-1	u u r				
724-1	t r u				
145-1	r u				
992-1	k				
1181-1	k t				
741-1	p				
560-2		v ə m			
438-2		ɔ r			
1222-2		a			
353-2		f s k			
201-2		p ɪ n f			
20-2		k ə r			
503-2		f l ə			
957-2		n n			
728-2		l au ŋ			
244-2		n ə m n			
289-2		n ɔ t			
911-2		r ə ə t			
724-2		r ɛ			
145-2		t ai			
992-2		w ə			
706-2		au			
106-2		f ə ð ə r			
741-2		p ə			
421-2		b l ɑ d			
227-2		f ɛ t			
560-3			k ɛ		
438-3			r		
1222-3			u e		
353-3			p s		
201-3			p ʒ n		
20-3			p ɛ r		
503-3			p l		
957-3			n		
728-3			l ɛ g		
244-3			n a m		
289-3			n ɛ w a		
911-3			r ɛ		
724-3			t r ɛ		
145-3			ɛ u		
992-3			ɛ e		
1181-3			k a n		
706-3			s		
106-3			p a r r r		
741-3			p ɛ s		
421-3			b l u		
227-3			p u d		
560-4				v a m	
438-4				aː r	
1222-4				a t	
353-4				f i	
201-4				f i n	
20-4				k a r	
503-4				f n u	
957-4				aː n	
728-4				l a ŋ	
244-4				n aː m	
289-4				n ai	
911-4				r aː ts	
724-4				d r t	
145-4				ts oː	
992-4				h oi	
1181-4				h n	
706-4				oi	
106-4				f a d r	
421-4				t l a d	
227-4				f t	
560-5					w t m
438-5					o r u
1222-5					aː e
353-5					p e u k
201-5					p e k p
20-5					p a r r
503-5					p l l
957-5					e i
728-5					l o n
244-5					n o m
289-5					n a n t
911-5					r e t
724-5					t r e w
145-5					d w uː
992-5					k e
1181-5					k e n t
706-5					o i
106-5					p aː t i
741-5					p a k
421-5					f l o r r
227-5					p u t
