COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	n ɨi̯															
175-1	ʔ a															
241-1	ʔ a															
2163-1	p ɨi̯ n															
2181-1	n ɨi̯ n															
2060-1	ʔ a h															
410-1	d u															
1841-1	s ɨi̯															
2017-1	s ɨi̯															
1004-1	n ɨi̯															
614-1	p a h															
686-1	p u ɨi̯															
88-1	b a ʔ															
872-1	v ɨi̯ h															
1891-1	d u															
68-1	s ɨi̯ n															
631-1	p a n															
594-1	ʔ ɨi̯															
1759-1	v ɨi̯ n															
805-1	g ɨi̯ n															
756-1	n ɨi̯															
1201-1	ɲ a															
2042-1	ʔ a															
1968-1	b u ʔ															
2000-1	v ɨi̯ n															
17-1	v ɨi̯															
4-1	p ɨi̯ n															
788-1	p ɨi̯															
1219-1	s ɨi̯ h															
141-1	ʔ ɨi̯ h															
541-1	p r j a h															
1687-1	n ɨi̯ h															
123-1	n ɨi̯ h															
1652-1	p ɨi̯ n															
576-1	n au̯															
1738-1	p u															
442-1	n ɨi̯ h															
368-1	ʔ j a h															
1778-1	p ɨi̯															
957-1	n ɨi̯															
1704-1	ʔ ɨi̯															
304-1	j ɨi̯ h															
1796-1	v ɔ ŋ															
720-1	ʔ a h															
287-1	b a															
321-1	p ɨi̯ h															
206-1	b u ʔ															
1950-1	ʔ ɨi̯															
665-1	p n a n															
703-1	n ɨi̯															
1290-1	s ɨi̯															
1391-1	ʔ ɨi̯															
269-1	b a															
855-1	p ɨi̯ n															
2078-1	s ɨi̯															
2213-1	s ɨi̯															
1858-1	s u															
1151-1	ʔ j a h															
737-1	p a															
340-1	s u															
1111-1	s ɨi̯															
485-1	ŋ ɨi̯															
1356-1	n a h															
1093-1	p u n															
1063-1	p u n															
648-1	p u n															
223-1	b ɔ n															
1248-1	s ɔ															
1509-1	p ɨi̯ n															
504-1	ʔ u h															
2130-1	s ɨi̯															
1-1	ʔ ɨi̯															
386-1	ɲ a ʔ															
1411-1	ʔ ɨi̯															
1027-1	b a															
1459-1	b a ɔ															
1323-1	s ă															
1859-2		ŋ ɔ														
175-2		ʔ a														
241-2		ʔ e ʔ														
2163-2		d a n														
2181-2		n ɔ ŋ														
2060-2		ʔ e ŋ														
410-2		d u														
1841-2		a ɔ														
2017-2		ʔ a														
1004-2		a a														
614-2		b ɔ h														
686-2		b o a														
88-2		b ʔ a h														
872-2		n ɔ ŋ														
1891-2		d u														
68-2		n a ŋ														
631-2		b l a n														
594-2		ʔ ɔ														
1759-2		n a ŋ														
805-2		ʔ a ŋ														
756-2		ʔ a ʔ														
1201-2		ɲ ʔ a n														
2042-2		ʔ e ʔ														
1968-2		d ɔ ʔ														
2000-2		v a ŋ														
17-2		l a ʔ														
4-2		b a n														
788-2		d ɔ ʔ														
1219-2		n a ŋ														
141-2		ʔ a ŋ														
541-2		b a a a ŋ														
1687-2		n a n														
123-2		n ɔ ŋ														
1652-2		f a ŋ														
576-2		ŋ ɔ n														
1738-2		d ɔ ʔ														
442-2		l a ŋ														
368-2		b l a ŋ														
1778-2		ʔ a ʔ														
957-2		n ɔ														
1704-2		ʔ e ʔ														
304-2		l a ŋ														
1796-2		v a ŋ														
720-2		d ɔ h														
287-2		b ʔ a n														
321-2		ʔ ɔ n														
206-2		ɓ ɔ ʔ														
1950-2		ʔ l a														
665-2		b l a n														
703-2		n ɔ ʔ														
1290-2		l a														
1391-2		d ɔ ʔ														
269-2		b d a ʔ														
855-2		ʔ a n														
2078-2		l a h														
2213-2		l ɔ														
1111-2		l i														
485-2		ŋ ɔ														
1356-2		ŋ ɔ h														
1093-2		d a n														
1063-2		d ɔ n														
648-2		f a ŋ														
223-2		b a n														
1248-2		ʔ a														
1509-2		d i n														
504-2		ʔ ɔ n														
2130-2		n i														
1-2		ʔ u														
386-2		l o ʔ h														
1411-2		ʔ i														
1027-2		ʔ a ʔ														
2077-2		ə a ɔ h														
1459-2		a a														
1323-2		s a														
1859-3			a a													
175-3			ʔ a ʔ													
241-3			ʔ a h													
2163-3			ʔ a a													
2181-3			a a a													
2060-3			ʔ a a													
410-3			ʔ a													
1841-3			a a													
2017-3			h a													
1004-3			a a													
614-3			ʔ a h													
686-3			ʔ a a													
88-3			ʔ ʔ a h													
872-3			a a h													
1891-3			ʔ a													
68-3			ʔ a a													
631-3			ʔ ʔ a h													
594-3			ʔ a													
1759-3			ʔ a a													
805-3			ʔ a a													
756-3			ʔ a h													
1201-3			a ʔ a h													
2042-3			ʔ a h													
1968-3			ʔ a h													
2000-3			a a a													
17-3			a a h													
4-3			ʔ a a													
788-3			ʔ a ʔ													
1219-3			ʔ a a													
141-3			ʔ a a													
541-3			ʔ a a a h													
1687-3			ʔ a a													
123-3			a a a													
1652-3			ʔ a a													
576-3			a a h													
1738-3			ʔ a h													
442-3			ʔ a a													
368-3			ʔ a a h													
1778-3			ʔ a h													
957-3			a a h													
1704-3			ʔ a h													
304-3			a a a													
1796-3			ʔ a a													
720-3			ʔ a h													
287-3			ʔ ʔ a h													
321-3			ʔ a h													
206-3			ʔ a ʔ													
1950-3			ʔ a a													
665-3			ʔ a a a													
703-3			a a h													
1290-3			a a													
1391-3			ʔ a h													
269-3			ʔ ʔ a h													
855-3			ʔ a a													
2078-3			ʔ a h													
2213-3			a a													
1858-3			ʔ a													
1151-3			ʔ a a h													
737-3			ʔ a a h													
340-3			ʔ a													
1111-3			ʔ a ʔ													
485-3			a a													
1356-3			a a h													
1093-3			ʔ a a													
1063-3			ʔ a a													
648-3			ʔ a a													
223-3			ʔ ʔ a a													
1248-3			ʔ a													
1509-3			ʔ a a													
504-3			ʔ a h													
1-3			ʔ a													
386-3			a a ʔ ʔ h													
1411-3			ʔ a ʔ													
1027-3			ʔ a h													
2077-3			ʔ ʔ a a h													
1459-3			ʔ a a													
1323-3			a a													
1859-4				n ai̯												
175-4				ʔ a												
241-4				ʔ iː												
2163-4				ʔ iː												
2181-4				n iː ŋ												
2060-4				ʔ iː n												
410-4				t iː												
1841-4				n iː												
2017-4				n iː												
1004-4				ə iː												
614-4				p ai̯ h												
686-4				p ə a												
88-4				p a												
872-4				n iː ŋ												
1891-4				t iː												
68-4				n iː n												
631-4				p a												
594-4				ʔ iː												
1759-4				n iː n												
805-4				g iː n												
756-4				n iː												
1201-4				ɲ a												
2042-4				ʔ iː												
1968-4				t a												
2000-4				v a ŋ												
17-4				v ɔ												
4-4				b iː n												
788-4				t a												
1219-4				f iː n												
141-4				ʔ iː ŋ												
541-4				p a a ŋ												
1687-4				n iː												
123-4				n ai̯ ŋ												
1652-4				f iː n												
576-4				n ai̯												
1738-4				ʔ a												
442-4				n iː ŋ												
368-4				p a ŋ												
1778-4				p a												
957-4				n ai̯												
1704-4				ʔ iː												
304-4				j iː ŋ												
1796-4				v ɔ ŋ												
720-4				t ai̯ h												
287-4				p ɔ a												
321-4				ʔ ai̯												
206-4				p ai̯												
1950-4				ʔ a												
665-4				p a n												
703-4				n ai̯ ʔ												
1290-4				n iː												
1391-4				ʔ iː												
269-4				p a												
855-4				f iː n												
2078-4				n iː												
2213-4				n iː												
1858-4				n a												
1151-4				p a a												
737-4				p a												
340-4				n ai̯												
1111-4				n iː												
485-4				ŋ ai̯												
1356-4				ŋ ai̯ h												
1093-4				t a ŋ												
1063-4				t ai̯												
648-4				f aː ŋ												
223-4				p a ŋ												
1509-4				t iː n												
504-4				ʔ a h												
2130-4				n iː												
1-4				ʔ iː												
386-4				ɲ o k k k												
1411-4				ʔ iː												
1027-4				ʔ a ʔ												
2077-4				p p ŋ ai̯												
1459-4				p o a												
1859-5					j a											
175-5					tʰ a h											
241-5					tʰ a ʔ											
2163-5					tʰ a ŋ											
2181-5					f a h											
2060-5					tʰ a ŋ											
410-5					tʰ a											
1841-5					m a											
2017-5					tʰ a											
1004-5					a a											
614-5					tʰ a h											
686-5					b j ei̯											
88-5					b tʰ a ʔ											
872-5					f i ŋ											
1891-5					tʰ a											
68-5					s a ŋ											
631-5					b a ŋ											
594-5					tʰ a											
1759-5					f a ŋ											
805-5					tʰ a ŋ											
756-5					tʰ a ʔ											
1201-5					m tʰ a ʔ											
2042-5					tʰ a n											
1968-5					tʰ a ʔ											
2000-5					f aː ŋ											
17-5					f a ʔ											
4-5					tʰ a ŋ											
788-5					tʰ a t											
1219-5					j a ŋ											
141-5					f aː ŋ											
541-5					b r j a ŋ											
1687-5					s a ŋ											
