COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1807			tʃʰ i n l a			tʃʰ i n l a		
2358			ʔ i w o			ʔ i w o		
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
2256	pʰ u l o	pʰ u l o	pʰ u l o		u kʰ e n		pʰ u a kʰ e n	pʰ u l a n
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
865						z a s	z a s	
379	g u ɾ gʱ a ŋ			kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ		kʰ u r kʰ a ŋ	
819		z a m b a	z a m b a		z a m b a	z a m b a	z a m b a	z a m b a
1941	u t u	u tʰ u	u tʰ u	u tʰ u				
1603		r a	r a		ɾ u	r a	ɾ u	
2784			z i	z i		z i		z i
2492		ʃ e ʃ u				ʃ e ʃ u		
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
1014			g e s t̪ u j a			g e s t̪ u r		
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
854	p a i pʰ u			p a i p u				p e p u
2416						z i k a n		z i g p a n
1627	d̪ u l u l a			d o l u				
729		b i ŋ tʃ e n	b i ŋ tʃ e n			b i ŋ tʃ e n	b i ŋ tʃ e n	
2331			tʃ o k p o		tʃ o k p o			tʃ o k p o
1612		dʒ i p a n			dʒ i d p æ n			dʒ i p a n
2110	a l o				a l o	ʔ a l o		
415	kʰ a m u ŋ		kʰ a u		kʰ a u		kʰ a u	kʰ a m u
2083			z a m b o		z a m b o			
1566	m ĭ n k a	m i n p a n		m ĭ n k a			m i ŋ kʰ e n	
1576		g o ŋ ɾ i			g o ŋ ɾ i	ɾ i g o ŋ ɾ i		
72	d̪ a n		d̪ a n			d̪ a n		
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
2302	ʃ o ŋ l a k a	ʃ o ŋ l a i			ʃ o ŋ l a kʰ a n		ʃ o ŋ l a kʰ a n	ʃ o ŋ l a l a n
2323						kʰ o d̪ i l o		kʰ o l o
580	b l a s a							b l a s a
2433		pʰ i r	pʰ i r pʰ o		pʰ i r p o k			
2277			ŋ j e w o			ŋ j e w o		
2006	s e m tʃ e n							s e m tʃ e n
909		pʰ e l u l a	pʰ e l u l a		pʰ e l o	pʰ e l o	pʰ e l u l a	
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
2379			tʰ i ŋ kʰ u		tʰ i ŋ kʰ ə n	tʰ i ŋ kʰ u	tʰ i ŋ kʰ ə n	tʰ i ŋ m a n
310	a l e j a k			a l a k				a l j a k
863	s e		s e	s e				
1013	g e s a ŋ	g e dʒ a ŋ j a			g e dʒ a ŋ		g e dʒ a ŋ	k e z a ŋ
67				n a n	n a n			
416		kʰ a m tʃ u d a ŋ				kʰ a m tʃ u d a ŋ		
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
1088	j o n			j o n				j o n
1761					s a ʔ	s a h̥		
1924		k ɾ e m ʃ i pː a				k ɾ e m ʃ i pː a		
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1486	p a s a g o ŋ			p a s a g o m				
582	p u r tʃ i			p u r tʃ i				
2045			l e j a ŋ b o		l e ŋ b o	l e j a ŋ b o		
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
872	pʰ u ŋ k a			pʰ u ŋ k a				
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
445	n a ɾ i k o l							n a ɾ i k o l
2209	b i t i ŋ p i n l a	b i t i ŋ p e w o	b i t i ŋ p e w o	b i t i ŋ pʰ i tʃʰ a m	b i t i ŋ p æ kʰ ə n	p i t i ŋ		
1263		ɾ j u	ɾ j u			ɾ j u	ɾ j u	
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
1487		dʒ o g t a ŋ	dʒ o g t a ŋ		dʒ o k t a ŋ	dʒ o k t a ŋ	tʃ o k t̪ a ŋ	tʃ o k t̪ a ŋ
1852		kʰ o m tʰ e ɾ a ŋ	kʰ o m d̪ a ɾ a ŋ		kʰ o m d̪ a ɾ a ŋ	kʰ o m tʰ e ɾ a ŋ	kʰ o m d i r a ŋ	
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
454			kʰ u r l a	k u r b a n		kʰ u r l a		
2407					pʰ a kʰ e n		pʰ a kʰ e n	
773	g a ɾ a ŋ tʃ i ŋ n a ŋ			g ă z a ŋ tʃ i ŋ n a	g a ɾ a ŋ tʃ i ŋ n a ŋ		g a ɾ a ŋ tʃ i ŋ n a ŋ	
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
2554		d̪ u ɾ i				d̪ u ɾ i		
2489		pʰ a k p o	pʰ a k p o					
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
1593	pʰ a i b ŭ ŋ n a ŋ			pʰ a i b ŭ ŋ n a ŋ				
2709	pʰ ă j a m a	pʰ a i a m a		pʰ ă j a m a	pʰ e j a m a		pʰ a i a m a	
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
1150	s o ŋ o		z o ŋ a		s o ŋ a	s o ŋ a	s o ŋ a	
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
2063		tʰ a kʰ u				tʰ a kʰ u		
2201		n a ʃ u				n a ʃ u		
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
2387		g ɾ o w a n			g ɾ o w a n	g ɾ o g a n		d r o g a n p a
2203					a kʰ ə n		n a kʰ ə n	
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
2163	ŋ a t̪ k a		ŋ a t a ɲ dʒ i			ŋ a t̪ a k a n		ŋ a t p a n
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
962	s e m				s e m			s e m
2473				z i g tʃʰ a m	z e i kʰ e n		z e i kʰ e n	z i g p a n
989	tʃʰ a b u l a			tʃʰ a b u				
1244	t r o ŋ tʃ u m	k u ɾ o ŋ tʃ u ŋ b u	k u ɾ o ŋ tʃ u ŋ b u	t r o ŋ tʃ u m	k r o ŋ tʃ u ŋ		k r o ŋ tʃ u ŋ	
1798					dʒ o ŋ		dʒ o ŋ	
1042			j u ŋ p a		j u ŋ p a		j u ŋ p a	j u ŋ p a
2200	n a d̪ o k l a			n a d̪ o k tʃʰ a m				n a h a d o k p a n
2462		d̪ a ŋ kʰ u				d̪ a m k u	d a ŋ kʰ ə n	tʰ a ŋ m a n
117					kʰ a r i		kʰ a r i	
1629					ŋ o n b u		ŋ o n b u	
581		d u i p a	d u i p a		d u i p a	d u i p a	d u i p a	
2445		t̪ a m tʃ u				t̪ a m tʃ u		
764	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g ă z a ŋ b r u m a		g a ɾ a ŋ b r u m a		g a ɾ a ŋ b r u m a
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
1770		tʃ j a ŋ			o tʃ a n			
517	t i ŋ p u			t i ŋ p u				
2222					ʃ e kʰ e n		ʃ e kʰ e n	
728	tʰ a ŋ p u							tʰ a ŋ p u
2624	d̪ u n ts i				d u n tʃ i			
635	a t a			a t a				
1773						h a ŋ a n u		h a ŋ g i n u
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
388	g u w a			g o w a				
66			z a m i ŋ			z a m i n		z a m i n z i m b u
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
210	g o i	g o i	g o i	g o i	g o i			g o i
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
1264				z o ɾ				z o ɾ
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
508	ŋ a m	ŋ a m			ŋ a m	ŋ a m	ŋ a m	ŋ a m
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
1734	z i m u		z i m b u	z i m u	z e m b u	z i m b u	z i m b u	
135		tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ				
1906	u ɲ u	u ɲ u m o		u ɲ u		u ɲ u		
2699	tʃ a i t a ŋ p u			t a ŋ p u				s a p tʃ a t a ŋ p u
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
563		s a ŋ b u	s a ŋ b o l a		s a ŋ b u	s a ŋ b u	s a ŋ b u	s a ŋ b u
2312		g o tʃ u				g o tʃ u		
1170		tʃʰ a tʃʰ a	tʃʰ a tʃʰ a		tʃʰ a tʃʰ a		tʃ a tʃ i	
202					t o ŋ t e			t o ŋ t e
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
918		j a ŋ l u	j a ŋ l u		j a ŋ l u	j a ŋ l u ŋ	j a ŋ l u ŋ	j a ŋ l u ŋ
2710			n ĭ z i	n ĭ z i		ŋ i z i		n ĭ z i
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
2191		m a g ɾ a k a n				m a g ɾ a k a n	m a g r a kʰ e n	
864		g o ŋ			g o ŋ			
329		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	
1060	kʰ o l o k p a		k o l o k p a			k o l o k p a		
627		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
1460	s o ŋ o	s o ŋ a		s o ŋ o	s o ŋ a	s o ŋ	s o ŋ a	
908	l j a k p u			l e k p u				j a k p u
754	a n i ŋ tʰ u r			a n i tʰ u r	tʃ a tʰ u r	s a ŋ tʰ u r	tʃ a tʰ u r	a ŋ tʰ u r
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
2555				g a tʃ a	k a tʃ u		k a tʃ u	
1961					o tʰ u g a ŋ p u	ʔ o ɲ u g a m p u	o i g a ŋ p u	
389		g o g a	g o g a		g o g a	g o g a	g o g a	g o g a
2654	b o ŋ	b o ŋ	b o ŋ	b o ŋ	r a ŋ b o ŋ		b o ŋ	
2404	pʰ a l o		pʰ a w o					pʰ a l o
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
1521		tʃʰ u	tʃʰ u		tʃʰ u	tʃʰ u	tʃʰ u	tʃʰ u
1760	s a h̥	s a h̥	s a	s a				
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
655		s a tʃ i l a	s a tʃ i l a		s a tʃ i l a	s a tʃ i l a	s e tʃ i l a	
2783	n a ɲ i ŋ	n a ɲ i ŋ			n a ɲ i ŋ		n a ɲ i ŋ	
2608					j a m l o k		j a m l o k	
856			k j a k p a				k j a k p a	
2517	ŋ a m tʃ a	ŋ a m tʃʰ a	ŋ a m tʃʰ a	n a m tʃ a ŋ	ŋ a m tʃ a		ŋ a m ts i	
1575	ɾ i j a m a			ɾ i j a m a				
1672	l e m a			l e m a				
2007		b u	b u ʃ u		b u ʃ u	b u a t̪ a	b u a t̪ a	
2295			b ɾ a k o		b e kʰ e n	b ɾ a k o	b r e k a kʰ e n	
1602	tʃ a			tʃ a				tʃ a
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
2268				s e m pʰ e k a				s e m pʰ e l a n
1646		tʃ o	tʃ o	tʃ o			tʃ o	
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
562	s a ŋ k a			s a ŋ k a				
2172	b i l o		b i l o		b i l o	b i	b i kʰ e n	b i l o
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
