COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	d a r ɨ									
35-1	tɕ i θ u a u									
36-1	h u θ a a ɨ									
48-1	n a g a i r									
60-1	θ u r u									
63-1	s i r a m ɨ									
64-1	x i									
67-1	h a									
68-1	n ɨ									
71-1	j i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	x u j i									
-102-1	s i θ a									
103-1	ts ɨ m ɨ									
110-1	θ ɨ									
116-1	m u n ɨ									
120-1	n u m u r									
132-1	x i k u r									
139-1	x u r u s u r									
140-1	u ɴ u g u r									
156-1	θ a ɴ u r u									
168-1	ts ɨ x i									
169-1	h u s i									
170-1	m i d ɨ									
173-1	ʔ s i									
180-1	x u m u									
185-1	h a i									
186-1	m u ɨ r u									
187-1	m i j i									
190-1	ʔ x a ɨ r									
193-1	x ts r u i									
194-1	s i r u i r									
195-1	x u r u i r									
216-1	m a r tɕ a r i									
221-1	n x m									
239-1	ʔ ts u									
252-1	m i r ɨ									
253-1	ɴ u sː ɨ									
254-1	ʔ ts ɨ ts u									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r									
268-1	u m i									
272-1	ʔ m u ɴ									
276-1	ʔ r a u r									
281-1	m u s i u									
304-1	ts ɨ b a i i									
305-1	ts i									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	n i ɴ									
342-1	ɴ u k i									
346-1	x u r a i r									
347-1	x i r u r									
348-1	h i r u i									
351-1	θ o ɨ a r									
361-1	u m m i s r									
379-1	x u s a r a r									
394-1	h i d ʔ r i									
395-1	m i g i r i									
400-1	h i b a r u									
412-1	s a x ɨ r u r									
413-1	ts ɨ k i s x s u									
414-1	h u r u r									
422-1	h u x u r ɨ r u									
423-1	x a ɴ g ʔ ɨ r u									
430-1	h a k u r									
435-1	h u k u r									
446-1	s i θ a									
447-1	ɨ w r									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔ n u									
70-1	θ a n ɨ									
96-1	m ɨ									
101-1	h x									
114-1	x u a i									
119-1	x i m u									
134-1	s i b u r u									
138-1	s i n u r i									
146-1	ʔ r u x u									
161-1	j d ɴ i									
182-1	x ɨ m u r i									
188-1	ɴ a m a									
196-1	j u r u									
262-1	h i r u m a									
300-1	h ɨ s u									
313-1	d ɨ									
350-1	s ɨ m a i a r									
352-1	j i x a i a r									
396-1	h u r u s i r									
401-1	u s u									
420-1	u θ ɨ r u r									
424-1	u θ a u r									
442-1	s i m ɨ θ u x ɨ r									
455-1	i x i θ u r u									
15-1	ʔ r ɨ									
49-1	u a n g u									
130-1	m i r u									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a ts u								
48-2		n a g a kʲ								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h w								
68-2		n e kʲ								
71-2		ts i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e kʲ								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
