COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	t a b e			
222-1	a b ɪ b ɪ nː e			
208-1	a b u r b u d o			
962-1	a g o r e			
203-1	a g u d i g i			
138-1	o s i l o			
504-1	ɗ oː s o n e			
662-1	ɓ d a n e			
478-1	o g oː ɗ e			
409-1	a r e			
410-1	g u n d u			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s ɛ t a e			
847-1	n ɪ n d ɛ g e			
95-1	b ɛ t i			
105-1	b ɪ nː e			
510-1	b o s e			
951-1	m b ɪ m a r e			
1116-1	mː b ɪ m e			
149-1	ɓ u s ʔ e			
376-1	ɓ a l e			
815-1	k o r o n e			
453-1	ɗ ɪ ɲ e			
67-1	d a s i			
47-1	d o k l o lː e			
869-1	d uː ɲ e			
57-1	k a g u			
303-1	g l a s ʔ i e			
443-1	g ɪ r e			
884-1	g u n d e			
166-1	g u n d u			
918-1	a b ɛ r e			
831-1	h a ɲ ʃ i			
616-1	b ɪ e			
84-1	h o s ɛ l e			
346-1	h o h u l u			
601-1	s i g i			
177-1	k ʔ a lː a e			
341-1	k ʔ o l e			
468-2		l b a		
222-2		a b oː b oː n i		
208-2		a b u r b u d u		
962-2		a g o r a a		
203-2		a g u d i o		
138-2		a ʃ iː l i		
504-2		ɗ o ʃ a		
662-2		b u d e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		b aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n e n d iː g i		
95-2		b ɛ ɗ e		
105-2		b ɛ n e n i		
510-2		b o ʃ a		
951-2		m m a r e		
1116-2		m b m a		
149-2		b u s ʔ y		
376-2		b ɛ l i		
815-2		g o r a a		
453-2		ɗ u n e		
67-2		ɗ a ʃ i		
47-2		d o k o ʔ e n a		
869-2		ɗ u l a		
57-2		k aː g u		
303-2		g a s ʔ y a		
443-2		g e r e		
884-2		g u n d i		
166-2		g u n d i		
918-2		b a r e		
831-2		h ə n ʃ i		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h u h o l o		
601-2		s i g i		
177-2		k ʔ f a ŋ		
341-2		k ʔ o l a		
468-3			θ a b a	
222-3			a b b n a	
208-3			a b u r b u d u	
962-3			a g ɔ r ʔ a	
203-3			ə g u d i	
138-3			ʃ i l a	
504-3			d ɔː ʃ ʔ a	
662-3			p ʊ d ʔ a	
478-3			ɛ g ɔː d a	
409-3			r e	
410-3			g u n d i	
256-3			p ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ n d i g	
95-3			b ɛ d a	
105-3			b n i	
510-3			b ɔ ʃ a	
951-3			m b ɛ m r e	
1116-3			m b u m a	
149-3			p ʔ u s ʔ i	
376-3			p ʔ l a	
815-3			k ɔ r ʔ a	
453-3			d u n a	
67-3			d a ʃ a	
47-3			d u k ʔ u θ a	
869-3			d ɔː θ a	
57-3			k a g u	
303-3			g ʔ a s ʔ i a	
443-3			g ɛ r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			ə b ɛ r e	
831-3			h a ʃ a	
616-3			p i a	
84-3			h ɔ ʃ ɛ l a	
346-3			h ɔ l u	
601-3			s ɪ g	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
468-4				g aː b e
222-4				aː b o b o n e
208-4				aː b u r b u d u
962-4				a g o r g a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ o ʃ a
662-4				b d a
478-4				ɛ g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				b aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b i n e n i
510-4				b o ʃ a
951-4				m b ɛ m a r e
1116-4				m b ɛ m a
149-4				b u s ʔ i
376-4				b a l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ aː ʃ e
47-4				ɗ o k ʔ u n a
869-4				ɗ uː n a
57-4				k aː g u
303-4				g a s ʔ i a
443-4				g ɛ r
884-4				g u n d i
166-4				g u n d i
918-4				aː b a r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h o h u l u
601-4				s i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
