COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	u m e									
96-1	a t a tʃ									
99-1	a r i z o n									
114-1	t o k tʃ i									
115-1	u z u tʃ									
133-1	t i p a a a tʃ									
144-1	a w a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p a k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a ʔ									
2-1	w o m m									
65-1	i w									
74-1	p a n a									
106-1	t u n u z									
128-1	p o k tʃ i									
147-1	t i m i tʃ i									
231-1	p a n a w o									
232-1	p i p j j o									
239-1	n a m a k a n									
266-1	i t i m									
51-1	u w u ʔ									
97-1	m a p o m									
109-1	u p i n i tʃ i									
121-1	k a p i j a k a ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o n o tʃ i									
142-1	p a t a m a a									
145-1	k a t a t i tʃ i									
148-1	t a a w w n a									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p w									
21-1	k a w a a k									
24-1	p a k a k a n									
50-1	i n a ʔ									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k a z i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t a r n m									
205-1	i p a n									
227-1	w a p w i t									
246-1	i w i									
251-1	w a n a									
52-2		i t e								
56-2		i m e n								
96-2		a t a p								
99-2		a r i k e k								
114-2		t o k i i								
115-2		j r i e i								
133-2		t i p a r a n i								
144-2		a e a w a n i								
150-2		k a w n								
234-2		k o m n								
236-2		p i k i k n								
241-2		a w i j n								
249-2		i e e n								
74-2		p a k a n								
93-2		t o p a r i n i								
95-2		w i k i								
106-2		t i k i n i								
119-2		j j t i i n i								
128-2		h o k i n i								
147-2		t i m i n i								
231-2		p a k a w o n								
232-2		p i p j j s								
239-2		k a m a k a j								
266-2		i t i m n								
51-2		i w i n								
55-2		p h a m n								
97-2		m a h o m a								
121-2		k a p i j a k i n								
163-2		i p e k n								
167-2		p a n								
259-2		t o w a								
66-2		k a r a k a w n								
112-2		t a a a p i p i								
116-2		t o p a k a i								
