COGID	Albanian	English	French	German	Latin
560-1	u m				
438-1	y r e				
1222-1	o g				
353-1	f u ʃ				
201-1	f i n d				
20-1	f ɑ r				
503-1	f y l				
957-1	n				
728-1	l ɑ g				
244-1	n u m ə n				
289-1	n u n d				
911-1	r u d i				
724-1	d r u r				
145-1	d u				
992-1	k				
1181-1	k j e d				
741-1	p u ʃ				
1150-1	ʃ u r t				
585-1	d y				
814-1	u r e				
560-2		w ɑ t			
438-2		ɑ r ə ɑ			
1222-2		ɑ w ɑ t			
353-2		f ɑ t			
201-2		w ɑ t			
20-2		w ɑ t ə r			
503-2		f l ɑ t			
957-2		t ɪ			
728-2		s ɑ ŋ			
244-2		n ɑ m ə n			
289-2		n ɑ t			
911-2		w ɑ t ə n			
724-2		t r ɑ			
145-2		t ɪ			
992-2		w ɑ t			
706-2		au ɑ			
106-2		f ɛ r t			
741-2		f ɑ k			
421-2		b l o			
227-2		f ʊ t			
920-2		h au r t			
1083-2		h ɑ r n			
1066-2		j			
1125-2		j n au			
1197-2		m au n t ə r			
473-2		n ɑ w ə l			
284-2		n ɪ s			
661-2		ʊ ɑ			
701-2		r ɑ t			
315-2		r au n t			
1169-2		s o l d			
1150-2		s w r t			
982-2		s t			
987-2		s ə j			
1055-2		s t o n			
1130-2		s au n t			
433-2		s ɑ l ə j			
625-2		t ɪ ŋ			
1186-2		t ɪ n d			
560-3			v ɔ m i		
438-3			v ɑ̃		
1222-3			v u		
353-3			f ɑ̃ s k		
201-3			f w a		
20-3			f k i		
503-3			f u z		
957-3			n		
728-3			l a ŋ		
244-3			n u m ɛ r		
289-3			n w a t		
911-3			v ɛ r t		
724-3			s r w a		
145-3			k u z		
992-3			k w a		
1181-3			k u t e		
706-3			k u		
106-3			f a d ə r		
741-3			f ɔ̃		
421-3			f l u v		
227-3			p u		
920-3			k ɔ r t		
1083-3			k ɔ r		
1066-3			w a		
1125-3			n i		
1197-3			m ɛ n d ə r		
473-3			n ai		
284-3			n e k		
661-3			k u z		
701-3			r u b		
315-3			r u r		
1169-3			k u		
1150-3			s k ɛ r t		
982-3			k u z		
987-3			s y		
1055-3			s t a r		
1130-3			k u z		
433-3			k u z		
585-3			t u		
625-3			t ɛ ŋ		
1186-3			t ɛ n		
814-3			v ɛ r t		
560-4				v a s i	
438-4				a r eː	
1222-4				i v	
353-4				f v ʃ h	
201-4				v i z	
20-4				v a s ə r	
503-4				f l aː z	
957-4				e s	
728-4				l a ŋ	
244-4				n i m	
289-4				n uː x t	
911-4				r eː d ə r	
724-4				d r eː	
145-4				s uː	
992-4				h	
1181-4				h e ts e	
706-4				o h	
106-4				f e r n	
421-4				f l au ə r	
227-4				f uː t	
920-4				h au d r	
1083-4				h au r n	
1066-4				g	
1125-4				g eː n uː	
1197-4				m eː d ə r	
473-4				n uː n	
284-4				n aː z	
661-4				v ə n d	
701-4				r e x t	
315-4				r au n t	
1169-4				ʃ e l	
1150-4				ʃ v r t	
982-4				z eː m ə n	
987-4				z n g	
1055-4				ʃ t eː	
1130-4				z uː g	
433-4				z i l aː	
585-4				t oː	
625-4				l i ŋ	
1186-4				s eː m i n	
814-4				v r e r	
560-5					w e m
438-5					w r s
1222-5					w p
353-5					p e s k o
201-5					p iː k
20-5					f o
503-5					f l aː
957-5					e n
728-5					l o n
244-5					n o m e n
289-5					n uː n t
911-5					w e n t o
724-5					s r aː
145-5					i kʷ o
992-5					w e
1181-5					k a n i t
706-5					o g a
106-5					p oː nː a
741-5					f k
421-5					p l o m i n
227-5					p u t r i d o
920-5					k o r t
1083-5					k o r n
1066-5					e n
1125-5					n e n
1197-5					m e n e r
473-5					n e w e l
284-5					n aː
661-5					kʷ o
701-5					r e n
315-5					r o n t
1169-5					s o l t
982-5					s eː m i n
987-5					s n g
1055-5					s t o
1130-5					s u g
433-5					s u n i o
585-5					t u
625-5					l e n a
1186-5					t eː m i n
814-5					w eː r i d o
