COGID	Albanian	English	French	German	Latin
560-1	v j u m ə n				
438-1	k ə r t e t				
1222-1	e				
353-1	p e ʃ t				
201-1	k ə n d o				
20-1	v k u r t ə r				
503-1	p l e n				
957-1	e				
728-1	l au g				
244-1	n u m ə n				
289-1	n u k t				
911-1	r u n d				
724-1	d r e				
145-1	d au				
992-1	h				
1181-1	h j u n d				
741-1	p i				
560-2		w ɑ m ə t			
438-2		w ɑ t			
1222-2		w ɑ t			
353-2		f s au			
201-2		w ə n f			
20-2		w ɑ t ə r			
503-2		f ɑ t			
957-2		t ə n			
728-2		s au ŋ			
244-2		n au m ə n			
289-2		n u t			
911-2		r i t			
724-2		r ai			
145-2		t w ɑ			
992-2		w ɑ t			
706-2		ɑ			
106-2		f ə ð ə r			
741-2		f au			
421-2		b ə ɑ m			
227-2		f ɑ t			
560-3			v ɔ m i		
438-3			u r		
1222-3			u v ɛ		
353-3			p a ʃ		
201-3			k u n		
20-3			f ɛ r		
503-3			p u r i		
957-3			ɑ̃ n		
728-3			s ɛ g		
244-3			n u m ə n		
289-3			n a t		
911-3			r u r t		
724-3			t r w a t		
145-3			t v ɛ		
992-3			k u z		
1181-3			s ɑ̃		
706-3			œ̃		
106-3			p a r i		
741-3			f ɑ u		
421-3			b l y		
227-3			p u t		
560-4				v a n d	
438-4				au r	
1222-4				i x	
353-4				f i z	
201-4				v i n d	
20-4				v a r ts	
503-4				f e n	
957-4				ts aː n	
728-4				ts o ŋ ə	
244-4				n u m ə n	
289-4				n uː x t	
911-4				r u n d	
724-4				s r iː	
145-4				d uː	
992-4				v	
1181-4				k a n d	
706-4				e g	
106-4				f e x t	
421-4				f l iː ə r	
227-4				f uː s	
560-5					w e m e n
438-5					w e r o
1222-5					w g o
353-5					p e k t o
201-5					p e w
20-5					k o r t
503-5					p l u s t
957-5					e n t
728-5					l a n gʷ a
244-5					n o m e
289-5					n uː b
911-5					w e r t
724-5					s r eː g t o
145-5					d w e
992-5					w e t
1181-5					k o n t o
706-5					o g
106-5					p e nː a
741-5					b i b e
421-5					f l o m i
227-5					p uː t
