COGID	Albanian	English	French	German	Latin
560-1	k ə m				
438-1	u r a j				
1222-1	u f				
353-1	f e ʃ k e				
201-1	f uː n f				
20-1	f a r r				
503-1	f uː l				
957-1	e n				
728-1	l a ŋ				
244-1	n u m e n				
289-1	n u e				
911-1	r u t e n				
724-1	d r e				
145-1	d ʊ ai				
992-1	k oː				
1181-1	k a n e				
741-1	p ɔ̃ k				
1150-1	k ʊ r d				
585-1	d y				
814-1	w o r				
916-1	t				
1079-1	b iː b				
630-1	eː ŋ				
343-1	l a i				
8-1	r e				
385-1	r				
683-1	k e t				
650-1	a l a l				
612-1	f uː m				
871-1	d r w a t				
667-1	l a w o				
527-1	b a t ə r				
499-1	n u				
1029-1	w e				
560-2		w ɪ n i			
438-2		u r i j			
1222-2		u f ai			
353-2		p ɪ s k ɪ			
201-2		p ɪ n f			
20-2		f ɪ r			
503-2		p l ai n ai			
957-2		ɪ n			
728-2		l a ŋ			
244-2		i m ɪ n			
289-2		n ai k t			
911-2		r a t ɪ n l			
724-2		t r ɪ			
145-2		θ au ai			
992-2		w ɪ			
706-2		ɔ j			
106-2		p i r			
741-2		d i k ai			
421-2		f l o r			
227-2		p j ɪ			
920-2		h ɛ r			
1083-2		h ai r n			
1066-2		ɪ f			
1125-2		ɪ n au			
1197-2		m e t r			
473-2		n ɛ w ai l			
284-2		n ɛ s ai			
661-2		ə n ai			
701-2		r u b r ai			
315-2		r ai t			
1169-2		s a l			
1150-2		k ɛ r t			
982-2		a t ɪ			
987-2		n ɪ v			
1055-2		ɪ t ɪ r n			
1130-2		s uː g ɪ			
433-2		s ai l i			
625-2		l ɪ ŋ ə			
1186-2		ð ɪ n t			
416-2		w			
1233-2		w ɪ n d ai			
884-2		w ɛ r m ɪ			
1016-2		ɛ n i m ɛ l			
952-2		ɛ t			
78-2		f l ə r			
514-2		b r ɛ n			
116-2		ɪ ð			
188-2		p ɪ r n			
745-2		p ɪ ð ə r			
1100-2		f r uː ɪ			
47-2		h m i			
111-2		l ɛ h ʊ			
1061-2		m au t ɛ			
24-2		n u n			
232-2		n au n k			
671-2		r v a t			
385-2		s i			
945-2		s e m ɪ n			
644-2		ʃ ʊ s			
1041-2		t d ɪ			
492-2		d ɪ n ɛ ɪ			
1209-2		w a m iː			
527-2		w a t ə r			
14-2		g ɪ l b			
1-2		a l			
915-2		au n d			
271-2		a s			
560-3			w j ɛ n		
438-3			u r		
1222-3			aː g		
353-3			f ɛ s k ɛ		
201-3			f oː s		
20-3			f a t		
503-3			f u		
957-3			ɛ n		
728-3			s a ŋ		
244-3			ɛ m ɛ n		
289-3			n ai t t		
911-3			r e d		
724-3			t r ɛ		
145-3			t w		
992-3			k u		
1181-3			t ə n		
706-3			u g u		
106-3			f e t u r		
741-3			f j k		
421-3			b l u u r		
227-3			f u t		
920-3			k ɛ r t		
1083-3			k ɔ r n y		
1066-3			ɛ g		
1125-3			g ɛ		
1197-3			m e t u r		
473-3			n u		
284-3			n e s		
661-3			y n		
701-3			r u b r		
315-3			r ɔ̃ t		
1169-3			s o l t		
1150-3			s k ɛ r t		
982-3			s ɛ t		
987-3			s n		
1055-3			s t ɛ r		
1130-3			s u k		
433-3			s u n u		
585-3			t y		
625-3			t u ŋ u		
1186-3			t e n		
814-3			w e r aː		
416-3			w ai t		
1233-3			b r n		
884-3			v ɛ r m ɛ		
916-3			t		
1016-3			a n u m e l		
952-3			ɛ t		
514-3			b r ɛ n		
1079-3			b i b oː		
1100-3			f r r t		
47-3			ʃ j u m		
111-3			l ɛ k u		
1061-3			m ɔ̃ t e		
1155-3			k ɔ v ɛ z		
343-3			w t oː r		
671-3			r ai f t		
460-3			f ø l i d		
8-3			g ɑ̃ r w ɪ s		
644-3			s u		
683-3			ʃ ɑ̃ d		
650-3			ʃ		
612-3			f y m		
871-3			r ɛ t		
1209-3			w a m u t		
667-3			l a v e		
499-3			n e		
14-3			j a l b		
1029-3			e u		
272-3			ɛ r		
560-4				b aː n i	
438-4				b aː iː	
1222-4				b aː r	
353-4				f aː ʃ k iː	
201-4				f iː k ə eː	
20-4				k a t ə r	
