COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n ə			
2054-1	d ɔ n ə r r			
1375-1	l ɪ t			
760-1	w ɪ n t			
756-1	s n			
726-1	m ɑ d ə r			
1351-1	x r ɑ n t ə aː r ə r			
1353-1	x r ɛɪ n aː d ə r			
412-1	s l aː ɣ ə r ɛɪ n ə d ə			
406-1	s ə aː ə r + r d ə			
1005-1	s t eː p aː v aː d ə r			
1012-1	s t eː p m aː d ə r			
1016-1	w ɛ t ə ə r			
1069-1	s			
509-1	v ɑ l ə			
693-1	m ɪ l			
2179-1	n ɛ s t			
1753-1	v ɪ s ə			
1131-1	w ɔ l ə			
1198-1	b ɑ r t			
2032-1	h ɑ r			
2241-1	n aː z			
2244-1	l ɑ p			
610-1	k aː ə			
945-1	h ɑ r			
1534-1	l eː k ə			
384-1	z uː t ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə			
1385-1	z ɑ t ə			
792-1	j ɑ k			
1111-1	l ɑ s t			
197-1	z uː ə			
2020-1	l ɑ ŋ			
867-1	h ɛ n d ə r t			
1970-1	v ə l			
1230-1	d r aː d			
2017-1	n r ə			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h aː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z iː			
1832-1	r ɑ v			
-1816-1	s t ə			
-335-1	l ɑ d uː n			
1043-1	s t r ɑ m			
423-1	s t ɪ n			
2049-1	m ɛɪ n			
2062-1	s t ə r m			
2065-1	r aː n ə + b aː x ə			
1368-1	m ɑ d ə			
1365-1	d x			
754-1	r aː n ə			
768-1	w ɛ d ə r			
1211-1	v ə ə r			
106-1	m ɑ n			
-98-1	b aː v ə			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	l ɑ t t			
-2026-1	n eː v ə			
409-1	z w aː d ə n + d ɔ			
402-1	d w aː x r r ɛɪ n ɔ l t ə			
1014-1	s t iː p ɑ d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t ɛ r			
2194-1	ɔ x s			
2199-1	k ɑ l ə			
2197-1	s oː p			
1523-1	z uː			
1521-1	b ɔ t			
512-1	m ɑ r aː			
2141-1	h ɑ n			
2147-1	x ɑ t			
814-1	k r aː			
810-1	d oː v ə			
1755-1	h ɛ n			
1758-1	m ɑ s			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l ɑ s			
1307-1	n eː t			
1305-1	v l uː			
711-1	w ɛ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ x			
-73-1	m ɪ s k aː d ə			
1810-1	h ɛ t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l ɛɪ d			
690-1	r ɪ k			
2177-1	h aː p			
246-1	s x ə r aː v r ɑu			
249-1	s x + ɛɪ d l			
1506-1	n ɑ s ə r + l			
2242-1	m ɛɪ n			
2245-1	t ɑ n			
1196-1	d ɑ k ə			
2174-1	s ɔ l d ə r			
575-1	s r v ə l + h ɑu			
603-1	ə l ɑ d + b aː x ə			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r r			
901-1	k l aː			
608-1	v r t			
596-1	t ə			
937-1	b r ɛ s t			
936-1	n aː v ə l			
646-1	l ɛɪ ŋ			
947-1	l eː v ə r			
1606-1	h eː p ə			
472-1	ə ə			
1535-1	z w ɪ t ə			
1546-1	s p ɑ t ə			
1959-1	s l aː p ə			
694-1	s n ɑ r ə ə			
1961-1	d r ɔ m ə			
323-1	l eː v eː d			
1885-1	x r aː v			
2156-1	b r + k ə l t			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m			
274-1	d ɑ p			
278-1	b l ɪ n t			
258-1	b ə ɛɪ ŋ k ŋ k ə			
256-1	n aː k aː			
383-1	eː t ə			
207-1	r ɛɪ v			
376-1	d r ɪ ŋ k ə			
2009-1	uː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ n k			
