COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e ʔ									
96-1	t									
99-1	r i a ʔ									
114-1	t o k ʔ									
115-1	u ʔ									
133-1	t i p ʔ a n ʔ									
144-1	a t w ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a a ʔ									
2-1	m o m r a									
65-1	i w ʔ									
74-1	p a n a									
106-1	t u n e									
128-1	p o k ʔ									
147-1	t u k u ʔ									
231-1	p a n a w o									
232-1	p i p i ʔ o ʔ									
239-1	n a m a k a n									
266-1	i i m ʔ									
51-1	u w e									
97-1	m a p o m									
109-1	u p w i k ʔ									
121-1	k a p a a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k r a k a w									
134-1	n i p a t									
139-1	m u k u r i									
142-1	p t a m ʔ									
145-1	k t a t ʔ									
148-1	a w a n ʔ									
162-1	i i n ʔ									
166-1	i m i ʔ									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	p o k o r a n									
50-1	i n a									
57-1	t o k o w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k u i m ʔ									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1										
205-1	i p a n									
227-1	m a p w i t o									
246-1	i w i ʔ									
251-1	w a n a ʔ									
52-2		t e p e								
56-2		p i m e								
96-2		p a r a s								
99-2		a r i k e								
114-2		t o k s i								
115-2		p p i r s i								
133-2		p t i p k r a s i								
144-2		p a r a a s i								
150-2		k a								
234-2		p k m								
236-2		w a k i								
241-2		p a n i								
249-2		i s e								
74-2		w a ã								
93-2		t a p i r s i								
95-2		k w k u i								
106-2		t i n e p i								
119-2		n p s i								
128-2		w o k i								
147-2		w m i								
231-2		w a j u a								
232-2		w i j i u								
239-2		m a n a k a								
266-2		k i u i m								
51-2		w n i								
55-2		i p a m								
97-2		w a p o m a								
121-2		k i j i u k i s i								
163-2		i p e								
167-2		p p ã								
259-2		t o n ã								
66-2		k a r a k a n u								
112-2		t r a n s i								
116-2		t o p a k a s i								
125-2		k i j i m i s i								
135-2		k i n i k i								
139-2		m o p i								
142-2		w p a r a n a i								
148-2		t p r a n r n i								
162-2		i p u i								
166-2		m i								
179-2		t a k								
45-2		i o j a m a n								
84-2		w o p ã								
131-2		w u u p p u p								
146-2		i p u m a u								
154-2		w n e								
192-2		w i t								
197-2		t e i m								
235-2		s i n i								
237-2		w a n m a n i								
246-2		i w i								
250-2		m o r a p u a p								
52-3			t a j j a							
56-3			j a m i							
96-3			j a t a t							
99-3			a t a o a t j a							
114-3			t a k i tʃ e							
115-3			a t a i tʃ e							
133-3			a tʃ a j a a tʃ e							
144-3			j a tʃ i a tʃ e							
150-3			k a							
234-3			a k a							
236-3			j a k o							
241-3			e a i e							
249-3			a v a							
1-3			e a v a							
2-3			a i a s m j e							
65-3			a e j j e							
93-3			t a j a i tʃ e							
95-3			a s s j e							
106-3			tʃ a p o i tʃ e							
119-3			v a t i tʃ e							
128-3			j a k i tʃ e							
147-3			w a m i j i							
231-3			j a a t i							
232-3			w a j i k a j e							
239-3			e a m a k a							
266-3			a a t i d							
3-3			e a i k j i h o							
4-3			e a i h o							
55-3			a e i i a m							
109-3			j o j a tʃ e							
121-3			j e j k a d d							
149-3			j e j d d							
160-3			k a i							
207-3			m a							
112-3			t a a t j a t a tʃ e							
125-3			k a j i m a j i							
134-3			h a j a tʃ e d d							
135-3			t i k k j i m a j i							
139-3			j a tʃ i p o i tʃ e							
57-3			t i k a v a k							
71-3			p e o							
131-3			t i k k j a s k j i m a j i							
146-3			i p k r d d d							
227-3			v a o i i t j i							
52-4				i t e						
56-4				u m e						
96-4				a t						
99-4				a r i						
114-4				t o k						
115-4				u r						
133-4				t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n a						
93-4				t						
95-4										
106-4				t u n a						
119-4				t						
128-4				p o k						
147-4				t o k u						
231-4				p a n a w o						
232-4				p i						
239-4				n a m a k a n						
266-4				i t i m						
3-4										
4-4				w						
51-4				u w e						
97-4				m a p u m						
109-4				u p e k						
121-4				k a p a a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t o w a						
66-4				k a r a k a w						
116-4				t						
134-4				n i p a t						
135-4										
139-4				k i r i m o n						
142-4				p a t a m						
145-4				k a t a t						
148-4				tʃ a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				t a n						
24-4				w a k o r a n						
45-4										
50-4				i n a						
57-4				t o k o w a n						
71-4										
84-4				p i w a n						
91-4				m o k o n						
131-4				t o k o ʒ̟ i m						
146-4										
151-4				k i w						
154-4				w e						
192-4				t o t						
205-4				i p a n						
227-4				m a p i t o						
235-4				w						
237-4										
246-4				i w i						
250-4				t						
251-4				w a n a						
52-5					t e i i i					
56-5					i m e i					
96-5					t o r a t i					
99-5					o r a e n i i					
114-5					t o k o t i					
115-5					w e r e t i					
133-5					t a p o r a s i					
144-5					t a w a r a s i					
150-5					k a w i					
234-5					k o m					
236-5					p a k i n i					
241-5					n i n a w i n					
249-5					i t e i					
1-5					w a t i					
2-5					w m i					
65-5					i w i					
74-5					p a n a					
