COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	g															
1841-1	m p															
2017-1	h															
1004-1	p															
614-1	b o h															
686-1	b h															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	a p															
68-1	s ɨ m															
631-1	b ə n															
594-1	g p															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m u ʔ															
2042-1	ʔ p															
1968-1	g a ʔ															
2000-1	r p ŋ															
17-1	b a ʔ															
4-1	ə m															
788-1	a ɛ															
1219-1	h ɨ m															
141-1	ʔ p ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	p m															
1652-1	kʰ ɨ n															
576-1	ŋ a															
1738-1	a a k															
442-1	h o m															
368-1	a j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	kʰ a ŋ															
720-1	s h															
287-1	k a p															
321-1	g ə h															
206-1	g o ʔ															
1950-1	ʔ ʔ															
665-1	o n															
703-1	n o ʔ															
1290-1	m															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	kʰ a n															
2078-1	s ɨ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r															
340-1	s o															
1111-1	s ɛ															
485-1	ŋ															
1356-1	m u h															
1093-1	ɲ u ŋ															
1063-1	a o m															
648-1	kʰ ɨ ŋ															
223-1	g ɔ n															
1248-1	j ɨ															
1509-1	s n															
504-1	kʰ u h															
2130-1	s ɨ															
1-1	ʔ o															
386-1	o ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g h															
1323-1	ʔ ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ a h															
1476-1	ʔ a h															
1923-1	n ɨ															
105-1	b a ŋ															
1431-1	ʔ ɨ															
1814-1	m a ɲ															
1183-1	n ɔ n															
1430-1	ɲ u															
1721-1	ʔ ɔ ʔ															
1617-1	b o ʔ															
1564-1	b ɔ ʔ															
2111-1	h b															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		ŋ														
175-2		g a														
